Time frequency,Unit of measure,Country/region of birth,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Reporting country,Bulgaria,30.6,24.7,31.0 b,28.5,25.7,26.8,27.3,23.3,25.6,26.5
Annual,Percentage,Reporting country,Switzerland,12.6 b,11.5,10.6,10.8,11.0,8.9,12.3,10.2,10.6,10.4
Annual,Percentage,Reporting country,Cyprus,8.2,11.3,13.0,12.1,11.0,9.4,8.9,9.3,9.0,9.4
Annual,Percentage,Reporting country,Czechia,13.5,13.6,13.3,11.3,10.9,11.0,11.5,11.4,10.8,10.6
Annual,Percentage,Reporting country,Germany,13.9,13.5,14.8,14.8,14.4,11.4,10.5 b,10.4,8.4,6.8
Annual,Percentage,Reporting country,Denmark,7.5,6.0,7.5,7.0,8.8,5.9,6.3 b,6.8,9.0,6.9
Annual,Percentage,Reporting country,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",16.8 e,17.2 e,17.3 e,16.6 e,16.0 e,14.8,14.5,14.8,:,:
Annual,Percentage,Reporting country,Euro area - 18 countries (2014),16.8,17.1,17.2,16.6,15.9,14.7,14.5,:,:,:
Annual,Percentage,Reporting country,Euro area - 19 countries  (2015-2022),16.9,17.2,17.3,16.6,16.0,14.8,14.5,14.8,:,:
Annual,Percentage,Reporting country,Euro area – 20 countries (from 2023),16.8,17.2,17.3,16.7,16.0,14.8,14.5,14.8,14.3,13.8
Annual,Percentage,Reporting country,Estonia,18.1,20.0,18.6,16.2,14.7,16.1,14.3,14.2,13.0,14.6
Annual,Percentage,Reporting country,Greece,19.6,21.6,23.6,20.9,19.0,17.6,18.3,21.0,19.2,18.8
Annual,Percentage,Reporting country,Spain,23.1,23.8,23.7,21.9,19.7,19.2,18.5,19.0,18.2,19.8
Annual,Percentage,Reporting country,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",18.3,18.4,18.3,17.1,16.9,16.1 e,:,:,:,:
Annual,Percentage,Reporting country,European Union - 27 countries (2007-2013),18.3,18.4,18.4,17.1,16.9,16.1 e,:,:,:,:
Annual,Percentage,Reporting country,European Union - 27 countries (from 2020),18.5 e,18.6 e,18.6 e,16.8 e,16.2 e,15.3 e,15.1,15.3,14.8,14.8
Annual,Percentage,Reporting country,European Union - 28 countries (2013-2020),18.3,18.4,18.3,17.1,16.9,16.1 e,:,:,:,:
Annual,Percentage,Reporting country,Finland,9.5,8.8,8.0,8.6,9.5,9.3,10.6,8.0,7.6,7.4
Annual,Percentage,Reporting country,France,13.9,14.3,14.0,13.8,13.3,13.1,13.3 b,13.1,14.9 b,15.3
Annual,Percentage,Reporting country,Croatia,18.0,18.3,17.3,18.1,16.8,15.3,15.4,15.7,13.2,14.7 b
Annual,Percentage,Reporting country,Hungary,25.1,22.4,19.2,13.3,12.3,10.5,8.5,11.2,10.5,17.0
Annual,Percentage,Reporting country,Ireland,17.2,15.6,16.9,15.4,13.6,15.3 b,13.1 b,10.4,12.9,10.7
Annual,Percentage,Reporting country,Iceland,10.2,10.1,9.4,10.9,9.9,10.5,:,:,:,:
Annual,Percentage,Reporting country,Italy,22.5,23.0,22.9,22.1,22.0,21.6,20.7,22.2,21.2,19.3
Annual,Percentage,Reporting country,Lithuania,22.3,27.9,24.7,25.1,23.8,22.4,20.3,17.9,17.8,16.1
Annual,Percentage,Reporting country,Luxembourg,14.8,10.6,9.9 b,9.2,12.3,12.0,12.9 b,13.2 b,8.9 b,8.9
Annual,Percentage,Reporting country,Latvia,24.8,23.4,19.0,18.2,17.2,14.1,15.9,16.8,16.0,15.1
Annual,Percentage,Reporting country,Montenegro,31.9,31.8,29.4,29.5,28.5,30.3,32.2,29.4,27.1,:
Annual,Percentage,Reporting country,North Macedonia,28.7,27.9,28.1,29.4,29.0,27.8,30.4,:,:,:
Annual,Percentage,Reporting country,Malta,23.9,22.4,19.8,20.1,20.3,20.4,21.7,19.1,18.5,20.0
Annual,Percentage,Reporting country,Netherlands,10.0,11.6,10.6 b,10.7,8.9,9.2,9.0,7.5,6.9,8.2
Annual,Percentage,Reporting country,Norway,7.9,8.9,10.5,9.1,8.8,8.8,9.2,8.9 b,10.0,8.5 b
Annual,Percentage,Reporting country,Poland,21.8,22.5,21.4,13.3,12.0,13.0,14.0,14.6,14.3,14.2
Annual,Percentage,Reporting country,Portugal,25.4,24.0,22.9,20.5,19.2,18.3,19.4,19.8 b,16.4,17.7
Annual,Percentage,Reporting country,Romania,39.1,38.6,37.7,31.7,31.4,30.3,29.9,29.7,27.0,29.7
Annual,Percentage,Reporting country,Serbia,29.9,31.4,31.2,31.2,29.6,30.0,24.4,22.3,21.5,:
Annual,Percentage,Reporting country,Sweden,7.8,6.7,6.5,7.2,8.1,7.3,6.5,6.9,5.9,7.9
Annual,Percentage,Reporting country,Slovenia,11.3,11.5,9.5,10.2,9.0,7.9,8.3,7.6,7.0,7.4
Annual,Percentage,Reporting country,Slovakia,19.4,20.2,20.8,19.7,20.2,18.8,16.8,17.5,22.1,22.2
Annual,Percentage,Reporting country,Türkiye,33.6,32.9,33.5,33.2,34.1,33.9,33.6,34.6,34.4,31.3
Annual,Percentage,Reporting country,United Kingdom,16.7,16.8,16.8,19.0 b,21.5,:,:,:,:,:
Annual,Percentage,Reporting country,Kosovo*,:,:,:,:,29.8,:,:,:,:,:
