Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Austria,29.61,31.81,33.72,29.8,30.96,30.34,34.06,34.92,33.34,33.64,32.9
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Belgium,42.76,48.15,46.95,43.95,46.11,44.27,45.94,44.94,42.92,42.2,37.66
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Bulgaria,11.67,14.61,12.67,12.4,13.05,11.96,10.66,11.11,11.8,11.34,11.98
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Switzerland,42.11,45.48,41.62,40.04,42.36,39.03,40.35,38.56,39.53,36.62,33.61
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Cyprus,27.92,35.69,25.19,27.33,38.77,36.4,36.71,39.0,34.73,35.88,39.93
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Czechia,22.54,25.69,27.53,27.35,31.04,31.63,33.24,37.1,36.2,41.62,38.98
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Germany,23.6,24.39,25.51,25.02,27.35,27.23,28.73,30.61,29.66,30.04,30.15
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Denmark,37.85,37.62,38.33,39.16,41.69,45.06,43.95,46.07,46.36,45.71,53.48
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Estonia,16.3,17.38,18.4,16.38,21.13,19.39,18.88,21.23,18.93,25.0,24.24
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Greece,12.16,15.22,14.32,18.55,21.32,23.33,26.45,24.66,24.17,28.07,30.22
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Spain,44.53,47.43,44.33,47.63,50.95,48.36,49.47,48.23,46.77,49.53,43.49
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),European Union - 27 countries (from 2020),32.95,35.28,34.64,34.32,37.03,36.54,37.97,38.0,36.94,37.99,36.5
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Finland,116.08,129.36,136.21,149.81,149.93,157.54,160.92,169.12,164.65,169.79,170.76
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),France,48.96,51.92,49.52,47.15,50.19,49.08,48.71,47.49,45.02,43.48,41.49
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Croatia,18.74,19.31 d,17.47 d,17.78,24.03,23.52,27.41,28.42,27.98,32.06,30.4
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Hungary,16.4 d,17.71 d,16.93 d,16.45,18.98,17.34,19.33,19.59,19.22,20.71,18.97
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Ireland,37.73,44.99,46.85,45.34,50.31,48.21,43.62,43.24,39.99,39.07,40.07
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Iceland,89.31,90.44,98.86,77.94,92.16,113.33,103.68,120.32,111.0,99.77,105.54
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Italy,32.58,34.35,31.57,31.51,35.65,33.96,36.86,34.8,35.07,38.23,36.0
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Liechtenstein,76.75,42.0,44.71,67.47,118.34,11.53,10.52,9.69,0.0,22.43,14.55
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Lithuania,15.93,13.85,16.55,16.95,15.77,16.61,20.29,21.64,23.15,23.12,24.75
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Luxembourg,36.23,44.2,38.14,32.43,38.55,32.23,38.93,37.31,34.52,39.65,28.46
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Latvia,9.65,11.71,13.58,12.36,16.22,17.75,20.72,22.1,19.48,17.95,20.62
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Malta,26.2,11.64,19.55,19.99,23.27,21.66,19.44,22.27,15.38,15.98,14.11
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Netherlands,34.91,38.29,51.23,45.29,47.98,51.79,51.37,53.48,51.04,47.71,45.72
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Norway,38.84,39.81,38.71,42.69,41.89,43.32,47.03,44.89,46.34,49.57,54.9
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Poland,16.05,16.97,16.81,14.76,15.16,15.66,17.62,17.25,17.21,20.81,22.8
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Portugal,28.02,29.47,29.51,28.78,30.49,29.7,29.46,30.88,31.91,34.04,29.56
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Romania,15.03,18.61,17.82,19.31,20.68,21.6,23.22,23.46,21.99,21.72,21.78
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Serbia,21.19,23.48,25.54,25.62,30.49,35.42,40.72,42.35,38.09,42.83,43.99
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Sweden,37.89,41.0,40.26,41.95,44.54,47.91,52.99,53.75,52.53,54.76,51.41
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Slovenia,17.3,15.69,19.47,18.84,20.3,19.97,27.11,29.65,34.36,38.72,41.53
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Slovakia,24.71,36.48,20.38,25.81,27.16,28.09,25.39,33.69,31.85,24.37,23.43
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),Türkiye,41.06 d,47.77 d,48.64 d,53.96 d,60.98 d,62.69 d,64.42 d,61.28 d,56.17 d,57.69 d,52.43 d
Annual,Rate,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),United Kingdom,34.82 d,40.01,40.92,44.86,51.29,55.08,58.83,61.5,:,:,:
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Austria,37.24,39.21,42.15,37.2,38.76,38.0,41.45,42.44,43.13,42.97,42.91
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Belgium,48.48,56.46,57.25,48.37,55.05,54.21,56.51,54.01,55.07,51.59,48.54
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Bulgaria,19.39,21.91,17.86,19.94,20.95,17.65,16.26,16.91,18.37,16.76,16.68
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Switzerland,50.06,50.77,50.66,50.39,54.97,46.13,48.03,47.71,48.42,43.8,39.16
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Cyprus,30.45,37.06,38.22,25.74,40.64,42.54,42.96,40.0,41.58,41.32,44.14
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Czechia,30.01,36.36,34.98,35.81,37.98,41.21,40.4,42.62,45.14,47.0,44.74
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Germany,33.67,35.98,37.17,36.62,39.95,40.13,43.26,45.46,43.33,43.9,43.29
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Denmark,42.81,42.78,45.61,47.27,49.46,53.28,52.65,56.64,54.54,54.16,61.11
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Estonia,30.69,31.4,30.72,30.9,33.03,30.88,35.57,37.99,38.77,38.5,45.94
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Greece,14.85,18.86,17.01,23.68,27.05,28.97,32.77,32.66,30.44,34.12,34.32
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Spain,45.93,48.01,45.96,47.85,51.84,50.02,50.93,50.72,49.46,50.16,46.95
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),European Union - 27 countries (from 2020),39.86,42.45,41.8,41.14,44.68,44.94,46.5,47.05,46.09,46.6,45.43
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Finland,129.99,148.15,146.35,160.26,166.23,175.76,173.33,175.28,177.39,179.24,187.16
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),France,57.13,58.65,55.96,53.17,56.76,57.31,57.05,56.74,55.31,52.42,50.0
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Croatia,28.44,26.09 d,28.1 d,26.28,34.13,32.57,35.72,38.95,39.05,44.47,38.99
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Hungary,25.64 d,26.82 d,24.71 d,25.83,30.18,27.6,30.68,31.58,28.64,31.97,28.86
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Ireland,43.29,55.12,50.8,52.72,54.0,55.95,54.44,53.65,52.14,49.77,52.55
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Iceland,81.99,81.2,89.39,87.03,93.28,102.78,96.11,104.35,93.31,81.48,91.47
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Italy,38.95,40.53,38.69,37.75,42.57,41.44,44.89,43.26,44.01,46.65,44.84
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Liechtenstein,35.73,59.68,76.7,61.68,61.69,24.22,29.77,12.07,21.76,38.89,29.91
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Lithuania,25.84,24.94,28.16,26.36,28.27,27.16,31.63,35.16,34.75,40.26,38.9
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Luxembourg,50.36,41.02,53.11,51.0,51.11,48.76,42.3,39.98,55.25,53.74,45.8
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Latvia,18.69,19.87,19.03,19.4,25.68,25.86,29.91,30.53,30.72,28.03,33.66
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Malta,36.08,27.41,28.61,21.3,32.22,29.07,29.21,25.7,38.32,30.11,36.48
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Netherlands,41.94,44.02,57.71,51.36,57.16,62.05,59.85,62.42,60.01,55.17,54.57
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Norway,40.23,42.98,44.86,48.61,45.94,50.21,52.95,52.92,55.93,57.17,56.07
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Poland,20.13,21.76,21.03,18.75,19.17,19.93,22.07,21.97,22.18,26.18,28.18
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Portugal,33.05,36.57,38.87,38.2,39.27,41.09,39.29,41.07,40.15,42.84,38.72
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Romania,20.84,21.18,20.45,22.9,23.91,24.58,25.66,27.42,24.96,27.06,26.0
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Serbia,28.85,34.67,32.26,29.54,36.71,37.52,43.75,42.49,40.45,46.32,45.63
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Sweden,38.28,45.62,43.7,42.86,47.88,54.18,54.04,57.65,56.41,57.59,54.58
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Slovenia,20.41,23.75,21.05,25.53,23.97,23.8,37.91,44.41,40.61,50.85,52.13
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Slovakia,27.96,44.68,28.09,35.11,32.62,35.75,28.19,35.88,33.42,29.73,27.15
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),Türkiye,49.9 d,54.87 d,57.96 d,62.15 d,70.04 d,71.25 d,72.77 d,68.51 d,61.36 d,66.2 d,59.01 d
Annual,Rate,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),United Kingdom,42.07 d,46.76,48.62,50.79,57.66,60.38,64.03,66.17,:,:,:
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Austria,32.47,34.73,36.88,32.58,34.32,33.75,37.04,38.19,37.7,37.6,37.26
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Belgium,45.52,51.95,51.32,46.49,50.24,48.89,50.75,49.03,48.29,46.4,42.57
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Bulgaria,14.86,17.53,14.83,15.45,16.38,14.33,12.98,13.45,14.47,13.6,13.88
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Switzerland,45.47,47.9,45.35,44.52,47.75,41.99,43.66,42.25,43.41,39.9,36.09
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Cyprus,29.26,36.42,30.85,26.84,39.85,39.04,39.33,39.76,38.25,38.33,41.73
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Czechia,25.48,29.74,30.43,30.76,34.1,35.5,36.15,39.68,39.87,44.3,42.1
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Germany,27.58,28.88,30.16,29.6,32.51,32.52,34.67,36.72,35.36,35.91,35.77
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Denmark,40.09,40.23,41.95,42.94,45.25,48.74,47.82,50.7,49.79,49.74,56.96
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Estonia,21.66,22.04,22.62,21.83,25.67,23.61,25.12,27.24,26.35,30.82,32.79
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Greece,13.37,16.9,15.64,20.92,24.02,25.92,29.43,28.34,27.04,30.9,32.28
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Spain,45.74,48.33,45.7,48.45,52.14,49.76,50.84,49.94,48.58,50.48,45.5
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),European Union - 27 countries (from 2020),35.99,38.44,37.85,37.4,40.51,40.29,41.77,42.05,41.02,41.9,40.54
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Finland,122.52,136.6,141.14,154.99,157.5,165.46,166.46,173.22,171.3,174.89,178.49
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),France,52.78,55.25,52.9,50.2,53.54,53.08,52.64,51.83,49.76,47.63,45.58
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Croatia,22.65,22.37 d,21.36 d,21.34,28.09,26.88,30.63,32.55,32.25,36.93,33.81
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Hungary,19.66 d,21.18 d,19.73 d,19.91,22.84,21.27,23.53,24.17,22.72,25.0,22.63
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Ireland,40.69,49.21,49.21,49.15,52.36,52.17,48.61,48.28,45.78,44.17,45.96
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Iceland,86.97,88.45,95.46,81.56,91.58,108.32,101.84,114.67,105.74,94.02,101.8
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Italy,35.31,37.06,34.62,34.26,38.71,37.23,40.44,38.54,39.0,42.11,39.96
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Liechtenstein,61.13,48.78,55.58,67.61,94.66,15.93,19.1,11.06,10.53,31.0,21.33
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Lithuania,19.84,18.12,20.91,20.77,20.39,20.93,24.3,26.48,27.6,29.62,30.2
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Luxembourg,42.53,43.66,44.76,37.96,42.8,38.95,40.89,38.4,43.01,45.5,36.42
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Latvia,13.52,15.1,15.88,15.6,19.69,20.86,24.3,25.87,23.41,21.81,25.75
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Malta,30.21,17.35,23.48,20.94,26.62,24.64,24.3,22.93,24.54,22.03,23.55
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Netherlands,37.96,41.02,54.54,48.26,52.22,56.47,55.35,57.68,55.1,51.18,49.64
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Norway,39.95,41.84,41.45,45.4,43.84,46.39,49.65,48.55,50.9,53.15,56.15
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Poland,17.84,18.98,18.66,16.49,16.95,17.6,19.61,19.39,19.36,23.27,25.23
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Portugal,30.32,32.56,33.35,32.78,34.11,34.37,33.46,35.08,35.38,37.79,33.57
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Romania,17.52,19.94,19.14,20.91,22.22,23.01,24.47,25.4,23.43,24.06,23.73
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Serbia,24.28,27.98,28.37,27.32,33.2,36.46,42.19,42.67,39.43,44.57,44.96
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Sweden,38.32,43.14,42.1,42.59,46.32,50.63,53.68,55.85,54.6,56.44,53.25
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Slovenia,18.99,18.77,20.55,21.06,22.25,22.27,31.22,35.44,37.47,44.03,46.16
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Slovakia,26.44,40.26,23.47,29.53,29.9,31.28,27.19,35.07,33.19,26.91,25.63
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),Türkiye,44.76 d,50.91 d,52.47 d,57.57 d,64.82 d,66.3 d,67.88 d,64.44 d,58.54 d,61.2 d,55.2 d
Annual,Rate,Total,Total,Diseases of the nervous system and the sense organs (G00-H95),United Kingdom,37.99 d,43.07,44.36,47.59,54.3,57.69,61.62,64.08,:,:,:
