Time frequency,Rail network segment (2020),Train category,Unit of measure\Time,2020.0
Annual,Adjud  - Marasesti,Goods trains,Number,3824.0
Annual,Adjud  - Marasesti,Passenger trains,Number,9253.0
Annual,Apahida - Coslariu,Goods trains,Number,4909.0
Annual,Apahida - Coslariu,Passenger trains,Number,9941.0
Annual,Arad  - Simeria,Goods trains,Number,4874.0
Annual,Arad  - Simeria,Passenger trains,Number,6842.0
Annual,Arad - Timisoara,Goods trains,Number,5709.0
Annual,Arad - Timisoara,Passenger trains,Number,11620.0
Annual,Bacau  - Adjud,Goods trains,Number,2254.0
Annual,Bacau  - Adjud,Passenger trains,Number,8704.0
Annual,Beclean Pe Somes  - Deda,Goods trains,Number,804.0
Annual,Beclean Pe Somes  - Deda,Passenger trains,Number,6514.0
Annual,Beclean Pe Somes  - Ilva Mica,Goods trains,Number,1123.0
Annual,Beclean Pe Somes  - Ilva Mica,Passenger trains,Number,6590.0
Annual,Border ( Curtici Ro/Hu)  - Curtici,Goods trains,Number,6014.0
Annual,Border ( Curtici Ro/Hu)  - Curtici,Passenger trains,Number,4359.0
Annual,Border Ro/Hu  - Episcopia Bihor,Goods trains,Number,1065.0
Annual,Border Ro/Hu  - Episcopia Bihor,Passenger trains,Number,1497.0
Annual,Border Ro/Ua  - Halmeu,Goods trains,Number,803.0
Annual,Border Ro/Ua  - Halmeu,Passenger trains,Number,0.0
Annual,Border Ro/Ua  - Vicsani,Goods trains,Number,2989.0
Annual,Border Ro/Ua  - Vicsani,Passenger trains,Number,307.0
Annual,Brazi - Bucuresti,Goods trains,Number,4807.0
Annual,Brazi - Bucuresti,Passenger trains,Number,20092.0
Annual,Brasov  - Predeal,Goods trains,Number,7307.0
Annual,Brasov  - Predeal,Passenger trains,Number,9392.0
Annual,Bucuresti  - Fetesti,Goods trains,Number,5828.0
Annual,Bucuresti  - Fetesti,Passenger trains,Number,5110.0
Annual,Bucuresti - Giurgiu,Goods trains,Number,0.0
Annual,Bucuresti - Giurgiu,Passenger trains,Number,0.0
Annual,Bucuresti  - Videle,Goods trains,Number,5696.0
Annual,Bucuresti  - Videle,Passenger trains,Number,10257.0
Annual,Buzau  - Faurei,Goods trains,Number,8677.0
Annual,Buzau  - Faurei,Passenger trains,Number,4655.0
Annual,Buzau  - Ploiesti Sud,Goods trains,Number,8062.0
Annual,Buzau  - Ploiesti Sud,Passenger trains,Number,10780.0
Annual,Calafat  - Border Ro/Bg,Goods trains,Number,0.0
Annual,Calafat  - Border Ro/Bg,Passenger trains,Number,0.0
Annual,Caracal  - Rosiori,Goods trains,Number,6358.0
Annual,Caracal  - Rosiori,Passenger trains,Number,7200.0
Annual,Chiajna  - Chitila,Goods trains,Number,4238.0
Annual,Chiajna  - Chitila,Passenger trains,Number,54.0
Annual,Chitila  - Mogosoaia,Goods trains,Number,758.0
Annual,Chitila  - Mogosoaia,Passenger trains,Number,4325.0
Annual,Ciucea  - Apahida,Goods trains,Number,1683.0
Annual,Ciucea  - Apahida,Passenger trains,Number,18432.0
Annual,Coslariu  - Sighisoara,Goods trains,Number,3152.0
Annual,Coslariu  - Sighisoara,Passenger trains,Number,5948.0
Annual,Craiova - Calafat,Goods trains,Number,667.0
Annual,Craiova - Calafat,Passenger trains,Number,2275.0
Annual,Craiova  - Caracal,Goods trains,Number,6035.0
Annual,Craiova  - Caracal,Passenger trains,Number,14669.0
Annual,Cristesti Jijia  - Border Ro/Md,Goods trains,Number,621.0
Annual,Cristesti Jijia  - Border Ro/Md,Passenger trains,Number,1637.0
Annual,Curtici  - Arad,Goods trains,Number,5721.0
Annual,Curtici  - Arad,Passenger trains,Number,7462.0
Annual,Deda  - Siculeni,Goods trains,Number,1769.0
Annual,Deda  - Siculeni,Passenger trains,Number,6520.0
Annual,Dej  - Apahida,Goods trains,Number,2511.0
Annual,Dej  - Apahida,Passenger trains,Number,7658.0
Annual,Dej  - Beclean Pe Somes,Goods trains,Number,1518.0
Annual,Dej  - Beclean Pe Somes,Passenger trains,Number,6358.0
Annual,Dornesti  - Suceava,Goods trains,Number,2513.0
Annual,Dornesti  - Suceava,Passenger trains,Number,2585.0
Annual,Episcopia Bihor  - Oradea,Goods trains,Number,1755.0
Annual,Episcopia Bihor  - Oradea,Passenger trains,Number,5214.0
Annual,Fetesti  - Constanta,Goods trains,Number,11021.0
Annual,Fetesti  - Constanta,Passenger trains,Number,6301.0
Annual,Filiasi  - Craiova,Goods trains,Number,7536.0
