Time frequency,Unit of measure,Territorial typology,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Euro per inhabitant,Coastal regions,Albania,3500.0,3600.0,3700.0,3900.0,4200.0,4700.0,5000.0,4900.0,5600 p,:
Annual,Euro per inhabitant,Coastal regions,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Euro per inhabitant,Coastal regions,Belgium,35900.0,36800.0,38100.0,39200.0,40500.0,41500.0,42700.0,41200.0,45900.0,49300 p
Annual,Euro per inhabitant,Coastal regions,Bulgaria,5200.0,5300.0,5700.0,6000.0,6500.0,6800.0,7300.0,6700.0,8300.0,:
Annual,Euro per inhabitant,Coastal regions,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,:
Annual,Euro per inhabitant,Coastal regions,Cyprus,20900.0,20500.0,21200.0,22300.0,23600.0,24900.0,26300.0,24800.0,27700.0,30400 p
Annual,Euro per inhabitant,Coastal regions,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Euro per inhabitant,Coastal regions,Germany,35600.0,36600.0,37500.0,38200.0,40000.0,40700 e,42500 e,41500 e,44500 e,:
Annual,Euro per inhabitant,Coastal regions,Denmark,44800.0,46000.0,47300.0,48800.0,50500.0,51500.0,52700.0,53100.0,58200.0,63600.0
Annual,Euro per inhabitant,Coastal regions,Estonia,15800.0,16800.0,17100.0,18000.0,19800.0,21300.0,22700.0,22100.0,24800.0,28600.0
Annual,Euro per inhabitant,Coastal regions,Greece,16600.0,16400.0,16500.0,16400.0,16700.0,17000.0,17400.0,15700.0,17400.0,:
Annual,Euro per inhabitant,Coastal regions,Spain,20900.0,21300.0,22200.0,23000.0,24000.0,24700.0,25300.0,22300.0,24400 p,:
Annual,Euro per inhabitant,Coastal regions,Finland,41500.0,41600.0,42600.0,43600.0,45200.0,46400.0,47700.0,47100.0,49300.0,:
Annual,Euro per inhabitant,Coastal regions,France,26800.0,27200.0,27700.0,28000.0,28600.0,29100.0,29800.0,28600.0,31300 p,:
Annual,Euro per inhabitant,Coastal regions,Croatia,10000.0,10100.0,10500.0,11100.0,11900.0,12600.0,13300.0,11400.0,13900.0,:
Annual,Euro per inhabitant,Coastal regions,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Euro per inhabitant,Coastal regions,Ireland,40300.0,43600.0,:,:,:,:,75500.0,78700.0,90400.0,:
Annual,Euro per inhabitant,Coastal regions,Italy,22900.0,23000.0,23400.0,24000.0,24600.0,25000.0,25500.0,23700.0,25900.0,:
Annual,Euro per inhabitant,Coastal regions,Lithuania,12600.0,13100.0,13200.0,13800.0,15000.0,15700.0,16800.0,16600.0,18400.0,:
Annual,Euro per inhabitant,Coastal regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Euro per inhabitant,Coastal regions,Latvia,14100.0,14500.0,15300.0,15900.0,17100.0,18500.0,19600.0,19000.0,21300.0,:
Annual,Euro per inhabitant,Coastal regions,Montenegro,5400.0,5600.0,5900.0,6400.0,6900.0,7500.0,8000.0,6700.0,8000.0,9600.0
Annual,Euro per inhabitant,Coastal regions,North Macedonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Euro per inhabitant,Coastal regions,Malta,18600.0,20100.0,22400.0,23100.0,25400.0,26800.0,28300.0,25900.0,29500 b,32800.0
Annual,Euro per inhabitant,Coastal regions,Netherlands,41200.0,41700.0,42600.0,43400.0,44700.0,46600.0,48500.0,46800.0,50800 p,:
Annual,Euro per inhabitant,Coastal regions,Poland,9300.0,9800.0,10400.0,10300.0,11300.0,12100.0,12900.0,12600.0,14100.0,:
Annual,Euro per inhabitant,Coastal regions,Portugal,16900.0,17300.0,18000.0,18800.0,19800.0,20700.0,21600.0,20100.0,21700.0,:
Annual,Euro per inhabitant,Coastal regions,Romania,9100.0,9900.0,9700.0,10100.0,10700.0,11700.0,11800.0,11300.0,13200.0,:
Annual,Euro per inhabitant,Coastal regions,Serbia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Euro per inhabitant,Coastal regions,Sweden,47500.0,46800.0,48200.0,48500.0,49200.0,47700.0,48000.0,48000.0,53600.0,:
Annual,Euro per inhabitant,Coastal regions,Slovenia,16000.0,16400.0,17300.0,18000.0,19300.0,20300.0,20800.0,19300.0,21300.0,23900.0
Annual,Euro per inhabitant,Coastal regions,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Euro per inhabitant,Coastal regions,Türkiye,11200.0,10900.0,11800.0,11700.0,11300.0,9700.0,9800.0,8800.0,9800.0,12100.0
Annual,Euro per inhabitant,Non-coastal regions,Albania,2400.0,2500.0,2600.0,2800.0,2900.0,3200.0,3400.0,3400.0,3800 p,:
Annual,Euro per inhabitant,Non-coastal regions,Austria,38200.0,39000.0,39900.0,40900.0,42000.0,43600.0,44700.0,42700.0,45300.0,:
Annual,Euro per inhabitant,Non-coastal regions,Belgium,34900.0,35500.0,36400.0,37300.0,38400.0,39700.0,41100.0,39300.0,42800.0,46500 p
Annual,Euro per inhabitant,Non-coastal regions,Bulgaria,5900.0,6100.0,6500.0,7000.0,7600.0,8200.0,9100.0,9300.0,10700.0,:
Annual,Euro per inhabitant,Non-coastal regions,Switzerland,:,66900.0,75500.0,74300.0,72900.0,72100.0,75200.0,:,:,:
Annual,Euro per inhabitant,Non-coastal regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Euro per inhabitant,Non-coastal regions,Czechia,15200.0,15000.0,16100.0,16800.0,18300.0,19900.0,21100.0,20200.0,22300.0,25800.0
Annual,Euro per inhabitant,Non-coastal regions,Germany,34800.0,36100.0,37000.0,38100.0,39500.0,40600 e,41700 e,40900 e,43400 e,:
Annual,Euro per inhabitant,Non-coastal regions,Denmark,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Euro per inhabitant,Non-coastal regions,Estonia,9600.0,10500.0,11300.0,11900.0,12900.0,14500.0,16100.0,16100.0,18900.0,21900.0
Annual,Euro per inhabitant,Non-coastal regions,Greece,13800.0,13600.0,13400.0,12900.0,12900.0,12900.0,12800.0,11500.0,12600.0,:
Annual,Euro per inhabitant,Non-coastal regions,Spain,23300.0,23500.0,24600.0,25400.0,26400.0,27300.0,28100.0,25600.0,27900 p,:
Annual,Euro per inhabitant,Non-coastal regions,Finland,31500.0,32000.0,32100.0,33100.0,34400.0,35600.0,36400.0,36400.0,38500.0,:
Annual,Euro per inhabitant,Non-coastal regions,France,35200.0,35700.0,36300.0,36800.0,37800.0,38700.0,39900.0,37500.0,40100 p,:
Annual,Euro per inhabitant,Non-coastal regions,Croatia,10700.0,10600.0,10900.0,11500.0,12200.0,13100.0,13900.0,13000.0,15200.0,:
Annual,Euro per inhabitant,Non-coastal regions,Hungary,10300.0,10800.0,11500.0,11800.0,13000.0,13900.0,15000.0,14100.0,15900.0,17400.0
Annual,Euro per inhabitant,Non-coastal regions,Ireland,16900.0,18900.0,19000.0,21000.0,21900.0,22100.0,24100.0,24700.0,26100.0,:
Annual,Euro per inhabitant,Non-coastal regions,Italy,32500.0,32900.0,33500.0,34400.0,35400.0,36300.0,36900.0,34200.0,37900.0,:
Annual,Euro per inhabitant,Non-coastal regions,Lithuania,11800.0,12400.0,12800.0,13500.0,14900.0,16300.0,17600.0,18000.0,20300.0,:
Annual,Euro per inhabitant,Non-coastal regions,Luxembourg,90400.0,93100.0,95100.0,96300.0,97500.0,98900.0,100700.0,102400.0,113100.0,:
Annual,Euro per inhabitant,Non-coastal regions,Latvia,6600.0,7100.0,7300.0,7600.0,8100.0,8900.0,9400.0,9900.0,11000.0,:
Annual,Euro per inhabitant,Non-coastal regions,Montenegro,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Euro per inhabitant,Non-coastal regions,North Macedonia,4200.0,4500.0,4700 e,5100 e,5300 e,5700 e,6000 e,5800 e,6400 e,:
Annual,Euro per inhabitant,Non-coastal regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Euro per inhabitant,Non-coastal regions,Netherlands,36400.0,37100.0,38000.0,39100.0,40800.0,42600.0,44700.0,44200.0,48000 p,:
Annual,Euro per inhabitant,Non-coastal regions,Norway,43200.0,42600.0,42200.0,42400.0,43600.0,44200.0,44600.0,42200.0,48100.0,:
Annual,Euro per inhabitant,Non-coastal regions,Poland,10200.0,10700.0,11300.0,11100.0,12200.0,13100.0,14000.0,13800.0,15200.0,:
Annual,Euro per inhabitant,Non-coastal regions,Portugal,12700.0,13000.0,13600.0,14100.0,14800.0,15600.0,16300.0,15700.0,16900.0,:
Annual,Euro per inhabitant,Non-coastal regions,Romania,7100.0,7400.0,8000.0,8400.0,9400.0,10500.0,11500.0,11400.0,12600.0,:
