Time frequency,Sex,Activity and employment status,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Population,From 18 to 24 years,Percentage,Austria,9.3,10.0 b,10.8,10.2,8.8,8.3,8.5,7.8,7.5,7.0 b,7.3,6.9,7.4,7.3,7.8,8.1,8.0 b,8.4,8.6
Annual,Total,Population,From 18 to 24 years,Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.7,3.6,4.2
Annual,Total,Population,From 18 to 24 years,Percentage,Belgium,12.9,12.6 b,12.1,12.0 b,11.1,11.9,12.3,12.0,11.0,9.8 b,10.1,8.8,8.9 b,8.6,8.4,8.1,6.7 b,6.4,6.2
Annual,Total,Population,From 18 to 24 years,Percentage,Bulgaria,20.4,17.3 b,14.9,14.8,14.7,12.6 b,11.8 b,12.5,12.5,12.9 b,13.4,13.8,12.7,12.7,13.9 b,12.8,12.0 b,10.3,9.3
Annual,Total,Population,From 18 to 24 years,Percentage,Switzerland,9.7,9.6,7.6,7.7,9.1,6.7 b,6.3,5.5,5.6,5.6 b,5.2,4.9,4.5,4.4,4.4,4.0,5.1 b,6.5,5.7
Annual,Total,Population,From 18 to 24 years,Percentage,Cyprus,18.2,14.9 b,12.5,13.7,11.7 b,12.7,11.3,11.4,9.1,6.8 b,5.2,7.6,8.5,7.8,9.0,11.6,9.8 b,8.2,10.4
Annual,Total,Population,From 18 to 24 years,Percentage,Czechia,6.2,5.1 b,5.2,5.6,5.4,4.9,4.9 b,5.5,5.4 b,5.5 b,6.2,6.6,6.7,6.2,6.7,7.6,6.4 b,6.2,6.4
Annual,Total,Population,From 18 to 24 years,Percentage,Germany,13.5 b,13.7,12.5,11.8 b,11.1,11.8 b,11.6,10.5,9.8,9.5 b,10.1,10.3,10.1,10.3,10.3,10.1 b,12.5 b,12.7,12.8
Annual,Total,Population,From 18 to 24 years,Percentage,Denmark,8.7,9.1,12.9 b,12.7 b,11.5,11.5,10.3,9.6,8.2,8.1 b,8.1,7.5 b,8.8 b,10.4,9.9,9.3,9.8 b,10.0,10.4
Annual,Total,Population,From 18 to 24 years,Percentage,Euro area – 20 countries (from 2023),17.4,17.1,16.5,16.1,15.6,15.2,14.5,13.6,12.7,11.7 b,11.5,11.0,10.8,10.8,10.5,10.3,9.9 b,9.9,9.8
Annual,Total,Population,From 18 to 24 years,Percentage,Estonia,14.0,13.4,14.4,14.0,13.5 b,11.0,10.6,10.3,9.7,12.0 b,13.7,11.4,11.8,12.0,11.2,8.5,9.8 b,10.8,9.7
Annual,Total,Population,From 18 to 24 years,Percentage,Greece,13.3,15.1 b,14.3,14.4 b,14.2 b,13.5,12.9,11.3,10.1,9.0 b,7.9,6.2,6.0,4.7,4.1,3.8,3.2 b,4.1,3.7
Annual,Total,Population,From 18 to 24 years,Percentage,Spain,31.0 b,30.3 b,30.8,31.7,30.9,28.2,26.3,24.7,23.6,21.9 b,20.0,19.0,18.3,17.9,17.3,16.0,13.3 b,13.9,13.7
Annual,Total,Population,From 18 to 24 years,Percentage,European Union - 27 countries (from 2020),15.6,15.2 b,14.7,14.4,14.0,13.8,13.2,12.6,11.8,11.1 b,11.0,10.6,10.5,10.5,10.1,10.0,9.8 b,9.7,9.5
Annual,Total,Population,From 18 to 24 years,Percentage,Finland,10.3,9.7,9.1,9.8,9.9,10.3,9.8,8.9,9.3,9.5 b,9.2,7.9,8.2,8.3,7.3,8.2,8.2 b,8.4,9.6
Annual,Total,Population,From 18 to 24 years,Percentage,France,12.5,12.7,12.8,11.8,12.4,12.7,12.3,11.8,9.7 b,8.8 b,9.2,8.8,8.8,8.7,8.2,8.0,7.8 b,7.6,7.6
Annual,Total,Population,From 18 to 24 years,Percentage,Croatia,5.1 bu,4.7 bu,4.5,4.4,5.2,5.2 b,5.0,5.0 b,4.3,2.8 bu,2.7 u,2.8 u,2.9 u,3.1 u,3.0 u,2.2 u,2.4 bu,2.1 u,2.0 u
Annual,Total,Population,From 18 to 24 years,Percentage,Hungary,12.5,12.5 b,11.4,11.7,11.5,10.8,11.4,11.8,11.9,11.4 b,11.6 b,12.4,12.5,12.4 b,11.9,12.0,12.0 b,12.2,11.6
Annual,Total,Population,From 18 to 24 years,Percentage,Ireland,12.5,12.3 b,12.0 b,11.7,11.8,11.9,11.1,9.9,8.7,6.7 b,6.8,6.0,5.0 b,5.0,5.1,5.0,3.3 b,3.7,4.0
Annual,Total,Population,From 18 to 24 years,Percentage,Iceland,24.9,: u,23.2,24.4,21.3 b,22.6,19.7,20.1,20.5,19.1 b,18.8,19.8,17.8,21.5,17.9,14.8 b,14.4 b,16.5,15.8
Annual,Total,Population,From 18 to 24 years,Percentage,Italy,22.1,20.4 b,19.5,19.6,19.1,18.6,17.8,17.3,16.8,15.0 b,14.7,13.8,14.0,14.3 b,13.3,14.2,12.7 b,11.5,10.5
Annual,Total,Population,From 18 to 24 years,Percentage,Lithuania,8.4,8.8 b,7.8,7.5,8.7,7.9,7.4,6.5,6.3,5.9 b,5.5,4.8,5.4,4.6,4.0,5.6,5.3 b,4.8,6.4
Annual,Total,Population,From 18 to 24 years,Percentage,Luxembourg,13.3,14.0 b,12.5 b,13.4,7.7 b,7.1,6.2,8.1,6.1,6.1 b,9.3 b,5.5,7.3,6.3,7.2,8.2,9.3 b,8.2,6.8 u
Annual,Total,Population,From 18 to 24 years,Percentage,Latvia,15.4,15.6 b,15.6,15.5,14.3,12.9,11.6,10.6,9.8,8.5 b,9.9,10.0,8.6,8.3,8.7,7.2,7.3 b,6.7,7.7
Annual,Total,Population,From 18 to 24 years,Percentage,Montenegro,:,:,:,:,:,:,7.2,6.7,5.6,5.1 b,5.7,5.5,5.4,4.6,5.0,3.6,:,:,:
Annual,Total,Population,From 18 to 24 years,Percentage,North Macedonia,:,22.8,19.9 b,19.6,16.2,15.5,13.5,11.7,11.4,12.5 b,11.4,9.9,8.5,7.1,7.1,5.7,:,:,:
Annual,Total,Population,From 18 to 24 years,Percentage,Malta,33.0 b,32.2 b,30.2,27.2,25.7,21.4,18.8 b,18.1,17.1,17.0 b,16.3,15.6,14.0 b,14.0,14.2,13.0,10.9 b,10.3,10.2
Annual,Total,Population,From 18 to 24 years,Percentage,Netherlands,14.3 b,12.9 b,11.9,11.4,11.3,10.1,9.2,8.9,9.3 b,8.7 b,8.2,8.0,7.1,7.3,7.5 b,7.0,5.1 b,5.6,6.2
Annual,Total,Population,From 18 to 24 years,Percentage,Norway,:,17.8,18.4,17.0,17.6,17.4,16.6,14.8,13.7,11.7 b,10.2,10.9,10.4,9.9,9.9,9.9,12.3 b,13.2,12.5
Annual,Total,Population,From 18 to 24 years,Percentage,Poland,5.3,5.4,5.0,5.0 b,5.3,5.4 b,5.6,5.7,5.6 b,5.4 b,5.3,5.2,5.0,4.8 b,5.1 b,5.3,5.8 b,4.7,3.7
Annual,Total,Population,From 18 to 24 years,Percentage,Portugal,38.3,38.5 b,36.5,34.9,30.9,28.3,22.8 b,20.5,18.7,17.3 b,13.5,13.9,12.6,11.6,10.5,9.1,6.4 b,6.3,8.1
Annual,Total,Population,From 18 to 24 years,Percentage,Romania,19.6,17.9 b,17.3,15.9,16.6,19.3 b,18.1,17.8,17.3,18.1 b,19.1,18.5,18.1,16.4,15.3,15.6,15.3 b,15.6,16.6
Annual,Total,Population,From 18 to 24 years,Percentage,Serbia,:,:,:,:,:,8.3,8.5,8.1,8.9,8.4 b,7.5,7.0,6.2,6.8,6.6,5.6,7.7 b,5.7,5.8
Annual,Total,Population,From 18 to 24 years,Percentage,Sweden,10.8 b,8.6 b,8.0 b,7.9 b,7.0,6.5,6.6,7.5,7.1,6.7 b,7.0,7.4,7.7,7.5 b,6.5,7.7,8.4 b,8.8,7.4
Annual,Total,Population,From 18 to 24 years,Percentage,Slovenia,4.9,5.6 b,4.1,5.1,5.3,5.0,4.2,4.4,3.9,4.4 b,5.0,4.9,4.3,4.2,4.6,4.1,3.1 bu,4.0,5.4 b
Annual,Total,Population,From 18 to 24 years,Percentage,Slovakia,6.3,6.6 b,6.5,6.0,4.9,4.7,5.1 b,5.3,6.4,6.7 b,6.9,7.4,9.3,8.6,8.3,7.6,7.8 b,7.4 b,6.4
Annual,Total,Population,From 18 to 24 years,Percentage,Türkiye,:,48.8,46.9,45.5,44.3,43.1,41.9,39.6,37.5,38.3 b,36.4,34.3,32.5,31.0,28.7,26.7,23.1 b,21.2,19.5
Annual,Total,Population,From 18 to 24 years,Percentage,United Kingdom,12.0,11.2 b,16.6 b,16.9 b,15.7,14.8 b,14.9 b,13.4,12.4,11.8 b,10.8,11.2,10.6,10.7,10.9,:,:,:,:
