Time frequency,Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Cyprus,:,:,:,:,:,:,:,8243.0,7102.0,11090.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Czechia,13538 b,14959.0,13576.0,20786.0,14529.0,14260.0,42044.0,19358.0,10179.0,17349.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Germany,134223 e,150235 e,156045 e,205021 e,195207 e,175283 e,168298 e,137319 e,157912 e,159530 e
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Denmark,23360.0,23782.0,23969.0,26096.0,26401.0,27989.0,28150.0,21168.0,18098.0,29190.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Estonia,892.0,837.0,3714 be,3315.0,3006.0,2843.0,3266.0,3898.0,4130.0,3159.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Greece,71507.0,65223 b,66778.0,64614.0,63202.0,62851.0,61910.0,47701.0,46810.0,47228.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Spain,346423.0,241333.0,199281.0,188529.0,213755.0,182592.0,173770.0,145843.0,168751 b,99447.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,869438 ep,1016780 be,978805 e
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Finland,5967.0,6391.0,6224.0,7272.0,6234.0,6420.0,6785.0,6302.0,5263.0,6279.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,France,166322.0,207444.0,233233.0,227443.0,156412.0,:,:,34602.0,92037.0,138908.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Croatia,9711.0,7195.0,10082.0,8047.0,8622.0,9053.0,12436.0,16408.0,19142.0,20214.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Hungary,9632.0,11855.0,12299.0,11033.0,12843.0,13227.0,16093.0,40227.0,38827.0,27724.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Ireland,53024.0,51383.0,48310.0,36167.0,38166.0,37317.0,32392.0,18805.0,22411.0,25508.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Iceland,1968.0,1664.0,1540.0,1302.0,967.0,1083.0,1016.0,960.0,887.0,931.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Italy,71686.0,74684.0,79078.0,84877.0,79317.0,77934.0,96883.0,87695.0,85439.0,78056.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Liechtenstein,332.0,293.0,311.0,335.0,272.0,288.0,245.0,257.0,314.0,268.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Lithuania,31633.0,30748.0,36071.0,39455.0,37218.0,25525.0,24177.0,17845.0,16245.0,8647.0
