Time frequency,Sex,Modalities of the variable for the ad-hoc module,Activity and employment status,Geopolitical entity (reporting)\Time,2006.0
Annual,Females,To increase retirement pension entitlements,Employed persons,Austria,: u
Annual,Females,To increase retirement pension entitlements,Employed persons,Belgium,: u
Annual,Females,To increase retirement pension entitlements,Employed persons,Bulgaria,: u
Annual,Females,To increase retirement pension entitlements,Employed persons,Cyprus,: u
Annual,Females,To increase retirement pension entitlements,Employed persons,Czechia,57.2 u
Annual,Females,To increase retirement pension entitlements,Employed persons,Germany,: u
Annual,Females,To increase retirement pension entitlements,Employed persons,Denmark,: u
Annual,Females,To increase retirement pension entitlements,Employed persons,Euro area - 13 countries (2007),61.4 u
Annual,Females,To increase retirement pension entitlements,Employed persons,Euro area - 17 countries (2011-2013),60.9 u
Annual,Females,To increase retirement pension entitlements,Employed persons,Euro area - 18 countries (2014),60.7 u
Annual,Females,To increase retirement pension entitlements,Employed persons,Estonia,57.2
Annual,Females,To increase retirement pension entitlements,Employed persons,Greece,61.9
Annual,Females,To increase retirement pension entitlements,Employed persons,Spain,: u
Annual,Females,To increase retirement pension entitlements,Employed persons,European Union - 15 countries (1995-2004),59.4
Annual,Females,To increase retirement pension entitlements,Employed persons,European Union - 27 countries (2007-2013),58.4
Annual,Females,To increase retirement pension entitlements,Employed persons,Finland,59.3 u
Annual,Females,To increase retirement pension entitlements,Employed persons,France,: u
Annual,Females,To increase retirement pension entitlements,Employed persons,Hungary,53.2
Annual,Females,To increase retirement pension entitlements,Employed persons,Italy,: u
Annual,Females,To increase retirement pension entitlements,Employed persons,Lithuania,56.9 u
Annual,Females,To increase retirement pension entitlements,Employed persons,Latvia,: u
Annual,Females,To increase retirement pension entitlements,Employed persons,Netherlands,52.3 u
Annual,Females,To increase retirement pension entitlements,Employed persons,Norway,58.5 u
Annual,Females,To increase retirement pension entitlements,Employed persons,Poland,54.8 u
Annual,Females,To increase retirement pension entitlements,Employed persons,Portugal,: u
Annual,Females,To increase retirement pension entitlements,Employed persons,Romania,: u
Annual,Females,To increase retirement pension entitlements,Employed persons,Sweden,59.9 u
Annual,Females,To increase retirement pension entitlements,Employed persons,Slovenia,: u
Annual,Females,To increase retirement pension entitlements,Employed persons,Slovakia,: u
Annual,Females,To increase retirement pension entitlements,Employed persons,United Kingdom,57.6
Annual,Females,To provide sufficient household income,Employed persons,Austria,: u
Annual,Females,To provide sufficient household income,Employed persons,Belgium,: u
Annual,Females,To provide sufficient household income,Employed persons,Bulgaria,55.5
Annual,Females,To provide sufficient household income,Employed persons,Cyprus,63.2 u
Annual,Females,To provide sufficient household income,Employed persons,Czechia,56.8
Annual,Females,To provide sufficient household income,Employed persons,Germany,: u
Annual,Females,To provide sufficient household income,Employed persons,Denmark,61.9 u
Annual,Females,To provide sufficient household income,Employed persons,Euro area - 13 countries (2007),59.1
Annual,Females,To provide sufficient household income,Employed persons,Euro area - 17 countries (2011-2013),58.4
Annual,Females,To provide sufficient household income,Employed persons,Euro area - 18 countries (2014),58.0
Annual,Females,To provide sufficient household income,Employed persons,Estonia,57.0
Annual,Females,To provide sufficient household income,Employed persons,Greece,: u
Annual,Females,To provide sufficient household income,Employed persons,Spain,51.2 u
Annual,Females,To provide sufficient household income,Employed persons,European Union - 15 countries (1995-2004),57.4
Annual,Females,To provide sufficient household income,Employed persons,European Union - 27 countries (2007-2013),56.8
Annual,Females,To provide sufficient household income,Employed persons,Finland,60.5 u
Annual,Females,To provide sufficient household income,Employed persons,France,: u
Annual,Females,To provide sufficient household income,Employed persons,Hungary,56.0
Annual,Females,To provide sufficient household income,Employed persons,Iceland,: u
Annual,Females,To provide sufficient household income,Employed persons,Italy,: u
Annual,Females,To provide sufficient household income,Employed persons,Lithuania,57.5
Annual,Females,To provide sufficient household income,Employed persons,Latvia,56.0
Annual,Females,To provide sufficient household income,Employed persons,Netherlands,53.3
Annual,Females,To provide sufficient household income,Employed persons,Norway,50.0 u
Annual,Females,To provide sufficient household income,Employed persons,Poland,56.0
Annual,Females,To provide sufficient household income,Employed persons,Portugal,60.2
Annual,Females,To provide sufficient household income,Employed persons,Romania,56.3
Annual,Females,To provide sufficient household income,Employed persons,Sweden,59.3
Annual,Females,To provide sufficient household income,Employed persons,Slovenia,58.0 u
Annual,Females,To provide sufficient household income,Employed persons,Slovakia,55.5
Annual,Females,To provide sufficient household income,Employed persons,United Kingdom,56.9
Annual,Females,No financial incentive,Employed persons,Austria,57.9
Annual,Females,No financial incentive,Employed persons,Belgium,: u
Annual,Females,No financial incentive,Employed persons,Bulgaria,: u
Annual,Females,No financial incentive,Employed persons,Cyprus,: u
Annual,Females,No financial incentive,Employed persons,Czechia,57.1
Annual,Females,No financial incentive,Employed persons,Germany,62.5
Annual,Females,No financial incentive,Employed persons,Euro area - 13 countries (2007),60.8
Annual,Females,No financial incentive,Employed persons,Euro area - 17 countries (2011-2013),60.7
Annual,Females,No financial incentive,Employed persons,Euro area - 18 countries (2014),60.7
Annual,Females,No financial incentive,Employed persons,Estonia,57.5 u
Annual,Females,No financial incentive,Employed persons,Greece,: u
Annual,Females,No financial incentive,Employed persons,Spain,62.5 u
Annual,Females,No financial incentive,Employed persons,European Union - 15 countries (1995-2004),59.7
Annual,Females,No financial incentive,Employed persons,European Union - 27 countries (2007-2013),59.2
Annual,Females,No financial incentive,Employed persons,Finland,61.4
Annual,Females,No financial incentive,Employed persons,France,: u
