Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2006.0
Annual,Euro,Ostösterreich,37716.0
Annual,Euro,Südösterreich,32726.0
Annual,Euro,Westösterreich,34772.0
Annual,Euro,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,43977.0
Annual,Euro,Vlaams Gewest,36762.0
Annual,Euro,Région wallonne,37536.0
Annual,Euro,Severna i Yugoiztochna Bulgaria,2389.0
Annual,Euro,Yugozapadna i Yuzhna tsentralna Bulgaria,2745.0
Annual,Euro,Switzerland,: m
Annual,Euro,Cyprus,24331.0
Annual,Euro,Czechia,9693.0
Annual,Euro,Baden-Württemberg,40278.0
Annual,Euro,Bayern,38131.0
Annual,Euro,Berlin,36079.0
Annual,Euro,Brandenburg,28712.0
Annual,Euro,Bremen,37609.0
Annual,Euro,Hamburg,44209.0
Annual,Euro,Hessen,43204.0
Annual,Euro,Mecklenburg-Vorpommern,26165.0
Annual,Euro,Niedersachsen,35002.0
Annual,Euro,Nordrhein-Westfalen,37655.0
Annual,Euro,Rheinland-Pfalz,36049.0
Annual,Euro,Saarland,35332.0
Annual,Euro,Sachsen,27410.0
Annual,Euro,Sachsen-Anhalt,26482.0
Annual,Euro,Schleswig-Holstein,33745.0
Annual,Euro,Thüringen,38457.0
Annual,Euro,Denmark,42918.0
Annual,Euro,Estonia,7958.0
Annual,Euro,Voreia Ellada (NUTS 2010),19463.0
Annual,Euro,Kentriki Ellada (NUTS 2010),21118.0
Annual,Euro,Attiki,29169.0
Annual,Euro,"Nisia Aigaiou, Kriti",20364.0
Annual,Euro,Noroeste,21307.0
Annual,Euro,Noreste,25375.0
Annual,Euro,Comunidad de Madrid,27507.0
Annual,Euro,Centro (ES),20647.0
Annual,Euro,Este,23696.0
Annual,Euro,Sur,20893.0
Annual,Euro,Canarias,19517.0
Annual,Euro,Manner-Suomi,34831.0
Annual,Euro,Åland,36309.0
Annual,Euro,Ile de France,41102.0
Annual,Euro,Bassin Parisien (NUTS 2013),28561.0
Annual,Euro,Nord-Pas-de-Calais (NUTS 2013),29358.0
Annual,Euro,Est (FR) (NUTS 2013),29912.0
Annual,Euro,Ouest (FR) (NUTS 2013),28078.0
Annual,Euro,Sud-Ouest (FR) (NUTS 2013),28804.0
Annual,Euro,Centre-Est (FR) (NUTS 2013),30594.0
Annual,Euro,Méditerranée (NUTS 2013),30150.0
Annual,Euro,Départements d'outre-mer (NUTS 2010),: m
Annual,Euro,Croatia,: m
Annual,Euro,Közép-Magyarország,9926.0
Annual,Euro,Dunántúl,7410.0
Annual,Euro,Alföld és Észak,6882.0
Annual,Euro,Ireland,42008.0
Annual,Euro,Iceland,48665.0
Annual,Euro,Nord-Ovest,30259.0
Annual,Euro,Nord-Est (NUTS 2006),28321.0
Annual,Euro,Centro (I) (NUTS 2006),30578.0
Annual,Euro,Sud,29754.0
Annual,Euro,Isole,30372.0
Annual,Euro,Liechtenstein,: m
Annual,Euro,Lithuania,5665.0
Annual,Euro,Luxembourg,47012.0
Annual,Euro,Latvia,5882.0
Annual,Euro,North Macedonia,: m
Annual,Euro,Malta,17549.0
Annual,Euro,Noord-Nederland,35861.0
Annual,Euro,Oost-Nederland,35857.0
Annual,Euro,West-Nederland,40895.0
Annual,Euro,Zuid-Nederland,37004.0
Annual,Euro,Norway,47647.0
Annual,Euro,Poland,8593.0
Annual,Euro,Continente,16759.0
Annual,Euro,Região Autónoma dos Açores,13515.0
Annual,Euro,Região Autónoma da Madeira,16311.0
Annual,Euro,Macroregiunea Unu,3733.0
Annual,Euro,Macroregiunea Doi,3523.0
Annual,Euro,Macroregiunea Trei,5162.0
Annual,Euro,Macroregiunea Patru,3745.0
Annual,Euro,Sweden,35830.0
Annual,Euro,Östra Sverige,36272.0
Annual,Euro,Södra Sverige,33493.0
Annual,Euro,Norra Sverige,32692.0
Annual,Euro,Slovenia,15811.0
Annual,Euro,Slovakia,6686.0
Annual,Euro,Türkiye,8424.0
Annual,Euro,North East (UK) (NUTS 2021),33950.0
Annual,Euro,North West (UK) (NUTS 2021),37801.0
Annual,Euro,Yorkshire and The Humber (NUTS 2021),36029.0
Annual,Euro,East Midlands (UK) (NUTS 2021),36587.0
Annual,Euro,West Midlands (UK) (NUTS 2021),36697.0
Annual,Euro,East of England (NUTS 2021),40024.0
Annual,Euro,London (NUTS 2021),62797.0
Annual,Euro,South East (UK) (NUTS 2021),44595.0
Annual,Euro,South West (UK) (NUTS 2021),37779.0
Annual,Euro,Wales (NUTS 2021),35065.0
Annual,Euro,Scotland (NUTS 2021),38119.0
Annual,Euro,Northern Ireland (UK) (NUTS 2021),34640.0
