Time frequency,Unit of measure,Water process,Water sources,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Albania,:,:,:,:,:,:,984.24 e,858.68,799.82,704.2,686.44,690.31
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Belgium,4757.2,4740.66,4266.41,4001.86,3438.9,4092.09,3841.47,3548.78,3920.03,3429.9,3639.67 e,:
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Bulgaria,5840.35,5149.44,4910.18,4828.72,5070.75,5128.29,5076.24,4858.76,4859.59,4515.49,4754.92,:
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Switzerland,:,999.50 e,:,:,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Cyprus,65.8,100.3,115.3,81.8,81.9,62.8,61.3,51.6,67.4,96.4,99.6,87.9
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Czechia,1508.4,1461.4,1279.1,1288.7,1236.7,1272.8,1261.0,1220.7,1147.0,1011.0,986.4,1089.5
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Germany,24600.38 i,22005.76 i,19411.13,19074.82 i,18738.50 i,18402.18,17149.58 i,15896.98 i,14644.39,:,:,:
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Denmark,248.0,249.89,258.47,242.66,236.99,204.99,222.11,239.1,223.04,249.39,244.38 p,225.78 p
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Estonia,1574.7,1357.2,1535.0,1525.00 e,1414.0,1534.0,1541.35,1391.62,775.29,626.44,760.51,964.33
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Greece,4409.54,4414.76,4414.83,4401.22,4403.07,3903.67 b,3900.63,3897.59,3886.87,3898.7,3863.6,3852.31 p
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Spain,28926.0,27812.97,26236.75,26612.71,25322.0,24906.0,24082.6,23688.6,23524.6,23618.6,:,:
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,France,22407.92,24402.22,22206.69,21735.44,22344.9,20914.01,21245.99,21081.94,20484.35,18786.48,19137.65,:
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Croatia,200.80 e,219.45 e,198.22,179.54,201.57,202.75,260.95,257.24,264.87,254.24,264.37,288.67
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Hungary,4689.9,4516.3,3981.65 i,3447.0,3665.0,3790.0,3916.0,3991.53 i,4067.06 i,4142.59 i,4218.12 i,4293.65
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Lithuania,456.8,518.15,284.66,229.74,253.56,182.89,135.56,123.06,119.37,239.75,188.71,133.37
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Luxembourg,23.9,23.7,18.02,19.28,19.51,19.85,22.77,24.31,26.3,24.48,23.72,21.26
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Latvia,87.33,102.22,92.41,85.01,96.22,104.63,97.63,96.82,93.66,97.08,98.76,89.7
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Montenegro,:,:,:,:,:,:,:,:,:,2240.66,2984.75,2101.58
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,North Macedonia,653.40 i,537.60 i,421.80 i,306.0,2099.65 b,1022.23,1982.94,2214.48,1590.05,1430.41,1559.76,2147.37
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Malta,2.62 e,2.62 e,2.62 e,2.62 e,2.62 e,2.62 e,2.62 e,2.62 e,2.96 e,2.96 e,2.96 e,2.96 e
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Netherlands,9198.95,9798.28,9671.3,8474.5,7451.6,7037.9,6900.1,6902.4,7259.7,7135.0,6955.9,:
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Poland,9178.2,8834.0,8634.5,8731.0,8486.0,8559.35,8094.04,7825.07,7211.91,6667.86,7253.95,7392.28
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Romania,5992.0,5884.0,5837.0,5715.0,5868.0,5729.0,6116.0,5673.0,6264.0,6593.0,7050.0,7359.0
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Serbia,3949.34,3591.46,3926.7,3172.47,3931.69,3974.51,4665.47,4833.87,4917.2,4614.12,4334.36,3815.59
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Sweden,2374.80 i,2283.60 i,2192.40 i,2101.20 i,2010.0,2025.80 i,2041.60 i,2057.40 i,2073.20 i,2089.0,:,:
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Slovenia,665.6,601.7,712.2,796.4,713.5,705.0,741.1,767.78,755.33,817.99,741.04,632.74
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Slovakia,258.7,326.4,308.2,238.0,247.8,232.0,244.1,234.2,242.5,240.9,243.8,239.02
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Türkiye,:,36949.92 de,:,37370.95,:,44553.02,:,44913.58,:,46518.06,:,47991.08
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,United Kingdom,5526.0,6168.0,5699.85 i,5231.7,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Total gross abstraction,Fresh surface water,Kosovo*,223.94,217.79,221.61,219.62,229.31,240.0,239.33,243.12,240.28,:,:,:
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Albania,:,:,:,:,:,:,690.00 e,644.0,610.3,536.8,556.3,557.25
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Belgium,4.34 e,4.37 e,4.72 e,4.27 e,5.34 e,4.66 e,5.53 e,8.17 e,7.09 e,8.27,4.75 e,:
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Bulgaria,1038.41,930.6,809.83,716.35,820.83,898.45,823.59,713.28,787.02,746.0,803.58,:
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Switzerland,:,119.80 e,:,:,:,:,:,:,:,:,:,:
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,36.6,42.0,52.6,37.3,38.2,37.3,33.2,22.3,31.9,39.2,45.2,41.9
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,27.3,31.1,31.1,35.3,40.1,33.4,31.9,32.4,27.3,23.3,20.7,27.8
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,50.23 i,46.36 i,42.49,52.06 i,61.62 i,71.19,88.39 i,105.59 i,122.79,:,:,:
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,241.11,243.59,251.73,236.12,229.93,198.86,213.64,230.15,211.64,236.35,231.23 p,213.33 p
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,0.12 i,0.07 i,0.03,0.03,0.02,0.16,0.3,0.33,0.06,0.05,0.09,0.05
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Greece,3615.4,3615.4,3615.4,3615.4,3615.4,2801.64 b,2801.64,2801.64,2801.64,2801.64,2801.64,2801.64 p
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Spain,19299.73,18349.97,16908.4,17331.06,16098.0,15722.0,15300.0,14878.0,14780.0,14710.0,:,:
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,France,1819.99,1881.06,1745.99,1327.24,1885.52,1935.95,1826.19,1744.15,1888.18,1985.12,1615.34,:
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Croatia,30.00 e,30.00 e,30.00 e,30.00 e,30.00 e,30.00 e,30.00 e,30.00 e,30.00 e,30.00 e,30.00 e,30.00 e
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Hungary,276.4,264.2,:,:,:,:,:,:,:,:,:,598.3
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Ireland,:,:,:,:,:,:,:,32.81 b,32.96,35.33,36.26,36.33
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Lithuania,59.71,57.03,55.13,54.34,57.86,55.78,55.19,53.47,54.1,56.13,54.56,53.24
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Luxembourg,:,:,0.0,0.0,0.0,0.01,0.01,0.0,0.04,0.02,0.01,0.0
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Latvia,20.96,39.4,34.18,35.09,47.07,56.1,52.72,51.85,51.7,53.85,52.7,48.19
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Montenegro,:,:,:,:,:,:,:,:,:,0.01,0.01,0.03
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Malta,1.25 e,1.25 e,1.25 e,1.25 e,1.25 e,1.25 e,1.25 e,1.25 e,1.25 e,1.25 e,1.25 e,1.25 e
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Netherlands,30.86,13.51,23.85,21.94,28.89,20.06,22.73,76.83,54.6,93.0,21.2,:
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Poland,1111.2,1102.4,1080.0,1055.5,990.1,1039.94,1015.54,953.47,847.41,801.62,841.44,832.38
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Romania,941.0,1063.0,1109.0,1067.0,1255.0,1203.0,1444.0,1292.0,1538.0,2095.0,2405.0,2872.0
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Serbia,260.5,314.05,323.6,323.9,439.21,342.28,408.37,481.66,488.87,431.81,405.38,418.1
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Sweden,50.60 i,48.20 i,45.80 i,43.40 i,41.00 e,45.40 i,49.80 i,54.20 i,58.60 i,63.00 e,:,:
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Slovenia,2.9,2.0,3.3,1.6,3.2,2.7,3.0,2.59,2.9,2.4,2.1,2.59
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Slovakia,11.1,18.1,14.0,10.6,17.5,9.4,17.6,12.8,14.5,14.4,13.9,17.3
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Türkiye,33099.00 d,34003.00 d,34699.00 d,34487.97,39113.43,40967.00 e,40036.00 e,41274.76 e,43062.90 e,42620.49 e,41212.73 e,43958.92 e
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,United Kingdom,782.4,893.0,870.50 i,848.0,:,:,:,:,:,:,:,:
Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Kosovo*,46.63,48.53,54.84,56.81,56.98,62.34,54.87,53.77,52.6,:,:,:
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Albania,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Belgium,3382.62,3384.42,2969.97,2652.76,2163.03,2834.5,2497.11,2239.63,2604.79,2134.29,2256.38 e,:
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Bulgaria,3773.43,3266.69,3163.45,3219.76,3672.81,3668.45,3693.89,3606.91,3438.54,3284.82,3470.53,:
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Switzerland,:,37.40 e,:,:,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Czechia,681.9,627.5,496.1,491.9,439.1,514.3,481.2,408.6,359.6,289.2,264.5,354.0
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Germany,17293.93 i,14959.96 i,12626.00 e,12317.18 i,12008.37 i,11699.56 e,10487.65 i,9275.75 i,8063.85 e,:,:,:
