Time frequency,Accommodation unit,Unit of measure,Size of tourism establishments by number of rooms,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Bedplaces,Percentage,Total,Albania,:,:,:,:,:,:,22 e,:,10.1 e,:,:,27.4 e
Annual,Bedplaces,Percentage,Total,Austria,28.3,28.3,28.3,40.0,41.0,47.0,48.0,48.0,28.0,27.0,43.0,46.0
Annual,Bedplaces,Percentage,Total,Belgium,39.8,40.4,: @C,44.02,40.0,44.0,45.0,46.0,23.92,28.42,40.86,39.99
Annual,Bedplaces,Percentage,Total,Bulgaria,38.8,39.5,37.8,37.0,41.5,42.0,42.3,42.1,26.5,32.7,38.1,40.1
Annual,Bedplaces,Percentage,Total,Switzerland,40.8,41.9,42.2,41.7,41.6,45.03,44.6,44.85,:,34.87,42.49,45.22
Annual,Bedplaces,Percentage,Total,Cyprus,64.5,63.0,61.6,65.3,71.3,76.4,74.4,71.8,28.7,50.1,66.4,72.9
Annual,Bedplaces,Percentage,Total,Czechia,34.8,34.8,35.2,36.2,46.5,49.9,50.0,50.9,27.0,24.0,33.0,37.2
Annual,Bedplaces,Percentage,Total,Germany,39.9,40.6,41.8,42.99,43.86,44.8,45.33,45.71,28.6,29.02,40.04,42.93
Annual,Bedplaces,Percentage,Total,Denmark,40.0,42.0,44.0,47.0,48.0,48.0,48.0,48.0,23.0,30.0,45.0,45.0
Annual,Bedplaces,Percentage,Total,Euro area - 19 countries  (2015-2022),:,:,:,46.55,47.7,:,50.48,50.49,28.61,34.31,47.75,:
Annual,Bedplaces,Percentage,Total,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,47.91,50.49
Annual,Bedplaces,Percentage,Total,Estonia,45.0,45.0,44.0,44.0,47.0,48.0,47.0,48.0,22.0,27.0,40.0,39.0
Annual,Bedplaces,Percentage,Total,Greece,43.2,45.2,47.3,49.1,50.1,52.8,51.5,49.5,30.1,42.9,51.1,54.7
Annual,Bedplaces,Percentage,Total,Spain,53.0,54.1,55.7,58.08,61.34,62.62,61.69,61.48,31.0,43.76,58.52,61.4
Annual,Bedplaces,Percentage,Total,European Union - 27 countries (from 2020),42.74,42.99,43.67,45.64,47.13,49.09,49.78,49.85,28.18,33.89,46.74,49.2
Annual,Bedplaces,Percentage,Total,Finland,40.0,39.0,38.3,38.92,40.25,41.5,41.14,41.99,28.79,31.35,38.04,39.93
Annual,Bedplaces,Percentage,Total,France,48.3,47.4,46.5,47.0,46.3,48.9,50.3,50.0,28.5 e,35 e,49.4,50.0
Annual,Bedplaces,Percentage,Total,Croatia,53.1,53.2,52.7,53.5,56.5,59.5,59.5,60.3,25.4,42.5,55.4,57.7
Annual,Bedplaces,Percentage,Total,Hungary,32.1,33.5,35.0,36.3,38.3,40.6,41.5,41.9,23.4,27.6,35.7,37.6
Annual,Bedplaces,Percentage,Total,Ireland,43 e,44 e,46 e,52 e,54 e,:,53 e,54 e,15 e,13 e,54.0,59.0
Annual,Bedplaces,Percentage,Total,Iceland,39.8,37.4,44.6,0.49,54.9,:,:,51.1,20.1,30.3,49.1,53.2
Annual,Bedplaces,Percentage,Total,Italy,40.9,40.5,40.6,42.5,43.7,46.1,48.3,49.0,29.7,37.9,48.3,51.5
Annual,Bedplaces,Percentage,Total,Liechtenstein,30.5,31.7,29.4,27.6,23.7,26.1,28.7,30.2,23.8,29.2,:,36.7
Annual,Bedplaces,Percentage,Total,Lithuania,35.0,36.8,37.1,36.8,39.0,40.8,42.7,44.0,23.7,27.7,42.4,43.9
Annual,Bedplaces,Percentage,Total,Luxembourg,30.6,31.8,35.1,32.32,35.07,31.28,33.43,38.99,23.7,28.48,37.64,37.74
Annual,Bedplaces,Percentage,Total,Latvia,35.8,35.9,39.8,36.3,37.0,39.61,43.6,43.3,21.4,20.8,34.5,35.5
Annual,Bedplaces,Percentage,Total,Montenegro,30.0,:,:,35.2,33.7,34.9,:,:,:,:,:,:
Annual,Bedplaces,Percentage,Total,North Macedonia,:,34.3,22.5,22.99,22.0,24.3,26.4,27.5,15.9,18.67,25.28,29.25
Annual,Bedplaces,Percentage,Total,Malta,57.6,60.5,63.8,64.3,64.4,66.4,68.2,66.2,25.7,33.8,54.4,63.4
Annual,Bedplaces,Percentage,Total,Netherlands,42.3,42.8,44.2,45.6,47.6,50.4,50.9,50.2,26.8,26.9,46.9,53.6
Annual,Bedplaces,Percentage,Total,Norway,35.4,35.1,35.7,37.3,38.5,:,:,:,26.5,28.0,35.7,37.3
Annual,Bedplaces,Percentage,Total,Poland,33.1,33.7,34.7,36.6,38.6,39.8,40.8,41.7,25.5,30.7,41.3,41.6
Annual,Bedplaces,Percentage,Total,Portugal,39.5,39.8,42.4,44.1,48.52,51.36,51.36,51.05,25.22,32.96,49.06,51.91
Annual,Bedplaces,Percentage,Total,Romania,30.1,29.5,30.7,33.79,36.03,36.5,38.02,39.72,25.0,29.52,33.53,34.77
Annual,Bedplaces,Percentage,Total,Serbia,26.8,27.8,26.3,28.6,31.2,:,:,:,22.1,28.4,40.6,40.6
Annual,Bedplaces,Percentage,Total,Sweden,37.8,38.3,39.8,43.24,45.68,45.96,46.0,45.0,27.0,33.58,42.34,44.19
Annual,Bedplaces,Percentage,Total,Slovenia,42.6,42.3,42.8,44.7,47.0,50.1,:,43.99,30.62,34.69,41.65,42.47
Annual,Bedplaces,Percentage,Total,Slovakia,26.8,27.8,27.2,29.5,32.91,34.18,34.21,36.16,27.85,24.7,31.8,33.61
Annual,Bedplaces,Percentage,Total,Türkiye,:,52.6,51.83,51.18,41.49,:,3.28,3.59,1.51,2.7,3.85,:
Annual,Bedplaces,Percentage,Total,United Kingdom,48.1,50.0,52.1,50.8,51.6,:,:,:,:,:,:,:
Annual,Bedrooms,Percentage,Total,Albania,:,:,:,:,:,:,17.5 e,:,10.4 e,:,:,24.1 e
Annual,Bedrooms,Percentage,Total,Austria,:,:,:,52.0,54.0,55.0,56.0,56.0,34.0,32.0,50.0,54.0
Annual,Bedrooms,Percentage,Total,Belgium,53.6,54.6,: @C,61.54,56.0,62.0,65.0,66.0,34.88,40.49,59.31,59.57
Annual,Bedrooms,Percentage,Total,Bulgaria,49.6,52.1,49.4,48.7,55.2,57.1,58.1,57.8,34.9,44.6,53.5,55.9
Annual,Bedrooms,Percentage,Total,Switzerland,50.5,51.6,52.0,51.5,51.33,55.36,54.5,55.16,:,41.43,51.6,54.97
Annual,Bedrooms,Percentage,Total,Cyprus,64.0,61.5,62.7,63.0,69.9,74.6,71.2,68.6,29.6,48.4,63.4,69.2
Annual,Bedrooms,Percentage,Total,Czechia,38.6,41.3,44.7,43.0,46.4,49.8,50.1,50.9,30.2,28.0,38.2,43.4
Annual,Bedrooms,Percentage,Total,Germany,57.1,57.9,59.1,60.23,61.8,62.07,62.72,63.04,37.8,38.78,54.89,60.17
Annual,Bedrooms,Percentage,Total,Denmark,54.0,55.0,57.0,61.0,62.0,62.0,62.0,62.0,30.0,39.0,59.0,60.0
