Time frequency,Unit of measure,Size classes in number of employees,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2006.0,2010.0,2014.0,2018.0,2022.0
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Belgium,7.91,7.37,5.37,20.29,24.96
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Bulgaria,23.88,27.91,24.02,29.86,37.58
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Switzerland,:,10.35,7.04,7.64,7.57
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Cyprus,28.51,33.56,27.66,28.99,31.5
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Czechia,17.03,19.18,20.02,16.03,14.55
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Germany,16.25,19.13,23.36,21.13,19.31
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Denmark,7.23,7.55,7.03,7.4,8.97
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Euro area - 17 countries (2011-2013),12.8,14.16,18.18,16.97,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Euro area - 18 countries (2014),:,:,:,17.08,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Euro area - 19 countries  (2015-2022),:,:,18.49,17.27,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Estonia,27.78,30.85,28.03,27.5,28.21
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Greece,21.6,19.23,29.17,25.29,25.58
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Spain,12.99,15.27,17.01,15.41,15.62
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),European Union - 27 countries (2007-2013),17.87,19.16,20.86,18.84,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),European Union - 27 countries (from 2020),15.45,17.19,19.62,18.1,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),European Union - 28 countries (2013-2020),:,19.21,20.98,:,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Finland,6.58,8.38,7.96,7.5,8.48
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),France,7.12,6.45,10.43,9.75,10.41
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Croatia,:,25.01,30.79,22.57,23.55
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Hungary,24.85,21.34,20.93,10.98,11.56
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Ireland,27.44,25.56,29.69,29.56,27.97
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Iceland,5.45,6.86,7.31,5.46,2.52
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Italy,7.83,8.5,8.29,7.57,9.27
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Lithuania,39.01,39.39,33.28,32.79,25.19
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Luxembourg,12.15,9.84,9.97,10.24,14.03
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Latvia,37.84,35.53,33.47,31.91,32.22
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Montenegro,:,:,35.35,:,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),North Macedonia,:,37.89,30.22,18.0,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Malta,7.84,10.43,13.28,15.4,16.67
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Netherlands,13.84,15.19,18.73,19.24,17.34
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Norway,4.73,4.9,6.2,7.0,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Poland,25.46,31.55,31.97,30.55,27.9
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Portugal,11.96,10.07,9.11,4.43,1.68
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Romania,30.17,32.38,31.54,26.25,31.32
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Serbia,:,:,27.0,21.48,26.64
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Sweden,2.21,2.56,3.31,4.39,5.08
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Slovenia,18.35,18.32,22.52,20.88,11.36
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Slovakia,18.55,20.93,21.23,16.48,15.32
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Türkiye,0.25,0.33,0.63,0.84,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),United Kingdom,28.14,31.25,28.9,23.87,:
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Albania,:,:,:,7.29,5.71
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Austria,3.46,3.15,5.55,5.33,5.13
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Bosnia and Herzegovina,:,:,:,:,4.49
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Belgium,1.17,0.23,0.2,0.84,1.88
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Bulgaria,5.02,5.67,4.79,5.36,8.28
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Switzerland,:,1.43,1.6,1.95,2.3
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Cyprus,8.02,4.2,6.8,4.9,6.64
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Czechia,1.8,2.2,2.49,2.47,2.34
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Germany,3.83,2.12,6.01,5.68,6.57
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Denmark,3.17,2.62,2.12,2.73,3.48
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Euro area - 17 countries (2011-2013),3.92,3.13,5.31,4.63,:
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Euro area - 18 countries (2014),:,:,:,4.68,:
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Euro area - 19 countries  (2015-2022),:,:,5.48,4.72,:
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Estonia,8.84,7.02,13.84,12.74,12.03
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Greece,8.06,4.28,7.77,7.38,15.57
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Spain,6.35,4.98,5.08,4.84,4.5
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),European Union - 27 countries (2007-2013),4.62,5.79,6.04,5.39,:
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),4.32,3.63,4.78,4.68,:
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),European Union - 28 countries (2013-2020),:,5.78,6.4,:,:
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Finland,1.37,1.7,1.55,1.49,1.8
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),France,2.35,2.77,3.61,3.99,4.3
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Croatia,:,2.66,3.32,2.54,3.17
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Hungary,3.75,2.08,3.31,1.29,1.06
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Ireland,12.87,12.93,13.17,13.03,9.7
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Iceland,2.79,2.83,1.84,3.05,1.45
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Italy,3.56,2.55,2.8,2.79,2.46
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Lithuania,14.78,13.31,11.59,7.82,7.39
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Luxembourg,1.11,0.66,1.87,1.72,1.93
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Latvia,13.21,12.0,11.64,9.84,10.47
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Montenegro,:,:,6.05,:,:
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),North Macedonia,:,5.88,7.77,4.54,:
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Malta,1.29,2.64,3.54,4.07,5.48
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Netherlands,3.9,3.53,4.82,4.29,3.53
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Norway,1.72,1.61,2.34,3.07,:
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Poland,5.43,6.13,7.75,7.23,5.88
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Portugal,1.26,0.97,0.85,0.31,0.2
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Romania,6.81,5.06,5.29,5.91,7.13
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Serbia,:,:,6.22,4.92,6.18
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Sweden,0.75,2.09,1.15,1.46,1.8
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Slovenia,2.85,1.49,3.3,3.75,2.68
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Slovakia,3.35,3.33,4.52,3.94,2.83
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),Türkiye,0.13,0.44,0.37,0.2,:
Annual,Percentage,10 employees or more,Tertiary education (levels 5-8),United Kingdom,5.97,11.42,10.27,7.91,:
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Albania,:,:,:,23.04,16.35
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Austria,14.19,15.02,14.76,14.75,14.04
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Bosnia and Herzegovina,:,:,:,:,17.51
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Belgium,6.82,6.37,3.79,13.68,15.86
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Bulgaria,18.9,22.01,18.19,21.41,26.84
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Switzerland,:,11.03,9.37,9.53,9.6
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Cyprus,22.65,22.62,19.33,18.73,19.99
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Czechia,17.05,18.19,18.69,15.09,13.78
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Germany,20.3,22.24,22.48,20.68,18.98
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Denmark,8.31,8.17,8.61,8.69,9.7
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Euro area - 17 countries (2011-2013),14.27,14.78,15.7,14.89,:
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Euro area - 18 countries (2014),:,:,:,14.95,:
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Euro area - 19 countries  (2015-2022),:,:,15.88,15.03,:
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Estonia,23.19,23.76,22.76,21.95,21.23
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Greece,15.73,12.82,21.72,19.65,21.74
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Spain,13.37,14.66,14.59,14.33,13.24
Annual,Percentage,10 employees or more,All ISCED 2011 levels,European Union - 27 countries (2007-2013),16.69,16.93,17.18,15.49,:
Annual,Percentage,10 employees or more,All ISCED 2011 levels,European Union - 27 countries (from 2020),15.73,15.8,16.36,15.22,:
Annual,Percentage,10 employees or more,All ISCED 2011 levels,European Union - 28 countries (2013-2020),:,16.96,17.19,:,:
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Finland,4.75,5.85,5.28,5.03,6.49
Annual,Percentage,10 employees or more,All ISCED 2011 levels,France,7.13,6.08,8.81,8.61,9.68
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Croatia,:,21.35,23.11,18.42,18.57
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Hungary,21.87,19.51,17.75,11.61,14.61
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Ireland,21.41,20.66,21.56,19.78,19.79
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Iceland,11.24,8.99,7.54,11.16,4.39
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Italy,10.27,12.36,9.44,8.46,8.81
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Lithuania,29.12,27.24,23.96,22.33,17.86
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Luxembourg,13.18,13.06,11.94,11.38,14.0
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Latvia,30.9,27.81,25.46,23.49,23.26
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Montenegro,:,:,27.25,:,:
Annual,Percentage,10 employees or more,All ISCED 2011 levels,North Macedonia,:,28.25,25.13,16.06,:
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Malta,14.43,17.61,15.08,15.51,15.92
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Netherlands,17.74,17.46,17.98,18.24,16.31
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Norway,6.48,7.27,8.29,8.71,:
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Poland,24.72,24.16,23.56,21.87,18.96
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Portugal,20.72,16.08,12.03,3.95,1.77
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Romania,26.85,25.82,24.4,20.01,23.87
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Serbia,:,:,22.91,17.81,21.89
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Sweden,1.77,2.51,2.64,3.61,4.05
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Slovenia,19.24,17.14,18.47,16.52,9.38
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Slovakia,18.3,19.03,19.21,16.01,13.36
Annual,Percentage,10 employees or more,All ISCED 2011 levels,Türkiye,0.24,0.4,0.46,0.81,:
Annual,Percentage,10 employees or more,All ISCED 2011 levels,United Kingdom,21.77,22.06,21.26,16.98,:
Annual,Percentage,10 employees or more,Unknown,Germany,84.06,:,:,:,:
Annual,Percentage,10 employees or more,Unknown,Euro area - 17 countries (2011-2013),84.06,:,:,:,:
Annual,Percentage,10 employees or more,Unknown,European Union - 27 countries (2007-2013),84.06,50.0,:,:,:
Annual,Percentage,10 employees or more,Unknown,European Union - 27 countries (from 2020),85.81 i,:,:,:,:
Annual,Percentage,10 employees or more,Unknown,European Union - 28 countries (2013-2020),:,50.0,:,:,:
Annual,Percentage,10 employees or more,Unknown,United Kingdom,:,50.0,:,:,:
