Time frequency,Unit of measure,National accounts indicator (ESA 2010),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Algeria,45.2 d,42.9 d,43.3 d,43.4 d,53.7 d,51.5 d,51.8 d,52.5 d,53.8 d,56.2 d,62.6 d,63.4,61.5,59.3,61.7,60.0,66.6,:,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Egypt,84.3 d,82.9 d,83.7 d,83.2 d,87.4 d,85.7 d,87.0 d,91.9 d,92.1 d,94.8 d,94.2 d,94.5 d,96.9 d,:,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Israel,76.6,76.3,76.7,77.6,76.7,76.8,76.9,76.4,76.0,75.8,75.0,75.3,75.1,75.2,74.4,71.8,71.1,70.1,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Jordan,107.4 de,105.7 de,107.3 de,92.8 e,89.5 e,85.2 e,93.8 e,96.4 e,102.3 e,99.9 e,97.4 e,96.5 e,95.9,93.3,91.1,96.4,94.7,:,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Lebanon,96.5,99.3,99.4,101.5,97.1,100.1,102.6,106.1,105.3,107.3,103.3,101.1,102.8,104.3,109.3,121.7,:,:,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Libya,:,33.0,36.8,33.3,55.1,45.8,78.3,49.3,64.9,85.8,95.0,98.1,79.5,69.4,78.3,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Morocco,:,:,:,:,:,:,:,:,:,80.9,77.1,77.7,77.3,77.5,77.2,78.5,78.7,81.2,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Palestine*,125.7 de,124.5 de,125.2 de,121.2 de,119.2 de,115.9 de,115.2 de,117.3 de,110.1 de,112.9 de,113.4 de,112.8 de,107.0 de,108.2 d,109.5 d,110.4 d,111.5 d,120.0 d,114.6 df
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Tunisia,78.7 dp,78.4 d,78.2 d,77.5 d,78.6 d,79.5 d,84.4 d,85.0 d,86.8 d,87.9 d,88.7,90.0,91.1,89.9,90.6 d,95.6,94.8 p,:,:
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Algeria,33.8 d,31.7 d,31.7 d,30.2 d,37.6 d,34.3 d,31.2 d,32.1 d,34.7 d,36.4 d,41.0 d,42.5,42.6,42.0,43.4,43.1,47.8,:,:
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Egypt,71.6 d,70.6 d,72.4 d,72.3 d,76.1 d,74.6 d,75.6 d,80.7 d,80.8 d,82.9 d,82.4 d,83.1 d,86.8 d,:,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Israel,53.6,53.8,54.8,55.7,54.6,54.9,55.0,54.3,53.9,53.8,53.0,53.3,53.0,52.8,52.3,48.4,49.0,49.2,:
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Jordan,87.8 de,85.0 de,86.7 de,74.4 e,68.5 e,65.9 e,73.8 e,77.3 e,84.0 e,81.6 e,79.6 e,79.3 e,79.0,76.6,74.7,79.8,78.9,:,:
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Lebanon,82.0,84.8,85.7,88.1,84.2,87.9,90.0,92.5,92.3,94.6,90.8,88.1,89.6,88.9,93.6,106.0,:,:,:
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Libya,:,22.9,23.4,21.2,36.9,28.3,34.6,24.9,33.2,43.2,44.2,49.7,39.2,34.1,38.5,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Morocco,:,:,:,:,:,:,:,:,:,61.7,59.0,59.3,59.3,59.5,59.0,59.1,59.7,62.0,:
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Palestine*,100.4 de,97.1 de,98.4 de,95.6 de,93.3 de,90.1 de,89.6 de,92.6 de,86.9 de,88.5 de,88.4 de,89.2 de,87.0 de,86.9 d,89.2 d,87.5 d,87.9 d,99.4 d,93.5 df
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Tunisia,61.8 dp,61.7 d,61.6 d,61.4 d,62.0 d,62.9 d,66.4 d,66.8 d,68.1 d,69.2 d,70.8,71.3,71.9,71.5,71.8 d,74.0,73.9 p,:,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Algeria,11.5 d,11.2 d,11.6 d,13.2 d,16.1 d,17.2 d,20.7 d,20.3 d,19.1 d,19.8 d,21.6 d,20.9,19.0,17.3,18.3,16.9,18.8,:,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Egypt,12.7 d,12.3 d,11.3 d,10.9 d,11.4 d,11.2 d,11.5 d,11.2 d,11.4 d,11.8 d,11.8 d,11.4 d,10.1 d,:,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Israel,23.1,22.6,21.9,21.9,22.1,22.0,21.8,22.1,22.1,22.0,22.0,22.0,22.1,22.4,22.2,23.3,22.1,20.9,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Jordan,19.5 de,20.6 de,20.6 de,18.4 e,20.9 e,19.2 e,20.1 e,19.1 e,18.3 e,18.2 e,17.8 e,17.3 e,16.9,16.7,16.4,16.6,15.8,:,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Lebanon,14.5,14.5,13.7,13.4,12.9,12.2,12.6,13.7,12.9,12.7,12.5,13.0,13.2,15.3,15.6,15.7,:,:,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Libya,:,10.1,13.4,12.1,18.2,17.5,43.7,24.4,31.7,42.6,50.8,48.4,40.3,35.3,39.8,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Morocco,:,:,:,:,:,:,:,:,:,19.1,18.2,18.4,18.0,18.0,18.2,19.4,19.0,19.2,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Palestine*,25.4 e,27.4 e,26.8 e,25.6 e,25.9 e,25.9 e,25.6 e,24.7 e,23.2 e,24.4 e,25.0 e,23.6 e,20.1 e,21.3,20.2,22.9,23.6,20.6,21.1 f
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure of general government,Tunisia,16.9 dp,16.7 d,16.6 d,16.1 d,16.6 d,16.6 d,18.0 d,18.2 d,18.6 d,18.7 d,17.9,18.7,19.1,18.4,18.8 d,21.6,21.0 p,:,:
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Algeria,22.4 d,23.2 d,26.3 d,29.2 d,38.2 d,36.3 d,31.7 d,30.8 d,34.2 d,37.4 d,42.3 d,43.1,40.8,40.3,38.4,34.6,37.5,:,:
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Egypt,17.9 d,18.7 d,20.9 d,22.3 d,18.9 d,19.2 d,16.7 d,14.7 d,13.0 d,12.4 d,13.7 d,14.5 d,14.8 d,:,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Israel,22.0,22.3,23.0,22.6,21.1,21.3,22.6,23.3,22.4,21.8,21.0,22.3,22.0,23.2,22.9,22.4,23.5,24.6,:
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Jordan,30.6 de,25.5 de,27.5 de,31.5 e,30.7 e,30.9 e,28.4 e,24.3 e,22.4 e,22.2 e,21.8 e,20.0 e,20.1,20.4,18.4,18.9,22.2,:,:
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Lebanon,22.0,21.9,24.5,27.3,28.0,25.0,25.6,25.3,27.0,24.4,21.7,22.6,21.4,21.8,13.6,12.5,:,:,:
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Libya,:,21.0,20.7,22.1,25.0,21.8,17.4,15.9,16.8,23.2,17.1,19.4,16.2,16.1,15.8,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Morocco,:,:,:,:,:,:,:,:,:,27.0,25.9,28.7,28.1,27.9,27.2,26.2,26.3,27.1,:
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Palestine*,21.8 e,20.4 e,15.2 e,19.1 e,20.8 e,18.4 e,20.5 e,23.3 e,22.6 e,21.5 e,23.7 e,24.1 e,25.4 e,25.7,24.7,22.0,23.4,25.2,28.2 f
