Time frequency,Unit of measure,Air pollutants and greenhouse gases,airsect,geo\TIME_PERIOD,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0
Annual,Thousand tonnes,Methane,TOT_X_5,EG,2058.1,2088.5,2202.8,2742.9,2886.7,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Methane,TOT_X_5,IL,263378.2,277169.5,287926.4,298480.0,304260.3,319792.2,320373.1,330248.1,331648.3,337858.9,338555.8,345398.4,347531.0
Annual,Thousand tonnes,Methane,TOT_X_5,PS,15.1 de,33.4 de,33.6 de,33.9 de,34.0 de,35.7 de,38.2 de,38.5 de,38.5 de,40.5 de,42.8 de,44.2 de,44.2 de
Annual,Thousand tonnes,Carbon dioxide,1.0,EG,:,60200.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Carbon dioxide,1.0,IL,61993.7,62959.0,65686.6,65396.9,62933.7,64407.9,66025.8,71195.3,65256.3,62767.8,65165.4,64005.3,63704.3
Annual,Thousand tonnes,Carbon dioxide,1.0,JO,20792.0,20766.9,20712.4,21387.7,22369.0,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Carbon dioxide,1.0,PS,2991.7 de,1541.4 de,1510.3 de,1404.9 de,1809.6 de,2080.1 de,1930.9 de,2090.3 de,2330.5 de,3211.9 de,3049.4 de,3286.1 de,3315.9 de
Annual,Thousand tonnes,Carbon dioxide,1.0,TN,23356.0,23712.0,25097.0,25475.0,25645.0 e,26103.0 e,:,:,:,:,:,:,:
Annual,Thousand tonnes,Carbon dioxide,TOT_X_5,EG,142600.0,144700.0,184600.0,190300.0,200000.0,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Carbon dioxide,TOT_X_5,IL,63947.8,64997.2,67741.6,67398.7,64529.6,66173.2,68029.9,73293.1,67294.5,65047.4,67400.9,65930.1,65637.8
Annual,Thousand tonnes,Carbon dioxide,TOT_X_5,PS,2583.0 de,1510.6 de,1479.6 de,1374.4 de,1779.2 de,2049.7 de,1900.2 de,2059.3 de,2294.7 de,3180.3 de,3013.4 de,3254.5 de,3284.3 de
Annual,Thousand tonnes,Nitrous oxide,TOT_X_5,EG,90.6,91.9,97.0,121.0,127.1,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Nitrous oxide,TOT_X_5,IL,8213.0,8282.4,8894.7,8399.9,7632.9,7797.3,6231.4,7301.5,7222.1,7545.2,7416.9,7269.0,5752.5
Annual,Thousand tonnes,Nitrous oxide,TOT_X_5,PS,8.4 de,1.7 de,1.7 de,1.7 de,1.7 de,1.5 de,1.7 de,1.7 de,1.6 de,1.9 de,1.9 de,1.5 de,1.8 de
Annual,Thousand tonnes,Nitrogen oxides,TOT_X_5,IL,200471.7,195353.4,196244.4,188240.3,171637.4,167294.2,161475.0,182685.0,150629.7,129530.8,124481.7,108166.7,100315.5
Annual,Thousand tonnes,Sulphur dioxide,TOT_X_5,EG,:,:,533.0 d,559.0 d,551.0 d,470.0 d,508.0 d,328.0 d,308.0 d,248.0 d,459.0 d,311.0 d,:
Annual,Thousand tonnes,Sulphur dioxide,TOT_X_5,IL,205996.3,190535.4,186181.9,176262.0,162526.0,153261.1,160946.3,169708.9,139037.3,117549.8,120290.7,103702.6,86488.4
