Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Percentage,From 15 to 24 years,Females,Austria,45.4,47.0,28.4
Annual,Percentage,From 15 to 24 years,Females,Belgium,49.9,34.9,36.1
Annual,Percentage,From 15 to 24 years,Females,Bulgaria,31.7,29.0,27.3 u
Annual,Percentage,From 15 to 24 years,Females,Cyprus,47.0 u,51.1 u,66.9
Annual,Percentage,From 15 to 24 years,Females,Czechia,56.0,47.8 u,13.5 u
Annual,Percentage,From 15 to 24 years,Females,Germany,58.9,38.7,31.8
Annual,Percentage,From 15 to 24 years,Females,Denmark,52.7,43.0,56.6
Annual,Percentage,From 15 to 24 years,Females,Estonia,32.9 u,54.0 u,41.8
Annual,Percentage,From 15 to 24 years,Females,Greece,39.6,53.6 u,45.0 u
Annual,Percentage,From 15 to 24 years,Females,Spain,34.9,27.8,48.2
Annual,Percentage,From 15 to 24 years,Females,European Union - 27 countries (from 2020),46.0,39.5,39.0
Annual,Percentage,From 15 to 24 years,Females,European Union - 28 countries (2013-2020),45.5,38.7,42.8
Annual,Percentage,From 15 to 24 years,Females,Finland,55.3,52.9,58.9 u
Annual,Percentage,From 15 to 24 years,Females,France,37.9,43.7,43.2
Annual,Percentage,From 15 to 24 years,Females,Croatia,31.5,55.7 u,39.4 u
Annual,Percentage,From 15 to 24 years,Females,Hungary,11.7 u,49.7 u,51.5 u
Annual,Percentage,From 15 to 24 years,Females,Ireland,34.6,51.8,55.1
Annual,Percentage,From 15 to 24 years,Females,Italy,51.8,38.0,23.5 u
Annual,Percentage,From 15 to 24 years,Females,Lithuania,29.9,40.3 u,20.3
Annual,Percentage,From 15 to 24 years,Females,Luxembourg,67.3 u,42.5,46.7 u
Annual,Percentage,From 15 to 24 years,Females,Latvia,33.8,23.5 u,38.0
Annual,Percentage,From 15 to 24 years,Females,Malta,56.6,59.1,69.2
Annual,Percentage,From 15 to 24 years,Females,Netherlands,41.8 u,45.5,44.8
Annual,Percentage,From 15 to 24 years,Females,Poland,47.5,27.1,26.9
Annual,Percentage,From 15 to 24 years,Females,Portugal,25.8,35.3 u,45.1 u
Annual,Percentage,From 15 to 24 years,Females,Romania,59.9,44.4 u,66.5 u
Annual,Percentage,From 15 to 24 years,Females,Sweden,40.1 u,40.0 u,65.7
Annual,Percentage,From 15 to 24 years,Females,Slovenia,50.7 u,57.9,53.2 u
Annual,Percentage,From 15 to 24 years,Females,Slovakia,36.1,32.2 u,26.4 u
Annual,Percentage,From 15 to 24 years,Females,United Kingdom,43.0,35.0,56.9
Annual,Percentage,From 15 to 24 years,Males,Austria,48.3,61.1,53.8
Annual,Percentage,From 15 to 24 years,Males,Belgium,33.5,49.8,53.1
Annual,Percentage,From 15 to 24 years,Males,Bulgaria,27.3,44.8 u,40.0
Annual,Percentage,From 15 to 24 years,Males,Cyprus,67.0 u,52.8 u,75.4
