Time frequency,Unit of measure,Sex,Age class,Income situation in relation to the risk of poverty threshold,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Albania,:,:,:,:,:,61.6,60.7,58.8,56.7,56.6,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Austria,10.4,12.2,12.3,12.2,11.7,11.4,10.3,12.6,11.1,10.5,12.2,10.6
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Belgium,0.5,0.8,0.6,0.7,1.9 b,2.8,3.2,4.0 b,4.1,4.5,4.1,4.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Bulgaria,44.1,44.0,42.5,42.1,43.2 b,42.8,43.1,42.8,41.0,39.6,37.4,36.7
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Switzerland,4.4,6.1,5.7 b,4.4,4.7,4.3,4.5,4.7,4.8,4.1,3.6,4.8
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Cyprus,2.0,2.0,1.9,1.0,1.9,2.4,2.2,1.7,2.3,1.9,1.7,1.9
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Czechia,19.6,19.9,18.0,17.0,16.1,14.5,14.7,14.2,14.5,14.2,14.1,13.8
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Germany,4.2,4.4,4.3,4.5,4.5,4.8,4.9,5.4,7.7 b,8.2,8.9,8.8
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Denmark,5.4,5.9,6.3,5.8,6.8,6.9,6.9,7.9,7.5,7.4,8.4,7.4
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Euro area - 19 countries  (2015-2022),9.7,10.1,9.9,10.2,10.4,10.3,10.5,10.9,11.4,11.3,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Euro area – 20 countries (from 2023),:,:,10.2,10.6,10.8,10.7,10.9,11.3,11.7,11.8,11.5,11.7
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Estonia,13.3,22.4,14.0 b,13.7,13.2,13.5,13.1,13.5,12.1,14.3,14.4,15.6
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Greece,23.7,24.3,24.5,26.1,27.1,27.6,28.1,27.2,28.0,27.1,26.8,26.6
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Spain,4.3,3.9,4.0,4.1,3.6,3.6,3.1,3.9,5.7,4.6,5.4,6.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,European Union - 27 countries (2007-2013),15.1,15.1,14.6,14.7,14.6,14.4,14.1,14.2 e,:,:,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,European Union - 27 countries (from 2020),16.7 e,16.7 e,16.2 e,16.3 e,16.1 e,16.3 e,15.8 e,15.9 e,16.1,15.9,15.5,15.4
Annual,Percentage,Total,Total,Above 60% of median equivalised income,European Union - 28 countries (2013-2020),15.3,15.4,14.8,15.0,14.8,14.6,14.3,14.4 e,:,:,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Finland,2.4,3.4,3.6,3.2,3.1,3.2,3.9,4.3,3.9,3.9,4.6,3.9
Annual,Percentage,Total,Total,Above 60% of median equivalised income,France,5.0,5.0,4.4,5.1,5.2,5.0,5.6,5.0,6.9 b,6.6,6.3 b,7.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Croatia,45.3,43.7,42.9,42.6,41.6,40.4,39.6,39.0,37.2,35.8,34.4,32.5
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Hungary,44.9,43.9,42.0,41.5,42.3,44.9,21.3 b,21.5,20.5,18.8,17.7,14.4
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Ireland,2.8,2.6,3.4,3.5,2.9,2.0,2.5,2.3 b,2.3 b,3.0,3.6,3.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Iceland,6.9,7.8,7.4,7.5,6.5,6.7,8.7,12.7,:,:,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Italy,25.0,25.9,25.7,26.4,27.4,27.2,27.9,29.1,25.9,27.7,25.6,25.5
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Lithuania,19.8,28.2 b,28.8,26.1,23.4,24.0,24.3,23.6,21.8,24.9,26.6,28.4
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Luxembourg,4.0,3.2,3.7,4.0,4.6 b,5.9,5.5,4.0,5.7 b,5.8 b,3.7 b,4.9
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Latvia,36.2,37.4,39.6,40.7,44.0,42.3,45.1,44.7,44.4,42.1,43.0,41.2
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Montenegro,:,44.0,52.3,56.2,58.1,57.2,61.5,61.6,63.6,59.7,63.3,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,North Macedonia,48.4,47.8,43.3,47.5,47.4,42.5,43.6,40.8,39.2,:,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Malta,3.7,4.4,3.5,3.2,2.4,2.7,2.9,3.4,3.7,3.0,2.9,2.5
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Netherlands,1.7,1.2,1.7,1.9,2.3 b,2.3,2.8,3.2,2.9,1.6,1.4,1.9
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Norway,3.4,3.1,2.1,2.5,2.4,2.6,2.8,2.8,2.8,3.5 b,4.3,4.2
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Poland,45.1,42.8,42.1,41.5,38.0,40.3,39.0,37.5,37.4 b,35.8,35.4,34.1 b
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Portugal,9.1,10.2,8.3,8.3,8.6,8.0,8.4,8.3,8.6,9.5,7.9,10.7
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Romania,51.8,50.1,48.1,49.4,48.3,47.5,47.0,46.7,46.1,42.3,41.4,41.1
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Serbia,:,53.8,50.3,52.0,54.3,54.7,52.7,53.2,52.3,50.8,50.1,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Sweden,7.9,6.4,5.9,7.4,7.6,8.1,8.8,9.3,9.7,9.4,10.5,10.5
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Slovenia,15.4,14.4,13.5,12.3,11.8,12.3,11.8,11.0,10.2,9.9,10.1,9.6
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Slovakia,37.9,39.1,37.4,36.4,37.0,35.1,33.8,32.0,28.5,29.1,28.0,28.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Türkiye,38.3,38.8,40.7,40.2,38.3,37.7,36.5,35.1,34.8,33.7,32.7,34.2
Annual,Percentage,Total,Total,Above 60% of median equivalised income,United Kingdom,5.7 b,6.8,5.9,6.0,6.7,3.1 b,4.1,:,:,:,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Albania,:,:,:,:,:,74.6,74.2,70.8,67.1,67.3,:,:
