Time frequency,Unit of measure,Receipt type,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage of gross domestic product (GDP),General government contributions,Albania,:,:,:,:,:,:,:,5.94 p,5.93 p,7.59 p,6.61 p,5.91
Annual,Percentage of gross domestic product (GDP),General government contributions,Austria,10.36,10.71,10.74,10.97,10.85,10.8,10.3,10.37,10.44,12.35,12.37,11.42
Annual,Percentage of gross domestic product (GDP),General government contributions,Bosnia and Herzegovina,:,:,4.86,5.28,5.02,5.07,4.78,4.55,4.52,5.62,4.47,4.09
Annual,Percentage of gross domestic product (GDP),General government contributions,Belgium,10.89,11.24,11.6,11.67,11.16,11.33,11.43,11.35,11.85,15.4,13.56 p,12.3
Annual,Percentage of gross domestic product (GDP),General government contributions,Bulgaria,8.84,9.0,9.32,9.76,8.97,8.54,7.67,7.27,6.75,8.71,10.0,9.61
Annual,Percentage of gross domestic product (GDP),General government contributions,Switzerland,6.88,7.09,7.13,7.18,7.35,7.46,7.51,7.29,7.37,9.72,8.79,7.57 p
Annual,Percentage of gross domestic product (GDP),General government contributions,Cyprus,11.66,10.9,10.85,10.24,9.85,9.53,9.33,9.29,9.86,13.81,12.69,9.73
Annual,Percentage of gross domestic product (GDP),General government contributions,Czechia,5.42,5.64,5.8,5.74,5.24,4.7,4.56,4.59,4.58,5.68,5.89,5.34
Annual,Percentage of gross domestic product (GDP),General government contributions,Germany,10.4,10.3,10.11,10.0,10.11,10.32,10.23,10.19,10.26,11.46,11.42,10.78 p
Annual,Percentage of gross domestic product (GDP),General government contributions,Denmark,28.93,29.36,29.38,29.13,28.96,28.43,27.72,27.55,27.38,28.99,27.17,24.28 p
Annual,Percentage of gross domestic product (GDP),General government contributions,Euro area - 19 countries  (2015-2022),11.1 e,11.34 e,11.43 e,11.43 e,11.34 e,11.3 e,11.1 p,11.16 p,11.52 p,13.82 p,13.18 p,12.22 p
Annual,Percentage of gross domestic product (GDP),General government contributions,Euro area – 20 countries (from 2023),11.09 e,11.32 e,11.42 e,11.42 e,11.33 e,11.29 e,11.08 p,11.15 p,11.5 p,13.81 p,13.16 p,12.2 p
Annual,Percentage of gross domestic product (GDP),General government contributions,Estonia,3.29,2.82,2.67,2.58,3.2,3.32,3.49,3.95,4.34,4.89,4.65,4.35
Annual,Percentage of gross domestic product (GDP),General government contributions,Greece,10.4,10.91,11.13,10.62,10.24,10.44,10.54 p,11.31 p,13.05 p,15.12 p,13.61 p,12.31 p
Annual,Percentage of gross domestic product (GDP),General government contributions,Spain,11.07,10.84,11.22,10.76,10.26,9.04,8.82,8.92,9.17 p,12.99 p,12.7,11.94
Annual,Percentage of gross domestic product (GDP),General government contributions,European Union - 27 countries (from 2020),11.21 e,11.44 e,11.54 e,11.53 e,11.41 e,11.36 e,11.11 p,11.08 p,11.43 p,13.58 p,12.96 p,11.98 p
Annual,Percentage of gross domestic product (GDP),General government contributions,Finland,14.39,15.11,15.53,15.7,15.7,15.72,15.39,15.28,15.3,16.34,15.74,15.17
Annual,Percentage of gross domestic product (GDP),General government contributions,France,11.64,12.1,12.27,12.41,12.49,12.84,12.86,13.54,14.71,16.43,15.88 p,15.24 p
Annual,Percentage of gross domestic product (GDP),General government contributions,Croatia,8.19,8.96,9.14,9.07,9.0,8.6,8.27,8.3,8.15,10.25,9.25,8.17
Annual,Percentage of gross domestic product (GDP),General government contributions,Hungary,8.55,7.64,8.13,7.31,6.49 b,5.7,6.01,5.7,4.87,5.89,6.78,6.66
Annual,Percentage of gross domestic product (GDP),General government contributions,Ireland,16.03,15.97,14.64,13.15,9.81,9.84,9.03,8.59,8.22,9.07,8.39,7.43
Annual,Percentage of gross domestic product (GDP),General government contributions,Iceland,14.53,14.13,13.93,13.76,13.08,18.4,14.13,14.46,15.29,18.98,18.7,16.66
Annual,Percentage of gross domestic product (GDP),General government contributions,Italy,12.92,13.64,14.39,14.91,14.76,14.56,14.12,13.89,13.92 p,18.41 p,16.37 p,14.86 p
Annual,Percentage of gross domestic product (GDP),General government contributions,Lithuania,4.86,4.4,3.92,4.24,4.3,3.92,3.83,4.47,8.01,9.24 p,8.7 p,8.19
Annual,Percentage of gross domestic product (GDP),General government contributions,Luxembourg,10.01,10.26,10.36,10.14,9.92,9.73,10.12,10.37,10.53,12.48,10.61,10.71
Annual,Percentage of gross domestic product (GDP),General government contributions,Latvia,6.52 e,5.34 e,5.51 e,5.82 e,6.21 e,6.37 e,5.93 e,6.22 e,6.2 p,7.75 p,10.09 p,8.17
Annual,Percentage of gross domestic product (GDP),General government contributions,Montenegro,:,:,:,:,:,8.34,6.06,5.44,5.58,9.71,7.83 p,11.01 p
Annual,Percentage of gross domestic product (GDP),General government contributions,North Macedonia,:,:,:,:,6.43,6.57,6.72,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),General government contributions,Malta,8.99,9.5,9.64,9.79,9.18,9.41,8.84,8.66,9.1,10.45,9.9,9.47
Annual,Percentage of gross domestic product (GDP),General government contributions,Netherlands,7.17,7.39,6.69,7.03,7.84,7.75,7.49,7.47,7.96,11.04,10.4,8.31
Annual,Percentage of gross domestic product (GDP),General government contributions,Norway,13.75,13.47,13.79,14.08,15.32,16.31,15.94,15.07,15.52,18.05,15.18,11.91
Annual,Percentage of gross domestic product (GDP),General government contributions,Poland,3.95,4.0,4.18,4.16,4.05,3.93,3.74,3.47,6.04,6.79,6.7,6.02
Annual,Percentage of gross domestic product (GDP),General government contributions,Portugal,11.66,13.02,13.34,12.72,12.62,12.29,11.97,11.34,11.46,14.3,13.01,12.02
Annual,Percentage of gross domestic product (GDP),General government contributions,Romania,4.79,4.11,3.87,4.25,4.92,4.53,3.97,2.89,2.79,4.04,4.06,4.06
Annual,Percentage of gross domestic product (GDP),General government contributions,Serbia,9.13,10.18,9.27,9.11,8.15,7.74,6.85,6.44,6.05,8.58,5.39,5.06
Annual,Percentage of gross domestic product (GDP),General government contributions,Sweden,15.45,15.79,15.98,15.99,15.91,16.2,15.81,15.64,15.21,16.29,15.2 p,14.71 p
Annual,Percentage of gross domestic product (GDP),General government contributions,Slovenia,8.48,8.4,8.73,8.28,7.64,7.06,6.62,6.17,6.04,9.86 p,8.37 p,6.96
