Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Females,Austria,22.1 be,20.0 be,19.7 e,20.9 be,17.6 e,18.8 e,19.1 e,13.2 b,16.8 e,14.2 e,13.4 e,14.3 e,17.1,15.7 e,18.4,20.4,20.3,19.0 b,19.3,19.5
Annual,Percentage,Females,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,17.8 bu,24.2 e,19.4 e
Annual,Percentage,Females,Belgium,15.1 e,18.1 be,17.2 e,18.7 e,17.3 e,18.3 e,19.1 e,16.6 be,17.1,15.5,15.2,15.1,14.1,15.6 b,16.8,17.2 e,17.4,19.6 b,18.7,19.4
Annual,Percentage,Females,Bulgaria,26.3 e,26.4 be,28.2 e,28.9 e,31.3 be,30.6 e,31.1 be,33.1 be,32.5 e,29.9 e,31.7 e,31.0 e,29.1 e,29.2 e,30.1 e,28.1,28.2,28.2 b,28.9 b,29.1
Annual,Percentage,Females,Switzerland,:,:,:,:,:,:,:,12.6 be,13.3 e,14.2 e,13.8 e,14.2,15.0,15.2,14.5,16.6 e,16.3 e,16.3 b,15.9,16.6
Annual,Percentage,Females,Cyprus,13.4 u,20.9 be,18.5 e,19.3 e,15.1 u,15.5 bu,18.1 e,20.1 be,18.8 e,16.4 e,15.7 e,20.8 e,23.7 e,18.2 e,18.9 e,19.2 e,18.2 e,19.3 be,21.6 e,24.0 e
Annual,Percentage,Females,Czechia,26.5 e,28.3 be,28.9 e,28.6 e,27.8 e,23.5 e,21.3 be,10.7 be,10.9 e,10.6,9.9 e,9.8 e,10.0 e,10.1,9.7,10.2 e,10.3,10.0 b,10.9,12.4
Annual,Percentage,Females,Germany,21.5 e,21.4 be,21.3 be,21.7 e,21.2 e,20.1 e,19.5 be,16.5 be,15.2 b,15.6,16.5,16.3,16.6,16.6,16.8,16.8,17.6 b,19.4 b,19.0,19.0
Annual,Percentage,Females,Denmark,23.0 e,22.8 be,22.1 e,24.9 e,22.6 be,22.4 e,22.3 e,19.7 be,19.2 e,19.1 e,18.2 e,20.4 e,21.1 be,20.3 be,20.5 e,21.7 e,23.0 e,22.8 be,22.0 e,22.6 be
Annual,Percentage,Females,Estonia,: u,44.1 be,31.3 e,35.2 e,37.4 e,40.0 e,39.3 e,23.7 be,26.2 e,20.7 e,19.4 e,22.4 e,20.5 e,20.3 e,22.5,23.8 e,22.7 e,22.6 be,24.5 e,26.8 e
