Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Public expenditure on education as % of total government spending (%),Egypt,:,13.9 di,14.4 di,13.7 di,11.8 di,13.7 di,12.6 di,13.8 di,15.6 di,11.6 di,11.4 di,11.5 di,:,:
Annual,Public expenditure on education as % of total government spending (%),Israel,11.1 i,11.1 i,11.4 i,12.1 i,11.0 i,12.8 i,12.9 i,13.2 i,13.9 bdi,14.5 i,16.3 i,16.6 i,17.5 i,16.6 i
