Time frequency,Means testing,Category of schemes,Pension type,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total,All schemes,Disability pension,Total,Person,Sweden,412586.0,388668.0,373551.0,364112.0,353733.0,339416.0,320768.0,299610.0,282807.0,269617.0,256926.0,255666 p
Annual,Total,All schemes,Disability pension,Total,Person,Slovenia,42347.0,36100.0,35033.0,33528.0,31697.0,29934.0,27170.0,25305.0,23821.0,23707.0,21870.0,20589.0
Annual,Total,All schemes,Disability pension,Total,Person,Slovakia,234419.0,240496.0,245679.0,248717.0,251697.0,253856.0,256348.0,261947.0,256376.0,299059.0,294841.0,293743.0
Annual,Total,All schemes,Disability pension,Total,Person,Türkiye,658492.0,709826.0,819324.0,805993.0,831437.0,839652.0,847075.0,856446.0,864433.0,852943.0,853647.0,858178.0
Annual,Total,All schemes,Disability pension,Total,Person,United Kingdom,2101120 e,2107530 e,2116120 e,2182960.0,2277583 p,2459710 p,2504593 p,2724103 p,:,:,:,:
Annual,Total,All schemes,Total disability pensions,Total,Person,Albania,:,:,:,:,:,:,:,70175.0,70501.0,69648.0,68179.0,67167.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Austria,285205.0,280682.0,276223.0,258941.0,240205.0,233957.0,227350.0,219777.0,212534.0,204837.0,192817.0,182003.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Bosnia and Herzegovina,:,:,82877.0,78724.0,70134.0,70032.0,65240.0,59377.0,54088.0,50734.0,59915.0,56444.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Belgium,665835.0,687140.0,709392.0,732378.0,761370.0,791485.0,807358.0,828982.0,863023.0,892386.0,920964.0,942181.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Bulgaria,270285.0,274925.0,281392.0,281061.0,279049.0,278027.0,275966.0,273117.0,260706.0,253950.0,248962.0,247874.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Switzerland,342721 e,336781 e,332376 e,324104 e,312814 e,308300 e,303252 e,298786 e,295506 e,292308 e,292409 e,289462 e
Annual,Total,All schemes,Total disability pensions,Total,Person,Cyprus,9076.0,8956.0,8735.0,8943.0,9094.0,12726.0,15478.0,15633.0,15631.0,15166.0,15196.0,15955.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Czechia,409173.0,403987.0,399144.0,393498.0,394333.0,395370.0,392974.0,388697.0,384143.0,380284.0,377088.0,385699.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Germany,2134665 e,2165657 e,2192327 e,2260267 e,2255511 e,2277366 e,2268957 e,2256738 e,2238326 e,2218484 e,2204366 e,2171424 e
Annual,Total,All schemes,Total disability pensions,Total,Person,Denmark,279460 e,277977 e,268338 e,258714 e,249636 e,242701 e,237670 e,235426 e,242487 e,260202 e,268372 e,286723.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Euro area – 20 countries (from 2023),10831292 p,10801047 p,10785598 e,10864734 e,10884485 e,10943646 e,11002295 e,10946320 e,12257710 e,12280626 e,12228327 p,11862161 p
Annual,Total,All schemes,Total disability pensions,Total,Person,Estonia,93617.0,98260.0,98246.0,99595.0,101881.0,102223.0,98738.0,101343.0,105535.0,106430.0,106894.0,105926.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Greece,138093.0,114633.0,114376.0,127279.0,132562.0,126797.0,122178.0,121612.0,117576.0,113064.0,108173 p,105692 p
Annual,Total,All schemes,Total disability pensions,Total,Person,Spain,1159408.0,1158433.0,1150969.0,1150766.0,1158363.0,1167681.0,1172621.0,1174471.0,1177152.0,1158801.0,1158219.0,1149087.0
Annual,Total,All schemes,Total disability pensions,Total,Person,European Union - 27 countries (from 2020),14839909 p,14336522 p,14196172 e,14156461 e,14054139 e,13967441 e,13908284 e,13699156 e,14902565 e,14833574 e,14761112 p,14345590 p
Annual,Total,All schemes,Total disability pensions,Total,Person,Finland,260453.0,250703.0,241872.0,232475.0,221952.0,214046.0,206048.0,201216.0,197492.0,193629.0,187894.0,182586.0
Annual,Total,All schemes,Total disability pensions,Total,Person,France,2431000 p,2480000 p,2474000.0,2486000.0,2510635.0,2524240.0,2598668.0,2518110 e,3739479.0,3773501.0,3779319.0,3454465.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Croatia,217435 e,208767 e,198285 e,181663 e,169513 e,159222 e,148445 e,138253 e,126739 e,116612 e,107368 e,99291 e
Annual,Total,All schemes,Total disability pensions,Total,Person,Hungary,330717.0,13265.0,4153.0,0.0,:,:,:,:,:,:,:,:
Annual,Total,All schemes,Total disability pensions,Total,Person,Ireland,154154.0,153293.0,160860.0,167689.0,175498.0,183017.0,192679.0,199779.0,206059.0,212885.0,214080.0,215253.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Iceland,17909.0,18404.0,18954.0,19465.0,19992.0,20656.0,21228.0,21853.0,22554.0,23226.0,23371.0,23800.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Italy,1527239.0,1462145.0,1452296.0,1453654.0,1463129.0,1473498.0,1476430.0,1561904.0,1643558.0,1623022.0,1603997.0,1604934.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Lithuania,173802.0,170709.0,170190.0,170785.0,166849.0,166349.0,168082.0,166451.0,166275.0,160678.0,149096.0,148485.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Luxembourg,20787.0,21144.0,21620.0,22544.0,23389.0,23489.0,22769.0,22073.0,21700.0,21477.0,21641.0,21457.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Latvia,87006.0,90003.0,92040.0,94522.0,96318.0,98788.0,99478.0,101165.0,101657.0,102196.0,103792.0,104294.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Montenegro,:,:,10762.0,10472.0,10433.0,9956.0,9912.0,9559.0,9186.0,8545.0,7886 p,7208.0
Annual,Total,All schemes,Total disability pensions,Total,Person,North Macedonia,:,:,:,:,13784.0,12360.0,11125.0,:,:,:,:,:
Annual,Total,All schemes,Total disability pensions,Total,Person,Malta,7857.0,7607.0,7554.0,7636.0,7672.0,7718.0,7701.0,7805.0,7913.0,7778.0,7990.0,8594.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Netherlands,804000.0,795700.0,775500.0,779300.0,767800.0,768200.0,768100.0,771800.0,777600.0,787600.0,789800.0,801500.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Norway,306653.0,309887.0,305886.0,311875.0,314748.0,318244.0,325875.0,339245.0,352197.0,357563.0,390528.0,393875.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Poland,1518881.0,1472030.0,1425955.0,1366245.0,1302401.0,1221286.0,1184215.0,1093729.0,1044228.0,1004448.0,1013621.0,964111.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Portugal,384894.0,370619.0,360401.0,348052.0,339350.0,329054.0,317697.0,251956.0,259264.0,249314.0,240010.0,234702.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Romania,787515.0,704623 e,658041.0,628097.0,590502.0,546995.0,494396.0,462257.0,430484.0,384447.0,367816.0,343356.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Serbia,136571.0,131462.0,122898.0,112017.0,109973.0,101373.0,100572.0,96140.0,87746.0,83696.0,82984.0,73816.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Sweden,412586.0,388668.0,373551.0,364112.0,353733.0,339416.0,320768.0,299610.0,282807.0,269617.0,256926.0,255666 p
Annual,Total,All schemes,Total disability pensions,Total,Person,Slovenia,42347.0,36100.0,35033.0,33528.0,31697.0,29934.0,27170.0,25305.0,23821.0,23707.0,21870.0,20589.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Slovakia,234419.0,240496.0,245679.0,248717.0,251697.0,253856.0,256348.0,261947.0,256376.0,299059.0,294841.0,293743.0
Annual,Total,All schemes,Total disability pensions,Total,Person,Türkiye,658492.0,709826.0,819324.0,805993.0,831437.0,839652.0,847075.0,856446.0,864433.0,852943.0,853647.0,858178.0
Annual,Total,All schemes,Total disability pensions,Total,Person,United Kingdom,2101120 e,2107530 e,2116120 e,2182960.0,2277583 p,2459710 p,2504593 p,2724103 p,:,:,:,:
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Cyprus,6939.0,6845.0,6666.0,6274.0,5946.0,5549.0,5129.0,4798.0,4548.0,4246.0,3980.0,3820.0
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Czechia,2988.0,2798.0,2647.0,2504.0,2345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Germany,1418636 e,1459882 e,1499558 e,1557018 e,1570443 e,1601301 e,1618517 e,1615849 e,1615874 e,1621090 e,1613905 e,1596183 e
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Denmark,244828.0,242782.0,233461.0,224544.0,216459.0,210360.0,206077.0,204209.0,211641.0,227888.0,235215.0,251953.0
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Euro area – 20 countries (from 2023),1516038 p,1553911 p,1590327 e,1644039 e,1653560 e,1679747 e,1693806 e,1690797 e,1690213 e,1691114 e,1679629 e,1658068 e
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,European Union - 27 countries (from 2020),2174891 p,2185566 p,2191289 e,2219252 e,2205063 e,2200436 e,2186088 e,2158756 e,2145498 e,2135294 e,2113547 e,2097501 e
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Finland,0.0,0.0,:,0.0,0.0,0.0,0.0,5.0,15.0,62.0,75.0,104.0
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,France,28000 p,26000 p,24000.0,21000.0,18635.0,16260.0,14272.0,12669.0,11000.0,9664.0,8223.0,7212.0
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Hungary,25394.0,13265.0,4153.0,0.0,:,:,:,:,:,:,:,:
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Italy,59560.0,57888.0,56180.0,55124.0,53657.0,51978.0,51714.0,53734.0,55270.0,52706.0,50302.0,47817.0
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Lithuania,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Luxembourg,2903.0,3296.0,3923.0,4623.0,4879.0,4659.0,4174.0,3742.0,3506.0,3346.0,3144.0,2932.0
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Norway,:,0.0,:,:,:,:,:,:,:,:,:,:
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Poland,20662.0,13916.0,10550.0,10278.0,8767.0,7350.0,3161.0,2472.0,1544.0,988.0,638.0,363.0
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Romania,364981 e,358894 e,350151.0,337887.0,323932.0,302979.0,283044.0,261278.0,242100.0,215304.0,198065.0,187117.0
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Sweden,0.0,0.0,:,:,:,:,:,:,:,:,:,:
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Slovenia,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,Türkiye,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:
Annual,Total,All schemes,Early retirement benefit due to reduced capacity to work,Total,Person,United Kingdom,:,:,819.0,:,:,:,:,:,:,:,:,:
