Time frequency,Unit of measure,Age class,Type of household,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,75 years or over,Single person,Latvia,40.2,46.2 u
Annual,Percentage,75 years or over,Single person,Malta,: u,: u
Annual,Percentage,75 years or over,Single person,Netherlands,88.5,84.4
Annual,Percentage,75 years or over,Single person,Norway,: u,: u
Annual,Percentage,75 years or over,Single person,Poland,37.7,44.3
Annual,Percentage,75 years or over,Single person,Portugal,38.6,43.3
Annual,Percentage,75 years or over,Single person,Romania,25.6,16.5
Annual,Percentage,75 years or over,Single person,Serbia,:,30.6 u
Annual,Percentage,75 years or over,Single person,Sweden,: u,59.4 u
Annual,Percentage,75 years or over,Single person,Slovenia,43.4 u,35.5
Annual,Percentage,75 years or over,Single person,Slovakia,38.5,31.2 u
Annual,Percentage,75 years or over,Single person,Türkiye,8.1 u,8.2 u
Annual,Percentage,75 years or over,Single person,United Kingdom,51.2,:
Annual,Percentage,75 years or over,Other,Austria,: u,48.3
Annual,Percentage,75 years or over,Other,Belgium,50.6,67.1
Annual,Percentage,75 years or over,Other,Bulgaria,17.3,21.1
Annual,Percentage,75 years or over,Other,Cyprus,66.2,65.5
Annual,Percentage,75 years or over,Other,Czechia,31.7,17.9
Annual,Percentage,75 years or over,Other,Germany,45.8,47.6
Annual,Percentage,75 years or over,Other,Denmark,: u,81.4 u
Annual,Percentage,75 years or over,Other,Estonia,13.0 u,13.8 u
Annual,Percentage,75 years or over,Other,Greece,33.6,38.7
Annual,Percentage,75 years or over,Other,Spain,53.9,51.5
Annual,Percentage,75 years or over,Other,European Union - 27 countries (from 2020),46.9,46.8
Annual,Percentage,75 years or over,Other,European Union - 28 countries (2013-2020),46.6,:
Annual,Percentage,75 years or over,Other,Finland,67.6 u,37.0 u
Annual,Percentage,75 years or over,Other,France,80.1,70.6
Annual,Percentage,75 years or over,Other,Croatia,25.5,42.3
Annual,Percentage,75 years or over,Other,Hungary,27.7 u,32.2 u
Annual,Percentage,75 years or over,Other,Ireland,58.8,74.1 u
Annual,Percentage,75 years or over,Other,Iceland,: u,: u
Annual,Percentage,75 years or over,Other,Italy,48.6,47.6
Annual,Percentage,75 years or over,Other,Lithuania,22.4,21.3
Annual,Percentage,75 years or over,Other,Luxembourg,: u,: u
Annual,Percentage,75 years or over,Other,Latvia,22.3,19.2
Annual,Percentage,75 years or over,Other,Malta,51.6 u,41.6 u
Annual,Percentage,75 years or over,Other,Netherlands,57.5 u,67.1
Annual,Percentage,75 years or over,Other,Norway,: u,: u
Annual,Percentage,75 years or over,Other,Poland,29.6,38.4
Annual,Percentage,75 years or over,Other,Portugal,32.0,28.1
Annual,Percentage,75 years or over,Other,Romania,22.2,19.5
Annual,Percentage,75 years or over,Other,Serbia,:,34.6
Annual,Percentage,75 years or over,Other,Sweden,: u,63.8 u
Annual,Percentage,75 years or over,Other,Slovenia,45.0,30.6
Annual,Percentage,75 years or over,Other,Slovakia,14.6 u,27.5 u
Annual,Percentage,75 years or over,Other,Türkiye,11.3,12.5
Annual,Percentage,75 years or over,Other,United Kingdom,41.1,:
Annual,Percentage,75 years or over,Total,Austria,45.2 u,54.9
Annual,Percentage,75 years or over,Total,Belgium,54.2,75.7
Annual,Percentage,75 years or over,Total,Bulgaria,26.1,27.6
Annual,Percentage,75 years or over,Total,Cyprus,56.7,56.4
Annual,Percentage,75 years or over,Total,Czechia,38.7,30.6
Annual,Percentage,75 years or over,Total,Germany,49.5,58.9
Annual,Percentage,75 years or over,Total,Denmark,86.1 u,88.6 u
Annual,Percentage,75 years or over,Total,Estonia,21.3,19.8
Annual,Percentage,75 years or over,Total,Greece,36.2,36.6
Annual,Percentage,75 years or over,Total,Spain,54.9,53.4
Annual,Percentage,75 years or over,Total,European Union - 27 countries (from 2020),52.2,52.4
Annual,Percentage,75 years or over,Total,European Union - 28 countries (2013-2020),51.8,:
Annual,Percentage,75 years or over,Total,Finland,74.3,68.4 u
Annual,Percentage,75 years or over,Total,France,80.3,71.1
Annual,Percentage,75 years or over,Total,Croatia,30.5,43.4
Annual,Percentage,75 years or over,Total,Hungary,40.2,48.7
Annual,Percentage,75 years or over,Total,Ireland,70.6,73.6
Annual,Percentage,75 years or over,Total,Iceland,72.1 u,:
Annual,Percentage,75 years or over,Total,Italy,53.9,53.1
Annual,Percentage,75 years or over,Total,Lithuania,26.2,27.2
Annual,Percentage,75 years or over,Total,Luxembourg,: u,57.2 u
Annual,Percentage,75 years or over,Total,Latvia,29.9,29.4
Annual,Percentage,75 years or over,Total,Malta,60.4 u,39.0 u
Annual,Percentage,75 years or over,Total,Netherlands,78.7,77.1
Annual,Percentage,75 years or over,Total,Norway,71.4 u,66.3 u
Annual,Percentage,75 years or over,Total,Poland,32.1,40.2
Annual,Percentage,75 years or over,Total,Portugal,33.5,31.6
Annual,Percentage,75 years or over,Total,Romania,23.4,18.2
Annual,Percentage,75 years or over,Total,Serbia,:,33.7
Annual,Percentage,75 years or over,Total,Sweden,57.9 u,61.2
Annual,Percentage,75 years or over,Total,Slovenia,44.4,32.5
Annual,Percentage,75 years or over,Total,Slovakia,30.3,29.7
Annual,Percentage,75 years or over,Total,Türkiye,10.4,11.3
Annual,Percentage,75 years or over,Total,United Kingdom,45.9,:
