Time frequency,Unit of measure,Age class,Type of household,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,From 55 to 64 years,Total,Slovakia,:,19.6 u
Annual,Percentage,From 55 to 64 years,Total,Türkiye,:,12.0 u
Annual,Percentage,From 65 to 74 years,Single person,Austria,18.8 u,: u
Annual,Percentage,From 65 to 74 years,Single person,Belgium,: u,79.2 u
Annual,Percentage,From 65 to 74 years,Single person,Bulgaria,13.8 u,: u
Annual,Percentage,From 65 to 74 years,Single person,Cyprus,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Czechia,38.2 u,33.2 u
Annual,Percentage,From 65 to 74 years,Single person,Germany,41.3 u,60.6 u
Annual,Percentage,From 65 to 74 years,Single person,Denmark,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Estonia,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Greece,34.6 u,: u
Annual,Percentage,From 65 to 74 years,Single person,Spain,: u,18.2 u
Annual,Percentage,From 65 to 74 years,Single person,European Union - 27 countries (from 2020),45.1,50.4
Annual,Percentage,From 65 to 74 years,Single person,European Union - 28 countries (2013-2020),41.1,:
Annual,Percentage,From 65 to 74 years,Single person,Finland,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,France,: u,52.0 u
Annual,Percentage,From 65 to 74 years,Single person,Croatia,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Hungary,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Ireland,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Iceland,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Italy,62.4 u,69.6 u
Annual,Percentage,From 65 to 74 years,Single person,Lithuania,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Luxembourg,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Latvia,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Malta,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Netherlands,68.4 u,74.7 u
Annual,Percentage,From 65 to 74 years,Single person,Norway,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Poland,34.6 u,15.2 u
Annual,Percentage,From 65 to 74 years,Single person,Portugal,9.1 u,31.9 u
Annual,Percentage,From 65 to 74 years,Single person,Romania,: u,13.6 u
Annual,Percentage,From 65 to 74 years,Single person,Serbia,:,: u
Annual,Percentage,From 65 to 74 years,Single person,Sweden,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Slovenia,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Slovakia,: u,: u
Annual,Percentage,From 65 to 74 years,Single person,Türkiye,: u,4.6 u
Annual,Percentage,From 65 to 74 years,Single person,United Kingdom,26.6,:
Annual,Percentage,From 65 to 74 years,Other,Austria,19.2 u,20.5 u
Annual,Percentage,From 65 to 74 years,Other,Belgium,47.8 u,72.9 u
Annual,Percentage,From 65 to 74 years,Other,Bulgaria,20.7,17.5 u
Annual,Percentage,From 65 to 74 years,Other,Cyprus,: u,21.2 u
Annual,Percentage,From 65 to 74 years,Other,Czechia,17.2 u,8.0 u
Annual,Percentage,From 65 to 74 years,Other,Germany,31.3 u,30.4
Annual,Percentage,From 65 to 74 years,Other,Denmark,: u,: u
Annual,Percentage,From 65 to 74 years,Other,Estonia,: u,0 u
Annual,Percentage,From 65 to 74 years,Other,Greece,33.6 u,38.7 u
Annual,Percentage,From 65 to 74 years,Other,Spain,25.4,45.5
Annual,Percentage,From 65 to 74 years,Other,European Union - 27 countries (from 2020),34.3,33.3
Annual,Percentage,From 65 to 74 years,Other,European Union - 28 countries (2013-2020),33.5,:
Annual,Percentage,From 65 to 74 years,Other,Finland,: u,: u
Annual,Percentage,From 65 to 74 years,Other,France,52.5 u,42.7
Annual,Percentage,From 65 to 74 years,Other,Croatia,26.5 u,52.7 u
Annual,Percentage,From 65 to 74 years,Other,Hungary,33.5 u,23.3 u
Annual,Percentage,From 65 to 74 years,Other,Ireland,26.9 u,: u
Annual,Percentage,From 65 to 74 years,Other,Iceland,: u,: u
Annual,Percentage,From 65 to 74 years,Other,Italy,42.3,36.5
Annual,Percentage,From 65 to 74 years,Other,Lithuania,35.1 u,8.6 u
Annual,Percentage,From 65 to 74 years,Other,Luxembourg,: u,: u
Annual,Percentage,From 65 to 74 years,Other,Latvia,18.9 u,: u
Annual,Percentage,From 65 to 74 years,Other,Malta,: u,: u
Annual,Percentage,From 65 to 74 years,Other,Netherlands,35.9 u,36.5 u
Annual,Percentage,From 65 to 74 years,Other,Norway,: u,: u
Annual,Percentage,From 65 to 74 years,Other,Poland,27.7,20.6
Annual,Percentage,From 65 to 74 years,Other,Portugal,24.4,12.7
Annual,Percentage,From 65 to 74 years,Other,Romania,35.9 u,10.6
Annual,Percentage,From 65 to 74 years,Other,Serbia,:,16.3
Annual,Percentage,From 65 to 74 years,Other,Sweden,: u,: u
Annual,Percentage,From 65 to 74 years,Other,Slovenia,21.3 u,16.6 u
Annual,Percentage,From 65 to 74 years,Other,Slovakia,36.6 u,15.2 u
Annual,Percentage,From 65 to 74 years,Other,Türkiye,5.6,9.8
Annual,Percentage,From 65 to 74 years,Other,United Kingdom,27.1,:
Annual,Percentage,From 65 to 74 years,Total,Austria,19.0 u,25.9
Annual,Percentage,From 65 to 74 years,Total,Belgium,57.9,74.8
