Time frequency,Unit of measure,Direction of flow,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Thousand passengers (excluding cruise passengers),Inwards,Algeria,448.5,461.7,432.4,365.5,328.1,324.3,306.9,280.0,260.5,252.2,256.0,320.3,377.1,395.5
Annual,Thousand passengers (excluding cruise passengers),Inwards,Egypt,1445.0,1579.0,1596.0,1486.0,1414.0,1478.0,1029.0,1167.0,980.0,495.0,500.0,:,:,:
Annual,Thousand passengers (excluding cruise passengers),Inwards,Israel,147.0,126.0,156.0,150.0,190.0,292.0,230.0,231.0,205.0,111.0,105.0,95.0,88.0,84.0
Annual,Thousand passengers (excluding cruise passengers),Inwards,Jordan,427.0,630.0,528.0,565.0,393.0,353.0,315.0,336.0,231.0,242.0,212.0,145.0,132.7,132.8
Annual,Thousand passengers (excluding cruise passengers),Inwards,Lebanon,38.8 di,19.5 di,0.7 di,2.7 di,6.7 di,7.1 di,9.2 di,5.8 di,6.4 di,5.3 di,6.6 di,2.3 d,6.0 d,4.9 d
Annual,Thousand passengers (excluding cruise passengers),Inwards,Morocco,:,:,:,:,:,:,:,:,2015.6,1996.1,2142.9,2269.3,2497.6 dp,2577.5 dp
Annual,Thousand passengers (excluding cruise passengers),Inwards,Tunisia,318.0,355.0,357.0,357.0,377.0,376.0,366.0,397.0,362.0,394.0,389.0,382.0,400.0,400.0
Annual,Thousand passengers (excluding cruise passengers),Outwards,Algeria,398.9,425.5,425.9,360.6,313.8,310.5,292.5,272.8,256.3,246.0,250.4,304.4,345.1,366.4
Annual,Thousand passengers (excluding cruise passengers),Outwards,Egypt,1562.0,1460.0,1584.0,1521.0,1427.0,1460.0,1020.0,1159.0,922.0,584.0,600.0,:,:,:
Annual,Thousand passengers (excluding cruise passengers),Outwards,Israel,146.0,125.0,155.0,150.0,191.0,291.0,230.0,231.0,204.0,111.0,105.0,95.0,88.0,84.0
Annual,Thousand passengers (excluding cruise passengers),Outwards,Jordan,454.0,657.0,569.0,552.0,435.0,413.0,355.0,390.0,267.0,209.0,200.0,172.0,152.5,137.6
Annual,Thousand passengers (excluding cruise passengers),Outwards,Lebanon,3.2 di,1.4 di,0.0 di,0.0 di,0.0 di,0.0 di,0.0 di,0.0 di,0.0 di,0.0 di,0.0 di,0.0 d,0.0 d,0.0 d
Annual,Thousand passengers (excluding cruise passengers),Outwards,Morocco,:,:,:,:,:,:,:,:,2057.2,2015.3,2030.9,2359.9,2521.3 dp,2590.3 dp
Annual,Thousand passengers (excluding cruise passengers),Outwards,Tunisia,293.0,306.0,335.0,333.0,342.0,339.0,295.0,322.0,299.0,330.0,340.0,340.0,300.0,300.0
Annual,Thousand tonnes,Inwards,Algeria,26174.0,26989.0,29516.0,33968.0,33506.0,34188.0,37598.0,43673.0,46117.6,49459.0,52633.8,48243.7,42659.2,44155.1
Annual,Thousand tonnes,Inwards,Egypt,55743.0,58234.0,65101.0,70273.0,31273.0,85446.0,79128.0,76474.0,78019.0,107415.0,93400.0,:,:,:
Annual,Thousand tonnes,Inwards,Israel,21078.0 d,20404.0 d,22475.0 d,22856.0 d,21545.0 d,24142.0 d,25483.0 d,27037.0 d,28287.0 d,32012.0 b,33599.0,36311.0,37430.0,38500.0
Annual,Thousand tonnes,Inwards,Jordan,12432.0,10144.0,10297.0,9165.0,8302.0,8796.0,10208.0,11944.0,11784.0,13844.0,13149.0,12219.0,11734.3,11092.9
Annual,Thousand tonnes,Inwards,Lebanon,4417.0 d,4015.0 d,4970.0 d,5867.1 d,6962.2 d,5504.8 d,5878.9 d,6375.5 d,7230.9 d,7299.9 d,7134.3 d,7730.6 d,7131.0 d,7055.0 d
Annual,Thousand tonnes,Inwards,Morocco,:,:,:,:,:,:,:,:,46906.6,51209.0,50091.6,56383.4 p,50063.7 d,60962.8 d
Annual,Thousand tonnes,Inwards,Tunisia,14454.0,15235.0,16121.0,16520.0,14553.0,16326.0,14516.0,15471.0,15974.0,16502.0,16940.0,17099.0,16500.0,16600.0
Annual,Thousand tonnes,Outwards,Algeria,100557.0,99968.0,100765.0,94276.0,87306.0,83702.0,80509.7,75731.0,71924.3,76599.3,76797.6,76358.7,73904.3,74770.9
Annual,Thousand tonnes,Outwards,Egypt,41766.0,48388.0,47227.0,45937.0,28752.0,49948.0,49309.0,44180.0,43979.0,52354.0,39100.0,:,:,:
Annual,Thousand tonnes,Outwards,Israel,16636.0 d,15848.0 d,17748.0 d,18132.0 d,15398.0 d,19270.0 d,19589.0 d,19429.0 d,20464.0 d,21284.0 b,20173.0,20738.0,20506.0,20200.0
Annual,Thousand tonnes,Outwards,Jordan,7998.0,7934.0,8617.0,9221.0,6970.0,8056.0,10862.0,7411.0,4531.0,5201.0,5233.0,4548.0,5589.7,5031.9
Annual,Thousand tonnes,Outwards,Lebanon,906.0 d,800.0 d,1117.0 d,1194.3 d,887.5 d,820.1 d,798.1 d,849.6 d,1037.5 d,981.1 d,1082.5 d,1036.0 d,1130.0 d,930.0 d
Annual,Thousand tonnes,Outwards,Morocco,:,:,:,:,:,:,:,:,28600.0,29159.4,28328.2,29316.9 p,33605.3 d,38984.1 d
Annual,Thousand tonnes,Outwards,Tunisia,7227.0,7539.0,7986.0,7939.0,7817.0,8145.0,5793.0,6451.0,6574.0,6297.0,5785.0,6011.0,6600.0,8400.0
