Time frequency,Unit of measure,Age class,Severity (days lost),Frequency,Geopolitical entity (reporting)\Time,1999.0
Annual,Rate,From 45 to 54 years,4 days or over,Never,European Union (aggregate changing according to the context),71.0
Annual,Rate,From 45 to 54 years,4 days or over,Sometimes,European Union (aggregate changing according to the context),104.0
Annual,Rate,From 45 to 54 years,4 days or over,Total,European Union (aggregate changing according to the context),78.0
Annual,Rate,From 45 to 54 years,4 days or over,Usually,European Union (aggregate changing according to the context),112.0
Annual,Rate,From 45 to 54 years,Total,Never,European Union (aggregate changing according to the context),74.0
Annual,Rate,From 45 to 54 years,Total,Sometimes,European Union (aggregate changing according to the context),95.0
Annual,Rate,From 45 to 54 years,Total,Total,European Union (aggregate changing according to the context),80.0
Annual,Rate,From 45 to 54 years,Total,Usually,European Union (aggregate changing according to the context),113.0
Annual,Rate,From 55 to 64 years,14 days or over,Never,European Union (aggregate changing according to the context),66.0
Annual,Rate,From 55 to 64 years,14 days or over,Sometimes,European Union (aggregate changing according to the context),170.0
Annual,Rate,From 55 to 64 years,14 days or over,Total,European Union (aggregate changing according to the context),81.0
Annual,Rate,From 55 to 64 years,14 days or over,Usually,European Union (aggregate changing according to the context),163.0
Annual,Rate,From 55 to 64 years,4 days or over,Never,European Union (aggregate changing according to the context),64.0
Annual,Rate,From 55 to 64 years,4 days or over,Sometimes,European Union (aggregate changing according to the context),148.0
Annual,Rate,From 55 to 64 years,4 days or over,Total,European Union (aggregate changing according to the context),79.0
Annual,Rate,From 55 to 64 years,4 days or over,Usually,European Union (aggregate changing according to the context),161.0
Annual,Rate,From 55 to 64 years,Total,Never,European Union (aggregate changing according to the context),71.0
Annual,Rate,From 55 to 64 years,Total,Sometimes,European Union (aggregate changing according to the context),133.0
Annual,Rate,From 55 to 64 years,Total,Total,European Union (aggregate changing according to the context),87.0
Annual,Rate,From 55 to 64 years,Total,Usually,European Union (aggregate changing according to the context),178.0
Annual,Rate,65 years or over,14 days or over,Total,European Union (aggregate changing according to the context),93.0
Annual,Rate,65 years or over,4 days or over,Total,European Union (aggregate changing according to the context),109.0
Annual,Rate,65 years or over,Total,Total,European Union (aggregate changing according to the context),168.0
