Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Females,From 15 to 64 years,Austria,10.3,11.0,11.3,10.8,9.1,8.0,8.5,8.1 b,6.9,6.2
Annual,Percentage,Females,From 15 to 64 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,49.9 b,45.4,40.5
Annual,Percentage,Females,From 15 to 64 years,Belgium,8.9,8.6,7.5,6.4 b,5.6,4.6,4.2,21.3 b,17.5,16.7
Annual,Percentage,Females,From 15 to 64 years,Bulgaria,64.7,59.7,60.2,47.2,51.3,43.9 b,47.7 u,44.5 bu,44.9 u,35.9 u
Annual,Percentage,Females,From 15 to 64 years,Switzerland,7.5,7.6,8.0,8.2,7.7,7.9,7.7,7.5 b,6.2,5.8
Annual,Percentage,Females,From 15 to 64 years,Cyprus,61.6,63.7,62.2,62.8,59.6,51.4,52.2,46.1 b,44.5,43.3
Annual,Percentage,Females,From 15 to 64 years,Czechia,21.9,16.7,14.7,9.9,7.0,6.4,4.9,18.5 b,19.8,17.2
Annual,Percentage,Females,From 15 to 64 years,Germany,12.8,12.1,10.4,9.8,8.9,8.1,6.3 b,6.2 b,5.4,4.6
Annual,Percentage,Females,From 15 to 64 years,Denmark,17.9,16.7,14.1 b,13.8 b,12.2,10.8,11.4,9.3 b,6.1,7.0
Annual,Percentage,Females,From 15 to 64 years,Euro area – 20 countries (from 2023),28.8,28.4,27.5,26.3,25.3,24.0,22.6,21.5 b,19.4,18.0
Annual,Percentage,Females,From 15 to 64 years,Estonia,16.1,12.8,9.5,7.5,6.1,6.4,6.6,15.3 b,12.3,13.8
Annual,Percentage,Females,From 15 to 64 years,Greece,68.8,68.3,69.0,66.9,66.5,64.1,63.2,53.9 b,47.3,40.9
Annual,Percentage,Females,From 15 to 64 years,Spain,61.8,60.1,59.8,58.2,53.5,52.6,49.5,52.3 bd,49.7 d,48.4 d
Annual,Percentage,Females,From 15 to 64 years,European Union - 27 countries (from 2020),29.0,28.4,27.3,26.0,24.7,23.4,22.2,21.2 b,19.1,17.8
Annual,Percentage,Females,From 15 to 64 years,Finland,29.2,32.7,34.8,32.2,32.1,31.4,30.7,31.2 b,24.5,23.6
Annual,Percentage,Females,From 15 to 64 years,France,40.8 b,41.7,42.1,41.1,39.9,36.5,37.0,27.3 bd,24.9 d,22.7 d
