Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,75 years or over,Percentage of households,Germany,8.5,14.7 i,15.7 i
Annual,75 years or over,Percentage of households,Denmark,11.9,12.6,15.3 i
Annual,75 years or over,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,15.3 i,16.3 i
Annual,75 years or over,Percentage of households,Euro area – 20 countries (from 2023),:,15.3 i,16.3 i
Annual,75 years or over,Percentage of households,Estonia,14.1,15.3 i,15 i
Annual,75 years or over,Percentage of households,Greece,16.2,18.8,21 i
Annual,75 years or over,Percentage of households,Spain,15.2,16.2,17.5 i
Annual,75 years or over,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,15 i,15.8 i
Annual,75 years or over,Percentage of households,European Union - 27 countries (from 2020),:,14.8 i,15.8 i
Annual,75 years or over,Percentage of households,Finland,13.9,14.7,:
Annual,75 years or over,Percentage of households,France,16.0,16.2,17.4 i
Annual,75 years or over,Percentage of households,Croatia,17.1,17.9,18 i
Annual,75 years or over,Percentage of households,Hungary,12.9,13.8,13.5 i
Annual,75 years or over,Percentage of households,Ireland,11.4,11.2,:
Annual,75 years or over,Percentage of households,Italy,20.1,:,:
Annual,75 years or over,Percentage of households,Lithuania,14.3,16.9,16.1 i
Annual,75 years or over,Percentage of households,Luxembourg,10.1,9.2,8.6 i
Annual,75 years or over,Percentage of households,Latvia,14.7,17.1,15.2 i
Annual,75 years or over,Percentage of households,Malta,13.0,13.1,15.1 i
Annual,75 years or over,Percentage of households,Netherlands,:,12.6,14.3 i
Annual,75 years or over,Percentage of households,Poland,13.1,13.3,12.8 i
Annual,75 years or over,Percentage of households,Portugal,16.7,17.8,:
Annual,75 years or over,Percentage of households,Romania,14.7,15.9,14.9 i
Annual,75 years or over,Percentage of households,Sweden,14.3,14.4,:
Annual,75 years or over,Percentage of households,Slovenia,13.5,14.4,15 i
Annual,75 years or over,Percentage of households,Slovakia,10.8,10.8,11.1 i
Annual,75 years or over,Percentage of households,United Kingdom,14.2,13.6,:
Annual,Less than 30 years,Percentage of households,Austria,7.5,7.9,7.1 i
Annual,Less than 30 years,Percentage of households,Belgium,7.4,6.1,5.5 i
Annual,Less than 30 years,Percentage of households,Bulgaria,:,3.6,2.8 i
Annual,Less than 30 years,Percentage of households,Cyprus,6.3,5.5,5.8 i
Annual,Less than 30 years,Percentage of households,Czechia,4.9,4.5,4 i
Annual,Less than 30 years,Percentage of households,Germany,7.5,6.9 i,6.1 i
Annual,Less than 30 years,Percentage of households,Denmark,12.1,13.6,14.5 i
Annual,Less than 30 years,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,6.4 i,5.6 i
Annual,Less than 30 years,Percentage of households,Euro area – 20 countries (from 2023),:,6.4 i,5.5 i
Annual,Less than 30 years,Percentage of households,Estonia,9.8,7.9 i,8.1 i
Annual,Less than 30 years,Percentage of households,Greece,5.6,3.3,2.7 i
Annual,Less than 30 years,Percentage of households,Spain,3.8,2.3,2.2 i
Annual,Less than 30 years,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,6.3 i,5.3 i
Annual,Less than 30 years,Percentage of households,European Union - 27 countries (from 2020),:,6.8 i,5.3 i
Annual,Less than 30 years,Percentage of households,Finland,11.9,12.0,:
Annual,Less than 30 years,Percentage of households,France,9.3,8.1,6.1 i
Annual,Less than 30 years,Percentage of households,Croatia,3.1,2.5,1.7 i
Annual,Less than 30 years,Percentage of households,Hungary,4.6,4.1,4.5 i
Annual,Less than 30 years,Percentage of households,Ireland,7.1,3.7,:
Annual,Less than 30 years,Percentage of households,Italy,3.2,:,:
Annual,Less than 30 years,Percentage of households,Lithuania,6.6,6.4,5.5 i
Annual,Less than 30 years,Percentage of households,Luxembourg,5.3,4.6,6.4 i
Annual,Less than 30 years,Percentage of households,Latvia,6.8,6.2,3.9 i
Annual,Less than 30 years,Percentage of households,Malta,3.5,3.5,3.9 i
Annual,Less than 30 years,Percentage of households,Netherlands,:,10.9,10.8 i
Annual,Less than 30 years,Percentage of households,Poland,5.8,4.9,3.5 i
Annual,Less than 30 years,Percentage of households,Portugal,3.8,3.2,:
Annual,Less than 30 years,Percentage of households,Romania,3.4,3.0,3.7 i
Annual,Less than 30 years,Percentage of households,Sweden,13.2,13.6,:
Annual,Less than 30 years,Percentage of households,Slovenia,3.2,3.1,3.1 i
Annual,Less than 30 years,Percentage of households,Slovakia,2.6,2.0,2.3 i
Annual,Less than 30 years,Percentage of households,United Kingdom,9.2,9.9,:
Annual,Less than 35 years,Percentage of households,Austria,14.0,14.8,15.3 i
Annual,Less than 35 years,Percentage of households,Belgium,15.4,14.3,13.3 i
Annual,Less than 35 years,Percentage of households,Bulgaria,:,9.0,8.2 i
Annual,Less than 35 years,Percentage of households,Cyprus,15.6,16.1,15.1 i
Annual,Less than 35 years,Percentage of households,Czechia,13.3,11.5,10.7 i
Annual,Less than 35 years,Percentage of households,Germany,15.0,14.6 i,13.8 i
Annual,Less than 35 years,Percentage of households,Denmark,20.5,20.3,21.9 i
Annual,Less than 35 years,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,13.7 i,12.5 i
Annual,Less than 35 years,Percentage of households,Euro area – 20 countries (from 2023),:,13.6 i,12.4 i
Annual,Less than 35 years,Percentage of households,Estonia,17.8,16.7 i,16.9 i
Annual,Less than 35 years,Percentage of households,Greece,12.5,8.2,5.9 i
Annual,Less than 35 years,Percentage of households,Spain,12.7,9.2,7.7 i
Annual,Less than 35 years,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,13.5 i,12 i
Annual,Less than 35 years,Percentage of households,European Union - 27 countries (from 2020),:,14.2 i,12 i
Annual,Less than 35 years,Percentage of households,Finland,19.5,20.2,:
Annual,Less than 35 years,Percentage of households,France,16.8,15.2,12.7 i
Annual,Less than 35 years,Percentage of households,Croatia,8.0,8.3,6 i
Annual,Less than 35 years,Percentage of households,Hungary,11.2,9.3,9.8 i
Annual,Less than 35 years,Percentage of households,Ireland,17.5,12.0,:
Annual,Less than 35 years,Percentage of households,Italy,9.0,:,:
Annual,Less than 35 years,Percentage of households,Lithuania,14.7,14.4,12.8 i
Annual,Less than 35 years,Percentage of households,Luxembourg,13.7,13.0,17.3 i
Annual,Less than 35 years,Percentage of households,Latvia,13.1,13.3,10.9 i
Annual,Less than 35 years,Percentage of households,Malta,10.3,10.8,11.6 i
Annual,Less than 35 years,Percentage of households,Netherlands,:,18.8,18.9 i
Annual,Less than 35 years,Percentage of households,Poland,14.5,13.2,10.3 i
Annual,Less than 35 years,Percentage of households,Portugal,10.6,8.4,:
Annual,Less than 35 years,Percentage of households,Romania,10.5,9.4,8.8 i
Annual,Less than 35 years,Percentage of households,Sweden,21.1,21.6,:
Annual,Less than 35 years,Percentage of households,Slovenia,10.8,9.2,9 i
Annual,Less than 35 years,Percentage of households,Slovakia,8.8,8.4,8.4 i
Annual,Less than 35 years,Percentage of households,United Kingdom,17.0,18.3,:
