Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,From 35 to 44 years,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,17.4 i,16.8 i
Annual,From 35 to 44 years,Percentage of households,European Union - 27 countries (from 2020),:,17.4 i,16.8 i
Annual,From 35 to 44 years,Percentage of households,Finland,14.7,15.1,:
Annual,From 35 to 44 years,Percentage of households,France,18.0,16.4,16.6 i
Annual,From 35 to 44 years,Percentage of households,Croatia,15.7,15.4,16 i
Annual,From 35 to 44 years,Percentage of households,Hungary,17.5,17.6,14.1 i
Annual,From 35 to 44 years,Percentage of households,Ireland,19.7,20.0,:
Annual,From 35 to 44 years,Percentage of households,Italy,18.2,:,:
Annual,From 35 to 44 years,Percentage of households,Lithuania,18.0,14.8,16.4 i
Annual,From 35 to 44 years,Percentage of households,Luxembourg,23.1,20.9,21.9 i
Annual,From 35 to 44 years,Percentage of households,Latvia,16.8,16.1,16.5 i
Annual,From 35 to 44 years,Percentage of households,Malta,17.5,18.8,20.7 i
Annual,From 35 to 44 years,Percentage of households,Netherlands,:,15.9,15.1 i
Annual,From 35 to 44 years,Percentage of households,Poland,18.6,19.5,20.1 i
Annual,From 35 to 44 years,Percentage of households,Portugal,20.2,18.7,:
Annual,From 35 to 44 years,Percentage of households,Romania,22.3,19.2,17.9 i
Annual,From 35 to 44 years,Percentage of households,Sweden,17.3,16.4,:
Annual,From 35 to 44 years,Percentage of households,Slovenia,19.9,19.3,18.7 i
Annual,From 35 to 44 years,Percentage of households,Slovakia,19.3,22.5,20.1 i
Annual,From 35 to 44 years,Percentage of households,United Kingdom,19.4,17.4,:
Annual,From 40 to 49 years,Percentage of households,Austria,22.9,19.1,16.5 i
Annual,From 40 to 49 years,Percentage of households,Belgium,21.2,20.0,18 i
Annual,From 40 to 49 years,Percentage of households,Bulgaria,:,18.6,18.6 i
Annual,From 40 to 49 years,Percentage of households,Cyprus,20.9,20.1,19.4 i
Annual,From 40 to 49 years,Percentage of households,Czechia,18.3,19.9,21.2 i
Annual,From 40 to 49 years,Percentage of households,Germany,22.5,19 i,15.8 i
Annual,From 40 to 49 years,Percentage of households,Denmark,17.9,17.7,15.4 i
Annual,From 40 to 49 years,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,19.2 i,17.6 i
Annual,From 40 to 49 years,Percentage of households,Euro area – 20 countries (from 2023),:,19.2 i,17.6 i
Annual,From 40 to 49 years,Percentage of households,Estonia,17.2,18.6 i,16.8 i
Annual,From 40 to 49 years,Percentage of households,Greece,18.4,18.4,17.9 i
Annual,From 40 to 49 years,Percentage of households,Spain,21.9,22.3,21.7 i
Annual,From 40 to 49 years,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,19.2 i,18.2 i
Annual,From 40 to 49 years,Percentage of households,European Union - 27 countries (from 2020),:,19.1 i,18.2 i
Annual,From 40 to 49 years,Percentage of households,Finland,16.5,15.4,:
Annual,From 40 to 49 years,Percentage of households,France,18.9,17.8,17.5 i
Annual,From 40 to 49 years,Percentage of households,Croatia,18.2,17.4,18.6 i
Annual,From 40 to 49 years,Percentage of households,Hungary,17.3,18.8,19 i
Annual,From 40 to 49 years,Percentage of households,Ireland,18.9,21.1,:
Annual,From 40 to 49 years,Percentage of households,Italy,20.0,:,:
Annual,From 40 to 49 years,Percentage of households,Lithuania,22.2,17.2,16.9 i
Annual,From 40 to 49 years,Percentage of households,Luxembourg,23.9,23.9,21.3 i
Annual,From 40 to 49 years,Percentage of households,Latvia,19.2,17.4,19.2 i
Annual,From 40 to 49 years,Percentage of households,Malta,18.7,18.3,19.1 i
Annual,From 40 to 49 years,Percentage of households,Netherlands,:,18.0,15.4 i
Annual,From 40 to 49 years,Percentage of households,Poland,18.2,18.9,20.6 i
Annual,From 40 to 49 years,Percentage of households,Portugal,20.0,20.3,:
Annual,From 40 to 49 years,Percentage of households,Romania,19.4,22.7,21.6 i
Annual,From 40 to 49 years,Percentage of households,Sweden,17.5,17.3,:
Annual,From 40 to 49 years,Percentage of households,Slovenia,21.4,19.6,19.4 i
Annual,From 40 to 49 years,Percentage of households,Slovakia,21.9,21.2,23.1 i
Annual,From 40 to 49 years,Percentage of households,United Kingdom,21.7,18.2,:
Annual,From 45 to 54 years,Percentage of households,Austria,23.9,23.1,19.2 i
Annual,From 45 to 54 years,Percentage of households,Belgium,21.4,21.4,18.9 i
Annual,From 45 to 54 years,Percentage of households,Bulgaria,:,18.3,19.1 i
Annual,From 45 to 54 years,Percentage of households,Cyprus,22.4,21.0,18.7 i
Annual,From 45 to 54 years,Percentage of households,Czechia,17.6,17.9,19.4 i
Annual,From 45 to 54 years,Percentage of households,Germany,21.7,22.6 i,19.5 i
