Time frequency,Unit of measure,Rail network segment (2010),Train category\Time,2010.0
Annual,Number,Linha Do Minho(Porto São Bento->Valença Fronteira),Goods trains,10017.0
Annual,Number,Linha Do Minho(Porto São Bento->Valença Fronteira),Other trains,27193.0
Annual,Number,Linha Do Minho(Porto São Bento->Valença Fronteira),Passenger trains,107978.0
Annual,Number,Concordância De São Gemil(Ermesinde->São Gemil),Goods trains,740.0
Annual,Number,Concordância De São Gemil(Ermesinde->São Gemil),Other trains,557.0
Annual,Number,Concordância De São Gemil(Ermesinde->São Gemil),Passenger trains,17477.0
Annual,Number,Ramal De Braga(Nine->Braga),Goods trains,490.0
Annual,Number,Ramal De Braga(Nine->Braga),Other trains,445.0
Annual,Number,Ramal De Braga(Nine->Braga),Passenger trains,22656.0
Annual,Number,Linha De Leixões(Contumil->Leixões),Goods trains,1931.0
Annual,Number,Linha De Leixões(Contumil->Leixões),Other trains,2222.0
Annual,Number,Linha De Leixões(Contumil->Leixões),Passenger trains,17484.0
Annual,Number,Linha Do Douro(Ermesinde->Pocinho),Goods trains,3100.0
Annual,Number,Linha Do Douro(Ermesinde->Pocinho),Other trains,6631.0
Annual,Number,Linha Do Douro(Ermesinde->Pocinho),Passenger trains,38159.0
Annual,Number,Linha Do Norte(Lisboa Santa Apolónia->Porto Campanhã),Goods trains,38413.0
Annual,Number,Linha Do Norte(Lisboa Santa Apolónia->Porto Campanhã),Other trains,15065.0
Annual,Number,Linha Do Norte(Lisboa Santa Apolónia->Porto Campanhã),Passenger trains,172663.0
Annual,Number,Linha De Guimarães(Lousado->Guimarães),Goods trains,1.0
Annual,Number,Linha De Guimarães(Lousado->Guimarães),Other trains,791.0
Annual,Number,Linha De Guimarães(Lousado->Guimarães),Passenger trains,14161.0
Annual,Number,Linha Do Corgo(Régua->Vila Real),Other trains,378.0
Annual,Number,Linha Do Corgo(Régua->Vila Real),Passenger trains,3275.0
Annual,Number,Linha Do Tua(Tua->Carvalhais),Other trains,153.0
Annual,Number,Linha Do Tua(Tua->Carvalhais),Passenger trains,8757.0
Annual,Number,Linha Do Vouga(Espinho-Vouga->Aveiro),Other trains,423.0
Annual,Number,Linha Do Vouga(Espinho-Vouga->Aveiro),Passenger trains,12936.0
Annual,Number,Linha Da Beira Alta(Pampilhosa->Vilar Formoso Fronteira),Goods trains,4119.0
Annual,Number,Linha Da Beira Alta(Pampilhosa->Vilar Formoso Fronteira),Other trains,550.0
Annual,Number,Linha Da Beira Alta(Pampilhosa->Vilar Formoso Fronteira),Passenger trains,7375.0
Annual,Number,Ramal Da Lousã(Coimbra B->Serpins),Goods trains,10.0
Annual,Number,Ramal Da Lousã(Coimbra B->Serpins),Other trains,392.0
Annual,Number,Ramal Da Lousã(Coimbra B->Serpins),Passenger trains,34658.0
Annual,Number,Ramal De Alfarelos(Bifurcação De Lares->Alfarelos),Goods trains,4840.0
Annual,Number,Ramal De Alfarelos(Bifurcação De Lares->Alfarelos),Other trains,304.0
Annual,Number,Ramal De Alfarelos(Bifurcação De Lares->Alfarelos),Passenger trains,11134.0
Annual,Number,Linha Do Oeste(Mira Sintra - Meleças->Figueira Da Foz),Goods trains,5169.0
Annual,Number,Linha Do Oeste(Mira Sintra - Meleças->Figueira Da Foz),Other trains,4214.0
Annual,Number,Linha Do Oeste(Mira Sintra - Meleças->Figueira Da Foz),Passenger trains,54222.0
Annual,Number,Ramal De Tomar(Soudos - Vila Nova->Tomar),Goods trains,122.0
Annual,Number,Ramal De Tomar(Soudos - Vila Nova->Tomar),Other trains,61.0
Annual,Number,Ramal De Tomar(Soudos - Vila Nova->Tomar),Passenger trains,10802.0
Annual,Number,Linha Da Beira Baixa(Entroncamento->Guarda),Goods trains,6455.0
Annual,Number,Linha Da Beira Baixa(Entroncamento->Guarda),Other trains,2302.0
Annual,Number,Linha Da Beira Baixa(Entroncamento->Guarda),Passenger trains,11488.0
Annual,Number,Ramal De Cáceres(Torre Das Vargens->Marvão-Beirã-Fronteira),Goods trains,443.0
Annual,Number,Ramal De Cáceres(Torre Das Vargens->Marvão-Beirã-Fronteira),Other trains,25.0
Annual,Number,Ramal De Cáceres(Torre Das Vargens->Marvão-Beirã-Fronteira),Passenger trains,2159.0
Annual,Number,Linha Do Leste(Abrantes->Elvas-Fronteira),Goods trains,1689.0
Annual,Number,Linha Do Leste(Abrantes->Elvas-Fronteira),Other trains,312.0
Annual,Number,Linha Do Leste(Abrantes->Elvas-Fronteira),Passenger trains,2889.0
Annual,Number,Linha De Sintra(Lisboa Rossio->Sintra),Goods trains,797.0
Annual,Number,Linha De Sintra(Lisboa Rossio->Sintra),Other trains,18807.0
Annual,Number,Linha De Sintra(Lisboa Rossio->Sintra),Passenger trains,102611.0
Annual,Number,Linha De Cintura(Alcântara-Mar->Braço De Prata),Goods trains,2864.0
Annual,Number,Linha De Cintura(Alcântara-Mar->Braço De Prata),Other trains,10414.0
Annual,Number,Linha De Cintura(Alcântara-Mar->Braço De Prata),Passenger trains,117360.0
Annual,Number,Ramal Do Pego(Mouriscas-A->Central Do Pego),Goods trains,1079.0
Annual,Number,Ramal Do Pego(Mouriscas-A->Central Do Pego),Other trains,4.0
Annual,Number,Linha De Cascais(Cais Do Sodré->Cascais),Goods trains,5.0
Annual,Number,Linha De Cascais(Cais Do Sodré->Cascais),Other trains,4920.0
Annual,Number,Linha De Cascais(Cais Do Sodré->Cascais),Passenger trains,82233.0
Annual,Number,Linha De Vendas Novas(Morgado->Vendas Novas),Goods trains,9659.0
Annual,Number,Linha De Vendas Novas(Morgado->Vendas Novas),Other trains,452.0
Annual,Number,Linha De Vendas Novas(Morgado->Vendas Novas),Passenger trains,2774.0
