Time frequency,Share of income,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,From 25 to 50 percent,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,7.3
Annual,From 25 to 50 percent,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,13.0
Annual,From 25 to 50 percent,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,15.1
Annual,From 25 to 50 percent,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,10.0
Annual,From 25 to 50 percent,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,14.9
Annual,From 25 to 50 percent,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,17.0
Annual,From 25 to 50 percent,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,8.9
Annual,From 25 to 50 percent,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,14.1
Annual,From 25 to 50 percent,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,16.2
Annual,From 50 to 75 percent,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,12.7
Annual,From 50 to 75 percent,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,12.1
Annual,From 50 to 75 percent,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,11.9
Annual,From 50 to 75 percent,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,6.0
Annual,From 50 to 75 percent,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,8.9
Annual,From 50 to 75 percent,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,10.1
Annual,From 50 to 75 percent,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,8.7
Annual,From 50 to 75 percent,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,10.3
Annual,From 50 to 75 percent,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,10.9
Annual,75 percent or over,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,21.3
Annual,75 percent or over,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,20.4
Annual,75 percent or over,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,20.1
Annual,75 percent or over,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,36.0
Annual,75 percent or over,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,25.7
Annual,75 percent or over,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,21.2
Annual,75 percent or over,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,30.0
Annual,75 percent or over,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,23.4
Annual,75 percent or over,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,20.7
Annual,Less than 25 percent,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,58.7
Annual,Less than 25 percent,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,54.5
Annual,Less than 25 percent,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,52.9
Annual,Less than 25 percent,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,48.0
Annual,Less than 25 percent,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,50.5
Annual,Less than 25 percent,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,51.6
Annual,Less than 25 percent,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,52.3
Annual,Less than 25 percent,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,52.2
Annual,Less than 25 percent,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,52.2
