Time frequency,Unit of measure,Territorial typology,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
Annual,Per million inhabitants,Border regions,Austria,:,:,:,:,:,:,:,:,:,:,:,58.94,:,:
Annual,Per million inhabitants,Border regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Border regions,Czechia,:,:,:,11.38,10.9,:,13.03,:,19.56,:,17.58,19.63,15.84,:
Annual,Per million inhabitants,Border regions,Denmark,:,:,:,:,83.63,85.96,77.86,70.32,80.88,81.88,69.2,87.47,95.27,70.0
Annual,Per million inhabitants,Border regions,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,37.47
Annual,Per million inhabitants,Border regions,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,12.39
Annual,Per million inhabitants,Border regions,Ireland,9.48,7.94,:,:,:,16.47,10.95,15.96,:,12.91,:,9.48,:,:
Annual,Per million inhabitants,Border regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Border regions,Italy,:,45.0,50.85,:,:,48.39,44.83,:,48.67,:,:,:,:,:
Annual,Per million inhabitants,Border regions,Liechtenstein,442.96,670.67,953.76,658.93,966.79,933.36,702.46,724.36,636.26,548.32,651.5,511.73,615.53,372.12
Annual,Per million inhabitants,Border regions,Luxembourg,44.61,43.96,52.03,100.19,107.1,103.35,117.53,111.54,121.13,142.9,193.65,189.2,193.62,126.68
Annual,Per million inhabitants,Border regions,Latvia,:,:,:,:,:,:,:,5.53,9.19,:,:,:,14.13,:
Annual,Per million inhabitants,Border regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Border regions,Netherlands,:,:,:,:,:,:,51.56,:,:,:,:,:,:,:
Annual,Per million inhabitants,Border regions,Poland,:,:,:,:,:,:,:,:,:,:,:,22.0,:,:
Annual,Per million inhabitants,Border regions,Slovenia,:,:,:,:,:,:,:,:,:,:,42.99,48.93,:,:
Annual,Per million inhabitants,Border regions,Slovakia,:,:,:,6.51,:,:,7.8,5.94,10.38,7.96,11.83,10.89,8.85,:
Annual,Per million inhabitants,Border regions,United Kingdom,:,:,13.25,:,8.79,8.23,11.77,:,16.02,11.03,:,15.21,:,:
Annual,Per million inhabitants,Coastal regions,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Coastal regions,Belgium,:,:,:,:,35.9,:,:,:,:,:,:,:,:,:
Annual,Per million inhabitants,Coastal regions,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,10.27,10.31
Annual,Per million inhabitants,Coastal regions,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Coastal regions,Cyprus,5.6,2.77,9.55,12.1,10.56,2.58,8.78,14.65,19.05,16.24,33.49,27.97,16.53,20.04
