Time frequency,Type of ownership,Unit of measure,Geopolitical entity (reporting)\Time,2018.0
Annual,Private ownership,Euro,Albania,373.86
Annual,Private ownership,Euro,Austria,3003.85
Annual,Private ownership,Euro,Belgium,3330.4
Annual,Private ownership,Euro,Bulgaria,615.65
Annual,Private ownership,Euro,Switzerland,6528.26
Annual,Private ownership,Euro,Cyprus,1714.69
Annual,Private ownership,Euro,Czechia,1219.86
Annual,Private ownership,Euro,Germany,3273.17
Annual,Private ownership,Euro,Denmark,4635.18
Annual,Private ownership,Euro,Euro area - 17 countries (2011-2013),2814.1
Annual,Private ownership,Euro,Euro area - 18 countries (2014),2804.72
Annual,Private ownership,Euro,Euro area - 19 countries  (2015-2022),2787.77
Annual,Private ownership,Euro,Estonia,1388.62
Annual,Private ownership,Euro,Greece,1374.96
Annual,Private ownership,Euro,Spain,1942.0
Annual,Private ownership,Euro,European Union - 27 countries (2007-2013),2679.12
Annual,Private ownership,Euro,European Union - 27 countries (from 2020),2558.77
Annual,Private ownership,Euro,Finland,3434.09
Annual,Private ownership,Euro,France,2916.79
Annual,Private ownership,Euro,Croatia,1125.33
Annual,Private ownership,Euro,Hungary,1003.07
Annual,Private ownership,Euro,Ireland,3564.71
Annual,Private ownership,Euro,Iceland,4932.97
Annual,Private ownership,Euro,Italy,2455.21
Annual,Private ownership,Euro,Lithuania,980.84
Annual,Private ownership,Euro,Luxembourg,4304.98
Annual,Private ownership,Euro,Latvia,1232.37
Annual,Private ownership,Euro,North Macedonia,579.46
Annual,Private ownership,Euro,Malta,2028.26
Annual,Private ownership,Euro,Netherlands,3041.51
Annual,Private ownership,Euro,Norway,4739.98
Annual,Private ownership,Euro,Poland,1107.61
Annual,Private ownership,Euro,Portugal,1189.79
Annual,Private ownership,Euro,Romania,869.1
Annual,Private ownership,Euro,Serbia,599.38
Annual,Private ownership,Euro,Sweden,3609.89
Annual,Private ownership,Euro,Slovenia,1632.55
Annual,Private ownership,Euro,Slovakia,1191.59
Annual,Private ownership,Euro,Türkiye,724.16
Annual,Private ownership,Euro,United Kingdom,3234.84
Annual,Public ownership,Euro,Albania,471.72
Annual,Public ownership,Euro,Austria,3543.44
Annual,Public ownership,Euro,Belgium,3602.65
Annual,Public ownership,Euro,Bulgaria,580.59
Annual,Public ownership,Euro,Switzerland,7183.02
Annual,Public ownership,Euro,Cyprus,2695.43
Annual,Public ownership,Euro,Czechia,1246.17
Annual,Public ownership,Euro,Germany,3889.1
Annual,Public ownership,Euro,Denmark,4174.72
Annual,Public ownership,Euro,Euro area - 17 countries (2011-2013),3042.14
Annual,Public ownership,Euro,Euro area - 18 countries (2014),3016.79
Annual,Public ownership,Euro,Euro area - 19 countries  (2015-2022),2982.88
Annual,Public ownership,Euro,Estonia,1325.45
Annual,Public ownership,Euro,Greece,1762.39
Annual,Public ownership,Euro,Spain,2642.98
Annual,Public ownership,Euro,European Union - 27 countries (2007-2013),2789.89
Annual,Public ownership,Euro,European Union - 27 countries (from 2020),2662.67
Annual,Public ownership,Euro,Finland,3226.53
Annual,Public ownership,Euro,France,2831.48
Annual,Public ownership,Euro,Croatia,1285.65
Annual,Public ownership,Euro,Hungary,981.33
Annual,Public ownership,Euro,Ireland,4510.65
Annual,Public ownership,Euro,Iceland,4705.79
Annual,Public ownership,Euro,Italy,2705.09
Annual,Public ownership,Euro,Lithuania,942.46
Annual,Public ownership,Euro,Luxembourg,6600.86
Annual,Public ownership,Euro,Latvia,1008.53
Annual,Public ownership,Euro,North Macedonia,603.16
Annual,Public ownership,Euro,Malta,2391.9
Annual,Public ownership,Euro,Netherlands,3162.01
Annual,Public ownership,Euro,Norway,4747.42
Annual,Public ownership,Euro,Poland,1097.07
Annual,Public ownership,Euro,Portugal,1754.17
Annual,Public ownership,Euro,Romania,1233.5
Annual,Public ownership,Euro,Serbia,671.89
Annual,Public ownership,Euro,Sweden,3276.48
Annual,Public ownership,Euro,Slovenia,1895.33
Annual,Public ownership,Euro,Slovakia,1069.11
Annual,Public ownership,Euro,Türkiye,992.7
Annual,Public ownership,Euro,United Kingdom,3348.21
