Time frequency,Country of citizenship,Unit of measure,Geopolitical entity (reporting)\Time,Mars 2022,Avril 2022,Mai 2022,Juin 2022,Juillet 2022,Août 2022,Septembre 2022,Octobre 2022,Novembre 2022,Décembre 2022,Janvier 2023,Février 2023,Mars 2023,Avril 2023,Mai 2023,Juin 2023,Juillet 2023,Août 2023,Septembre 2023,Octobre 2023,Novembre 2023,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Extra-EU27 (from 2020),Number,Spain,0.7,1.06,0.69,0.24,0.14,0.13,0.12,0.11,0.11,0.1,0.09,0.07,0.08,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.07,0.06,0.07,0.06,0.07,0.07,0.06
Monthly,Extra-EU27 (from 2020),Number,European Union - 27 countries (from 2020),:,:,:,:,:,0.53,0.44,0.39,0.33,0.26,0.25,0.22,0.23,0.16,0.18,0.19,0.19,0.18,0.17,0.17,0.14,0.1,0.14,0.12,0.12,0.13,0.14,0.14,0.17,0.14,0.15,0.14,0.12
Monthly,Extra-EU27 (from 2020),Number,Finland,0.51,2.22,1.37,1.02,0.77,0.61,0.49,0.48,0.36,0.33,0.29,0.34,0.39,0.2,0.31,0.41,0.47,0.24,0.19,0.25,0.18,0.13,0.14,0.12,0.12,0.16,0.19,0.29,0.32,0.2,0.17,0.17,0.15
Monthly,Extra-EU27 (from 2020),Number,France,0.41,0.35,0.13,0.08,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02 d,0.02 d,0.01 d
Monthly,Extra-EU27 (from 2020),Number,Croatia,1.2,1.49,0.69,0.46,0.34,0.21,0.18,0.12,0.14,0.15,0.11,0.14,0.13,0.13,0.17,0.16,0.1,0.09,0.05,0.07,0.06,0.05,0.04,0.04,0.08,0.09,0.09,0.1,0.11,0.08,0.06,0.07,0.06
Monthly,Extra-EU27 (from 2020),Number,Hungary,0.15,0.73,0.72,0.59,0.29,0.2,0.13,0.13,0.11,0.04,0.08,0.07,0.08,0.06,0.08,0.06,0.06,0.07,0.05,0.05,0.05,0.03,0.05,0.07,0.02,0.07,0.06,0.06,0.07,0.05,0.06,0.06,0.06
Monthly,Extra-EU27 (from 2020),Number,Ireland,2.6,2.4,1.58,1.37,1.13,0.79,0.96,1.2,0.82,0.91,0.5,0.58,0.61,0.36,0.52,0.59,0.64,0.42,0.56,0.63,0.42,0.41,0.27,0.14,0.18,0.12,0.15,0.16,0.18,0.13,0.15,0.17,0.14
Monthly,Extra-EU27 (from 2020),Number,Iceland,0.69,1.5,0.59,0.52,0.37,0.38,0.48,0.6,0.46,0.55,0.44,0.38,0.35,0.25,0.32,0.23,0.38,0.25,0.36,0.37,0.38,0.3,0.24,0.38,0.24,0.26,0.31,0.25,0.25,0.17,0.15,0.24,0.17
Monthly,Extra-EU27 (from 2020),Number,Italy,0.0,0.29,0.63,0.45,0.33,0.29,0.21,0.15,0.13,0.05,0.02,0.01,0.11,0.04,0.05,0.03,0.03,0.03,0.03,0.01,0.0,0.0,0.04,0.04,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.01,0.0
Monthly,Extra-EU27 (from 2020),Number,Liechtenstein,1.37,3.1,0.71,1.07,0.59,0.74,0.66,0.86,0.53,1.09,0.66,0.6,0.53,0.38,0.33,0.91,0.91,0.55,0.23,0.55,0.55,0.55,0.35,0.55,0.47,0.17,0.8,0.55,0.55,0.4,0.45,0.62,0.65
Monthly,Extra-EU27 (from 2020),Number,Lithuania,1.13,8.92,6.15,1.35,1.31,1.44,1.03,0.92,0.68,0.41,0.36,0.19,0.55,0.48,0.59,0.38,0.31,0.33,0.24,0.35,0.29,0.2,0.19,0.18,0.34,0.37,0.34,0.33,0.3,0.28,0.55,0.46,0.25
Monthly,Extra-EU27 (from 2020),Number,Luxembourg,1.47,2.67,1.74,0.6,0.31,0.22,0.26,0.22,0.18,0.21,0.13,0.12,0.21,0.06,0.07,0.09,0.1,0.15,0.12,0.12,0.05,0.11,0.08,0.09,0.09,0.06,0.09,0.1,0.08,0.16,0.08,0.12,0.09
Monthly,Extra-EU27 (from 2020),Number,Latvia,5.98,4.7,2.77,1.5,1.13,1.09,1.01,0.91,0.68,0.57,0.31,0.39,0.78,1.04,1.19,1.15,0.36,0.3,0.29,0.29,0.18,0.16,0.19,0.21,0.19,0.26,0.28,0.29,0.34,0.31,0.33,0.36,0.26
Monthly,Extra-EU27 (from 2020),Number,Malta,0.36,0.75,0.8,0.37,0.17,0.16,0.18,0.13,0.11,0.1,0.13,0.16,0.09,0.11,0.09,0.05,0.1,0.06,0.08,0.1,0.06,0.02,0.05,0.05,0.05,0.07,0.03,0.05,0.09,0.06,0.06,0.06,0.04
Monthly,Extra-EU27 (from 2020),Number,Netherlands,1.45,1.61,0.74,0.54,0.44,0.42,0.28,0.25,0.24,0.18,0.18,0.16,0.14,0.12,0.13,0.14,0.18,0.15,0.18,0.2,0.18,0.11,0.11,0.11,0.12,0.11,0.12,0.14,0.16,0.15,0.15,0.15,0.13
Monthly,Extra-EU27 (from 2020),Number,Norway,0.41,1.25,1.06,0.51,0.24,0.78,0.61,0.5,0.39,0.43,0.39,0.53,0.53,0.34,0.34,0.36,0.47,0.51,0.7,0.82,0.76,0.32,0.57,0.34,0.23,0.25,0.24,0.13,0.38,0.31,0.32,0.34,0.28
Monthly,Extra-EU27 (from 2020),Number,Poland,17.98,11.58,2.62,1.66,1.56,1.83,1.46,1.48,1.1,0.87,0.78,0.68,0.52,0.38,0.48,0.55,0.63,0.6,0.58,0.52,0.37,0.28,0.4,0.33,0.27,0.31,0.36,0.43,0.51,0.44,0.47,0.4,0.33
Monthly,Extra-EU27 (from 2020),Number,Portugal,2.42,0.87,0.52,0.59,0.27,0.28,0.18,0.16,0.13,0.11,0.11,0.09,0.08,0.06,0.06,0.05,0.06,0.06,0.06,0.08,0.06,0.05,0.06,0.04,0.05,0.07,0.06,0.06,0.07,0.04,0.05,0.06,0.06
Monthly,Extra-EU27 (from 2020),Number,Romania,0.11,0.58,1.09,0.55,0.39,0.51,0.51,0.45,0.57,0.6,0.47,0.42,0.37,0.2,0.22,0.14,0.14,0.14,0.12,0.14,0.12,0.09,0.11,0.12,0.11,0.17,0.2,0.2,0.23,0.18,0.17,0.17,0.15
Monthly,Extra-EU27 (from 2020),Number,Sweden,1.74,1.14,0.44,0.21,0.24,0.21,0.14,0.14,0.15,0.13,0.1,0.09,0.11,0.07,0.11,0.13,0.1,0.09,0.07,0.06,0.06,0.06,0.07,0.17,0.06,0.07,0.1,0.09,0.09,0.13,0.08,0.07,0.05
Monthly,Extra-EU27 (from 2020),Number,Slovenia,0.41,1.42,0.66,0.23,0.24,0.17,0.13,0.08,0.11,0.11,0.09,0.06,0.08,0.06,0.06,0.05,0.05,0.05,0.06,0.07,0.08,0.03,0.03,0.05,0.06,0.06,0.07,0.04,0.1,0.1,0.08,0.07,0.06
Monthly,Extra-EU27 (from 2020),Number,Slovakia,10.87,2.49,1.18,0.86,0.71,0.8,0.7,0.65,0.58,0.45,0.6,0.5,0.5,0.36,0.43,0.49,0.45,0.48,0.51,0.52,0.43,0.31,0.47,0.42,0.38,0.41,0.44,0.43,0.55,0.31,0.32,0.36,0.44
Monthly,Total,Number,Austria,3.59,2.97,1.06,0.57,0.39,0.4,0.34,0.32,0.26,0.19,0.19,0.19,0.19,0.13,0.14,0.18,0.16,0.16,0.19,0.18,0.18,0.11,0.14,0.12,0.14,0.16,0.16,0.15,0.22,0.09,0.23,0.24,0.14
Monthly,Total,Number,Belgium,2.28,0.95,0.63,0.37,0.27,0.27,0.19,0.18,0.17,0.15,0.13,0.13,0.12,0.09,0.1,0.11,0.12,0.13,0.12,0.12,0.09,0.08,0.1,0.08,0.08,0.09,0.08,0.08,0.12,0.12,0.11,0.1,0.09
Monthly,Total,Number,Bulgaria,4.49,9.02,2.92,1.02,0.95,0.66,0.66,1.06,0.42,0.36,0.37,0.28,0.3,0.23,0.41,0.47,0.36,0.29,0.26,0.27,0.24,0.17,0.2,0.24,0.31,0.28,0.46,0.53,0.45,0.35,0.28,0.26,0.23
