Time frequency,Income and living conditions indicator,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Austria,14.3,13.6,14.2,14.4,13.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Belgium,15.0 b,12.8 b,11.7,11.1,11.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Bulgaria,24.3,23.0,16.7,18.2,9.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Switzerland,16.2,16.0,15.5,15.1,16.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Cyprus,15.5,14.0,12.7,11.2,12.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Czechia,12.1,9.9,8.8,8.1,9.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Germany,15.7,13.7 b,15.0,15.4,16.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Denmark,12.5,12.4 b,11.5,11.0,13.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Euro area - 19 countries  (2015-2022),17.0,15.9 b,16.1,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Euro area – 20 countries (from 2023),17.0,15.9,16.1,15.8,16.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Estonia,23.7,20.5,18.8,15.8,22.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Greece,18.0,15.3,16.9,13.1,14.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Spain,21.1,18.9,19.4,17.6,16.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,European Union - 27 countries (from 2020),17.1,15.5,15.2,14.5,14.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,European Union - 28 countries (2013-2020),17.1,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Finland,12.1,11.2,10.3,11.3,13.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,France,13.9,16.6 b,15.5,17.3 b,17.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Croatia,19.3,17.3,16.5,14.2,14.8 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Hungary,12.8,8.2,8.9,6.5,9.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Ireland,13.5 b,10.9 b,8.2,7.9,8.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Iceland,8.9,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Italy,20.8,18.8,19.7,18.8,18.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Lithuania,22.8,18.1,12.5,12.9,15.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Luxembourg,17.9,16.6 b,12.2 b,10.4 b,13.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Latvia,25.1,21.6,21.0,18.5,20.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,North Macedonia,22.0,19.4,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Malta,18.1,15.9,14.1,10.6,13.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Netherlands,13.4,12.7,10.2,9.8,13.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Norway,13.5,12.8,14.3 b,13.8,13.0 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Poland,15.8,11.4,10.0,7.8,7.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Portugal,17.8,14.5,15.8,13.2,14.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Romania,24.9,21.6,17.7,11.8,11.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Sweden,17.8,15.9,13.9,15.2,16.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Slovenia,13.0,11.7,9.6,8.2,8.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Slovakia,12.1,10.0,13.0,13.5,15.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Türkiye,22.8,23.5,22.9,18.3,16.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Austria,12.3,13.0,13.1,13.7,11.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Belgium,14.6 b,12.0 b,11.2,10.9,10.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Bulgaria,20.9,18.9,13.9,13.1,11.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Switzerland,15.9,15.0,13.4,14.2,15.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Cyprus,13.9,12.3,10.7,9.5,10.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Czechia,8.1,6.0,6.4,5.9,7.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Germany,13.9,12.6 b,14.0,13.9,15.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Denmark,12.5,12.3 b,10.7,10.7,11.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Euro area - 19 countries  (2015-2022),15.8,14.7 b,15.0,:,:
