Time frequency,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Less than 18 years,Total,Percentage,Albania,:,:,:,66.9,65.5,59.5,57.9,53.6,:,:
Annual,Less than 18 years,Total,Percentage,Austria,13.6,9.0,10.8,9.3,7.7,7.4,7.8,5.9,6.3,8.5
Annual,Less than 18 years,Total,Percentage,Belgium,16.8,17.3,17.4,16.1,16.4,13.1,11.9,12.1,10.7,11.7
Annual,Less than 18 years,Total,Percentage,Bulgaria,57.4,54.3,51.8 b,48.2,35.0,28.4,30.4,27.7,28.0,27.8
Annual,Less than 18 years,Total,Percentage,Switzerland,5.8,6.6,8.2,7.1,7.7,9.0,7.0,6.7,6.7,7.6
Annual,Less than 18 years,Total,Percentage,Cyprus,31.0,28.2,26.3,20.8,19.6,17.2,16.7,17.0,14.6,12.7
Annual,Less than 18 years,Total,Percentage,Czechia,16.5,14.8,11.0,9.5,7.2,6.1,6.6,7.0,6.4,8.9
Annual,Less than 18 years,Total,Percentage,Germany,14.2,13.6,12.4,10.9,9.1,6.5,11.2,11.2,14.7,15.3
Annual,Less than 18 years,Total,Percentage,Denmark,7.6,9.1,7.6,9.4,11.0,7.5,7.3,5.7,6.0,8.8
Annual,Less than 18 years,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",20.6,18.8,17.4,15.1,14.1,12.4,13.5,12.3,:,:
Annual,Less than 18 years,Total,Percentage,Euro area - 18 countries (2014),20.6,18.7,17.3,15.0,14.0,12.4,13.5,:,:,:
Annual,Less than 18 years,Total,Percentage,Euro area - 19 countries  (2015-2022),20.6 e,18.8,17.4,15.1,14.1,12.4,13.6,12.4,:,:
Annual,Less than 18 years,Total,Percentage,Euro area – 20 countries (from 2023),20.6,17.6,16.3 e,13.8,13.1,12.4,13.5,12.3,14.0,14.9
Annual,Less than 18 years,Total,Percentage,Estonia,12.9,9.6,7.2,8.8,7.7,7.4,6.2,3.0,5.5,6.3
Annual,Less than 18 years,Total,Percentage,Greece,44.4,46.3,42.3,40.0,38.6,34.5,36.3,32.2,31.6,29.4
Annual,Less than 18 years,Total,Percentage,Spain,26.6,21.1,22.1,18.1,17.2,16.6,17.8,18.0,18.8,21.4
Annual,Less than 18 years,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",23.7,21.3,19.6,17.0,15.5,13.2,:,:,:,:
Annual,Less than 18 years,Total,Percentage,European Union - 27 countries (2007-2013),23.7,21.3,19.7,17.0,15.6,13.2,:,:,:,:
Annual,Less than 18 years,Total,Percentage,European Union - 27 countries (from 2020),23.3,20.9,19.4,16.8,15.3,13.2,14.0,12.8,14.3,14.9
Annual,Less than 18 years,Total,Percentage,European Union - 28 countries (2013-2020),23.7,21.3,19.6,17.0,15.5,13.2,:,:,:,:
Annual,Less than 18 years,Total,Percentage,Finland,5.0,3.5,4.3,5.4,5.2,5.1,3.7,3.3,4.4,5.4
Annual,Less than 18 years,Total,Percentage,France,17.7,16.7,17.3,16.6,16.7,16.1,15.6 b,11.9,17.2 b,17.4
Annual,Less than 18 years,Total,Percentage,Croatia,22.4,18.0,15.9,12.3,10.7,7.4,6.0,6.7,6.3,3.9
Annual,Less than 18 years,Total,Percentage,Hungary,50.2,46.7,42.4,32.8,28.1,26.9,23.7,22.5,20.0,20.8
Annual,Less than 18 years,Total,Percentage,Ireland,25.9,25.9,22.2,18.7,16.4,15.8 b,15.2 b,12.4,14.3,14.0
Annual,Less than 18 years,Total,Percentage,Iceland,8.6,6.5,5.4,4.6,3.3,2.9,:,:,:,:
Annual,Less than 18 years,Total,Percentage,Italy,27.7,26.0,20.0,14.4,13.6,10.8,12.2,12.8,9.0,11.1
Annual,Less than 18 years,Total,Percentage,Lithuania,31.2,30.0,30.6,25.9,23.6,16.1,16.4,13.3,10.1,12.5
Annual,Less than 18 years,Total,Percentage,Luxembourg,9.4,7.8,6.4 b,5.0,5.3,3.8,5.7 b,6.8 b,4.5 b,7.6
Annual,Less than 18 years,Total,Percentage,Latvia,36.7,29.4,25.8,25.1,20.0,12.9,13.2,8.8,10.5,10.7
Annual,Less than 18 years,Total,Percentage,Montenegro,58.3,49.9,48.7,47.0,43.3,36.1,35.7,37.7,31.6,:
Annual,Less than 18 years,Total,Percentage,North Macedonia,52.8,50.6,45.1,44.0,43.2,39.9,37.5,:,:,:
Annual,Less than 18 years,Total,Percentage,Malta,28.0,19.8,14.3,12.3,13.5,10.8,10.3,10.4,9.2,11.5
Annual,Less than 18 years,Total,Percentage,Netherlands,10.1,7.4,6.2 b,5.9,5.4,7.1,5.8,3.2,5.2,5.6
Annual,Less than 18 years,Total,Percentage,Norway,3.7,4.4,:,5.9,4.7,5.5,4.8,6.8 b,5.7,6.8
Annual,Less than 18 years,Total,Percentage,Poland,23.0,17.3,12.5,10.2,8.3,6.5,5.3,4.3,5.3,6.3
Annual,Less than 18 years,Total,Percentage,Portugal,29.7,25.1,21.3,18.0,14.7,12.9,11.4,10.6,11.6,11.4
Annual,Less than 18 years,Total,Percentage,Romania,61.2,54.5,58.0,51.9,47.1,36.8,40.3,36.4,41.8,33.0
Annual,Less than 18 years,Total,Percentage,Serbia,43.0,38.2,:,35.5,29.4,24.0,17.9,17.6,18.8,:
Annual,Less than 18 years,Total,Percentage,Sweden,6.4,4.3 b,4.3,3.5,5.0,5.7,5.8,4.3,5.4,6.4
Annual,Less than 18 years,Total,Percentage,Slovenia,12.8,10.0,8.6,9.1,6.5,4.4,4.9,3.5,3.8,4.1
Annual,Less than 18 years,Total,Percentage,Slovakia,22.8,21.1,19.0,16.6,15.7,12.2,10.4,9.9,14.4,17.7
Annual,Less than 18 years,Total,Percentage,Türkiye,:,:,:,38.0,36.2,36.6,36.9,40.4,37.6,35.5
Annual,Less than 18 years,Total,Percentage,United Kingdom,26.4,23.7,21.4,18.2 b,16.9,:,:,:,:,:
Annual,Less than 18 years,Total,Percentage,Kosovo*,:,:,:,:,32.5,:,:,:,:,:
