Time frequency,Unit of measure,Sex,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Austria,5.8,5.8,5.9,6.2,6.0,5.9,6.3,6.2,6.1,6.5 b,6.4,6.4
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,2.0 b,2.2,2.8
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Belgium,5.0,4.7,4.8,4.6,4.5,4.2 b,4.8,4.6,4.4,4.4 b,4.2,4.2
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Bulgaria,3.6,3.9,3.7,3.9,4.0,3.8,4.0,4.2 b,4.3,4.5 b,4.5,4.6
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Switzerland,6.0,6.0,5.9,5.6,5.6,5.7,5.6,5.8,5.9,5.5 b,5.5,5.7
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Cyprus,0.7,1.0,0.9,0.8,0.8,0.8,0.9,0.7,0.9,1.1 b,1.0,0.9
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Czechia,10.6,10.5,11.2,11.2,11.5,11.4,11.3,11.5,11.5,11.3 b,11.0,10.7
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Germany,9.7 b,9.6,9.7,9.9,9.8,9.8,9.9,9.9,10.1 b,10.1 b,9.4,9.5
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Denmark,5.1,5.1,5.1,5.2,5.1 b,5.0 b,4.9,4.6,4.9,5.0 b,5.0,5.3 b
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Euro area – 20 countries (from 2023),5.9,5.9,6.0,6.1,6.1,6.1,6.0,6.1,6.1,6.0 b,5.8,5.8
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Estonia,4.2,4.1,3.5,3.6,4.0,3.7,4.1,4.2,4.3,4.3 b,4.2,4.1
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Greece,1.3,1.2,1.2,1.3,1.4,1.3,1.4,1.6,1.7,1.6 b,1.7,1.6
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Spain,3.8,3.9,3.9,4.0,3.9,4.1,4.1,4.0,4.0,4.0 bd,4.0 d,4.0 d
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,European Union - 27 countries (from 2020),5.9,5.9,6.0,6.1,6.2,6.2,6.2,6.2,6.2,6.1 b,5.9,6.0
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Finland,5.3,5.1,5.0,4.7,4.8,4.9,4.8,4.7,5.0,4.7 b,4.6,5.0
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,France,4.6,4.5,4.4 b,4.4,4.4,4.5,4.2,4.2,4.1,3.8 bd,3.8 d,3.9 d
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Croatia,3.9 b,3.6,3.3,3.2,3.4,3.7,3.4,3.5,3.6,3.7 b,3.6,3.4
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Hungary,8.4,8.5,8.9,9.1,9.5,9.8,9.9 b,9.7,9.7,9.2 b,9.1,8.9
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Ireland,5.0,5.2,5.0,5.3,5.5,4.5 b,3.7,3.6,4.2,4.6 b,4.2,4.2
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Iceland,1.4,1.5,1.7,1.5,1.7,1.3,1.3,1.4,1.7 b,1.8 b,1.7,1.8
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Italy,5.9,5.9,6.0,6.1,6.1,6.0,6.1 b,6.3,6.4,6.4 b,6.2,6.2
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Lithuania,1.8,1.8,1.9,2.1,2.1,2.2,2.2,2.4,2.6,2.8 b,2.8,2.7
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Luxembourg,0.9,0.9,1.3,0.8 b,0.8,0.6,0.6,0.8,0.7,0.5 b,0.6,: u
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Latvia,1.5,1.8,1.6,1.6,1.8,1.7,1.6,1.7,2.2,2.0 b,2.1,1.9
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Montenegro,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,North Macedonia,1.4,1.4,2.1,2.7,2.9,3.6,4.7,5.0,5.1,:,:,:
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Malta,3.8,3.9,4.0,3.4,3.7,3.6,3.1,3.4,3.3,2.8 b,2.5,2.8
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Netherlands,2.6,2.7 b,2.7,2.8,2.9,2.8,2.8,2.8,2.8,2.9 b,2.9,2.9
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Norway,2.9,2.8,3.0,3.0,2.9,2.7,2.5,2.3,2.4,2.4 b,2.2,2.2
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Poland,4.9,5.0,5.2,5.3,5.7,5.9,5.9,5.9 b,5.5,5.2 b,5.2,5.3
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Portugal,2.7,2.7,3.0,3.1,3.1,3.3,3.5,3.3,3.2,3.5 b,3.8,3.8
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Romania,4.5,4.8,5.3,5.6,5.8,5.9,6.4,6.5,6.3,6.8 b,6.8,7.0
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Serbia,3.8,4.1,3.5 b,3.4,3.5,4.0,4.5,5.0,4.8,5.3 b,5.9,5.5
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Sweden,4.5,4.4,4.3,4.4,4.4,4.3,4.4 b,4.2,4.2,4.4 b,4.5,4.7
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Slovenia,7.8,8.3,8.6,9.4,9.6,9.8,10.2,10.3,10.4,8.8 b,8.8,8.6
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Slovakia,10.2,9.8,9.4,10.6,10.8,11.2,11.3,10.9,11.2,11.9 b,11.3,10.3
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,Türkiye,3.0,3.1,3.2 b,3.3,3.3,3.3,3.5,3.6,4.0,4.0 b,4.0,4.2
Annual,Percentage of total employment,Total,High and medium high-technology manufacturing,United Kingdom,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.7,:,:,:,:
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Austria,36.7,37.6,37.9,38.3,38.0,38.9,38.6,38.8,39.4,40.2 b,39.8,40.6
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,27.6 b,27.4,28.0
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Belgium,47.6,46.7,47.5,47.6,48.2,48.8 b,48.2,47.9,50.0,51.4 b,50.3,50.1
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Bulgaria,29.9,30.4,30.7,31.2,31.0,30.1,30.7,30.8 b,31.7,32.1 b,31.7,32.3
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Switzerland,42.2,42.8,43.8,44.7,45.3,46.0,46.4,47.2,47.9,46.5 b,45.3,46.1
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Cyprus,36.1,38.3,39.9,38.6,38.9,38.9,39.7,39.0,40.3,42.2 b,42.2,43.1
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Czechia,32.0,32.6,32.6,32.0,32.9,33.3,33.3,33.5,34.5,35.9 b,35.6,36.3
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Germany,40.5 b,39.6,39.7,40.0,40.4,40.4,40.7,41.1,42.5 b,42.2 b,42.5,43.3
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Denmark,49.7,49.9,50.0,49.0,49.1 b,48.4 b,48.5,48.7,49.2,49.4 b,49.1,49.8 b
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Euro area – 20 countries (from 2023),39.5,39.4,39.9,40.0,40.1,40.1,40.3,40.6,41.7,42.1 b,42.1,42.5
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Estonia,35.0,35.5,36.1,34.8,34.9,34.9,35.7,36.7,37.2,38.4 b,38.5,39.7
