Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2010.0,2015.0
Annual,Percentage,From 15 to 24 years,Females,Austria,22.4,46.8
Annual,Percentage,From 15 to 24 years,Females,Belgium,27.3,48.9
Annual,Percentage,From 15 to 24 years,Females,Bulgaria,28.2,28.8 u
Annual,Percentage,From 15 to 24 years,Females,Cyprus,34.5 u,33.3
Annual,Percentage,From 15 to 24 years,Females,Czechia,25.9 u,48.4 u
Annual,Percentage,From 15 to 24 years,Females,Germany,15.8,22.5
Annual,Percentage,From 15 to 24 years,Females,Denmark,13.8,27.4
Annual,Percentage,From 15 to 24 years,Females,Estonia,29.2 u,30.2
Annual,Percentage,From 15 to 24 years,Females,Greece,21.9 u,31.3 u
Annual,Percentage,From 15 to 24 years,Females,Spain,24.2,23.5
Annual,Percentage,From 15 to 24 years,Females,European Union - 27 countries (from 2020),18.8,31.6
Annual,Percentage,From 15 to 24 years,Females,European Union - 28 countries (2013-2020),21.4,32.9
Annual,Percentage,From 15 to 24 years,Females,Finland,37.8,48.0 u
Annual,Percentage,From 15 to 24 years,Females,France,9.8,34.3
Annual,Percentage,From 15 to 24 years,Females,Croatia,32.9 u,43.0 u
Annual,Percentage,From 15 to 24 years,Females,Hungary,18.9 u,25.7 u
Annual,Percentage,From 15 to 24 years,Females,Ireland,12.7,50.6
Annual,Percentage,From 15 to 24 years,Females,Italy,7.2,30.8 u
Annual,Percentage,From 15 to 24 years,Females,Lithuania,17.3 u,25.9
Annual,Percentage,From 15 to 24 years,Females,Luxembourg,27.1,42.7 u
Annual,Percentage,From 15 to 24 years,Females,Latvia,16.6 u,48.6 u
Annual,Percentage,From 15 to 24 years,Females,Malta,35.5,52.1
Annual,Percentage,From 15 to 24 years,Females,Netherlands,24.3,30.5
Annual,Percentage,From 15 to 24 years,Females,Poland,25.1,51.0
Annual,Percentage,From 15 to 24 years,Females,Portugal,16.5 u,21.4 u
Annual,Percentage,From 15 to 24 years,Females,Romania,16.1 u,7.5 u
Annual,Percentage,From 15 to 24 years,Females,Sweden,40.0 u,37.1
Annual,Percentage,From 15 to 24 years,Females,Slovenia,31.5,65.2 u
Annual,Percentage,From 15 to 24 years,Females,Slovakia,22.1 u,34.1 u
Annual,Percentage,From 15 to 24 years,Females,United Kingdom,32.3,37.5
Annual,Percentage,From 15 to 24 years,Males,Austria,26.0,60.5
Annual,Percentage,From 15 to 24 years,Males,Belgium,22.1,33.4
