Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Average,Spain,:,1.5,1.7,1.8,1.9,1.9,1.9 b,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,2.0
Annual,Average,Noroeste,:,1.5,1.9,1.9,2.0,2.0,2.0 b,2.0,2.0,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2
Annual,Average,Galicia,:,1.5,1.8,1.9,2.0,2.0,2.0 b,2.0,2.0,2.1,2.1,2.1,2.2,2.2,2.1,2.2,2.2,2.2,2.2,2.2,2.2
Annual,Average,Principado de Asturias,:,1.6,1.9,1.9,2.0,2.0,2.0 b,2.1,2.0,2.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2
Annual,Average,Cantabria,:,1.6,1.8,1.9,1.9,1.9,2.0 b,2.0,2.0,2.0,2.0,2.0,2.0,1.8,2.0,2.1,2.2,2.1,2.1,2.1,2.1
Annual,Average,Noreste,:,1.6,1.8,1.9,1.9,2.0,2.0 b,2.0,2.0,2.1,2.0,2.1,2.0,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0
Annual,Average,País Vasco,:,1.5,1.8,1.9,1.9,1.9,1.9 b,2.0,2.0,2.1,2.0,2.0,2.0,2.1,2.0,2.0,2.0,1.9,2.0,2.0,2.0
Annual,Average,Comunidad Foral de Navarra,:,1.6,1.9,2.0,2.0,2.0,2.0 b,2.0,2.0,2.1,2.0,1.9,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0
Annual,Average,La Rioja,:,1.6,1.9,1.9,2.0,2.0,1.9 b,2.0,2.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Annual,Average,Aragón,:,1.6,1.9,1.9,1.9,2.0,2.1 b,2.1,2.0,2.1,2.1,2.1,2.0,2.1,2.1,2.1,2.0,2.0,2.0,2.1,2.1
Annual,Average,Comunidad de Madrid,:,1.4,1.6,1.7,1.7,1.8,1.8 b,1.8,1.8,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.8,1.7,1.9,1.9,1.8
Annual,Average,Comunidad de Madrid,:,1.4,1.6,1.7,1.7,1.8,1.8 b,1.8,1.8,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.8,1.7,1.9,1.9,1.8
Annual,Average,Centro (ES),:,1.6,1.9,2.0,2.0,2.0,2.0 b,2.1,2.0,2.1,2.0,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.2,2.2,2.2
Annual,Average,Castilla y León,:,1.7,2.0,2.0,2.1,2.1,2.1 b,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.2,2.2,2.3,2.3,2.3,2.3
Annual,Average,Castilla-La Mancha,:,1.6,1.9,2.0,2.0,2.0,2.0 b,2.0,1.9,1.9,1.9,2.0,2.0,2.0,2.0,2.1,2.1,2.0,2.1,2.1,2.1
Annual,Average,Extremadura,:,1.7,1.8,2.0,2.0,1.9,2.0 b,2.1,2.0,2.0,2.0,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.2,2.2,2.2
