Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2009.0,2012.0,2015.0,2018.0
Annual,"Index, 2006=100",Albania,100.0,101.2,101.5,102.0,102.5
Annual,"Index, 2006=100",Austria,100.0,100.9,101.7,101.9,102.9
Annual,"Index, 2006=100",Bosnia and Herzegovina,100.0,100.4,101.0,101.9,102.7
Annual,"Index, 2006=100",Belgium,100.0,100.8,101.5,101.9,102.7
Annual,"Index, 2006=100",Bulgaria,100.0,101.2,101.7,102.3,103.0
Annual,"Index, 2006=100",Switzerland,100.0,101.7,102.3,102.5,102.9
Annual,"Index, 2006=100",Cyprus,100.0,102.4,104.5,107.9,111.1
Annual,"Index, 2006=100",Czechia,100.0,100.9,102.0,102.3,103.0
Annual,"Index, 2006=100",Germany,100.0,100.9,101.7,102.1,102.7
Annual,"Index, 2006=100",Denmark,100.0,100.9,101.5,101.8,103.0
Annual,"Index, 2006=100",Estonia,100.0,100.6,101.6,102.2,102.4
Annual,"Index, 2006=100",Greece,100.0,100.6,101.2,101.6,102.4
Annual,"Index, 2006=100",Spain,100.0,101.3,103.6,104.2,104.9
Annual,"Index, 2006=100",European Union - 27 countries (from 2020),100.0,101.0,102.1,102.6,103.4
Annual,"Index, 2006=100",Finland,100.0,100.9,101.3,101.7,102.6
Annual,"Index, 2006=100",France,100.0,100.9,102.3,102.8,103.5
Annual,"Index, 2006=100",Croatia,100.0,100.5,101.4,101.9,103.1
Annual,"Index, 2006=100",Hungary,100.0,101.1,102.0,102.7,103.4
Annual,"Index, 2006=100",Ireland,100.0,100.9,102.0,102.1,104.4
Annual,"Index, 2006=100",Iceland,100.0,101.5,104.0,105.1,106.8
Annual,"Index, 2006=100",Italy,100.0,100.8,101.6,101.9,102.4
Annual,"Index, 2006=100",Liechtenstein,100.0,101.4,101.5,101.5,102.0
Annual,"Index, 2006=100",Lithuania,100.0,100.4,100.9,101.3,101.6
Annual,"Index, 2006=100",Luxembourg,100.0,101.0,103.3,103.6,104.4
Annual,"Index, 2006=100",Latvia,100.0,100.2,100.8,101.5,101.7
Annual,"Index, 2006=100",Montenegro,100.0,100.1,100.2,100.3,101.2
Annual,"Index, 2006=100",North Macedonia,100.0,101.3,102.2,103.1,103.7
Annual,"Index, 2006=100",Malta,100.0,100.3,100.4,100.4,104.6
Annual,"Index, 2006=100",Netherlands,100.0,101.3,102.4,102.6,103.9
Annual,"Index, 2006=100",Norway,100.0,100.8,101.4,102.0,103.3
Annual,"Index, 2006=100",Poland,100.0,102.1,103.1,104.6,105.4
Annual,"Index, 2006=100",Portugal,100.0,100.7,101.8,102.6,103.2
Annual,"Index, 2006=100",Romania,100.0,101.4,102.3,103.2,103.9
Annual,"Index, 2006=100",Serbia,100.0,100.6,101.0,101.7,102.4
Annual,"Index, 2006=100",Sweden,100.0,100.6,101.2,101.4,102.5
Annual,"Index, 2006=100",Slovenia,100.0,100.7,102.0,102.1,103.1
Annual,"Index, 2006=100",Slovakia,100.0,101.9,103.2,104.1,104.8
Annual,"Index, 2006=100",Türkiye,100.0,102.2,103.6,107.3,108.7
Annual,"Index, 2006=100",Kosovo*,100.0,101.8,102.4,106.3,108.4
Annual,Square kilometre,Albania,338.0,342.0,343.0,345.0,347.0
Annual,Square kilometre,Austria,2539.0,2562.0,2583.0,2588.0,2613.0
Annual,Square kilometre,Bosnia and Herzegovina,570.0,572.0,576.0,580.0,585.0
Annual,Square kilometre,Belgium,2772.0,2795.0,2813.0,2824.0,2846.0
Annual,Square kilometre,Bulgaria,1655.0,1675.0,1683.0,1693.0,1705.0
Annual,Square kilometre,Switzerland,1706.0,1735.0,1745.0,1748.0,1755.0
Annual,Square kilometre,Cyprus,357.0,365.0,373.0,385.0,396.0
Annual,Square kilometre,Czechia,2624.0,2647.0,2676.0,2683.0,2702.0
Annual,Square kilometre,Germany,19911.0,20085.0,20253.0,20331.0,20456.0
Annual,Square kilometre,Denmark,1881.0,1899.0,1911.0,1915.0,1938.0
Annual,Square kilometre,Estonia,505.0,508.0,513.0,516.0,517.0
Annual,Square kilometre,Greece,2339.0,2353.0,2366.0,2376.0,2395.0
Annual,Square kilometre,Spain,9000.0,9116.0,9328.0,9382.0,9440.0
Annual,Square kilometre,European Union - 27 countries (from 2020),107097.0,108185.0,109341.0,109908.0,110702.0
Annual,Square kilometre,Finland,2465.0,2488.0,2497.0,2506.0,2529.0
Annual,Square kilometre,France,19268.0,19441.0,19710.0,19812.0,19937.0
Annual,Square kilometre,Croatia,989.0,994.0,1003.0,1008.0,1020.0
Annual,Square kilometre,Hungary,2480.0,2509.0,2529.0,2548.0,2564.0
Annual,Square kilometre,Ireland,1280.0,1292.0,1306.0,1308.0,1337.0
Annual,Square kilometre,Iceland,136.0,138.0,141.0,143.0,145.0
Annual,Square kilometre,Italy,12666.0,12761.0,12873.0,12900.0,12972.0
Annual,Square kilometre,Liechtenstein,10.0,10.0,10.0,10.0,10.0
Annual,Square kilometre,Lithuania,918.0,922.0,927.0,931.0,933.0
Annual,Square kilometre,Luxembourg,152.0,153.0,157.0,157.0,159.0
Annual,Square kilometre,Latvia,679.0,681.0,685.0,689.0,691.0
Annual,Square kilometre,Montenegro,92.0,92.0,92.0,92.0,93.0
Annual,Square kilometre,North Macedonia,278.0,282.0,284.0,287.0,289.0
