Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Females,Algeria,:,:,:,:,:,:,5.5 d,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Females,Egypt,18.9,:,:,:,20.9,:,24.6,:,25.5,:,26.7,:,:,31.5,:,29.1,:
Annual,Rate,Females,Israel,20.1,20.4,20.6,20.4,20.8,21.2,21.0,20.9,19.4,19.7,20.2,20.2,19.5,18.6,19.5,18.8,19.1
Annual,Rate,Females,Morocco,:,:,9.2 e,:,:,:,:,:,:,4.8 de,:,:,:,:,1.7 de,:,:
Annual,Rate,Females,Palestine*,:,:,:,:,26.4 e,26.2 e,26.2 e,:,:,:,:,:,29.7 e,:,:,:,:
Annual,Rate,Males,Algeria,:,:,:,:,:,:,5.4 d,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Males,Egypt,20.2,:,:,:,22.2,:,25.8,:,27.1,:,28.8,:,:,33.5,:,30.4,:
Annual,Rate,Males,Israel,19.5,20.9,19.8,19.8,21.1,21.2,19.8,19.9,18.0,19.6,19.7,18.4,18.8,18.1,18.6,18.5,17.3
Annual,Rate,Males,Morocco,:,:,8.7 e,:,:,:,:,:,:,4.8 de,:,:,:,:,1.7 de,:,:
Annual,Rate,Males,Palestine*,:,:,:,:,26.1 e,25.3 e,25.5 e,:,:,:,:,:,28.8 e,:,:,:,:
Annual,Rate,Total,Algeria,:,:,:,:,:,:,5.5 d,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Total,Egypt,19.6 d,:,:,:,21.6 d,:,25.2 d,:,26.3 d,:,27.8,:,:,32.5,:,29.7,:
Annual,Rate,Total,Israel,19.8,20.6,20.2,20.1,21.0,21.2,20.4,20.4,18.7,19.7,19.9,19.3,19.1,18.3,19.0,18.6,18.2
Annual,Rate,Total,Jordan,:,13.0,:,13.3,:,14.4,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Total,Libya,:,:,:,27.9,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Total,Morocco,:,:,8.9 e,:,:,:,:,:,:,4.8 de,:,:,:,:,1.7 de,:,:
Annual,Rate,Total,Palestine*,:,:,:,:,26.2 e,25.7 e,25.8 e,:,:,:,:,:,29.2 e,:,:,:,:
Annual,Rate,Total,Tunisia,23.1,:,:,:,:,20.5,:,:,:,:,15.2,:,:,:,:,:,16.6
