Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0
Annual,Percentage,Austria,:,22.0,20.0,22.0,21.0,21.0,20.0,20.0,:,17 b,18.0,18.0,20.0
Annual,Percentage,Belgium,13.0,12.0,10.0,10.0,9.0,11.0,13.0,12.0,:,:,6 b,7.0,7 p
Annual,Percentage,Bulgaria,:,:,:,:,:,:,:,22.0,21.0,18.0,16.0,15.0,14.0
Annual,Percentage,Switzerland,24.0,:,23.0,:,22.0,:,21.0,:,21.0,:,19.0,:,19.0
Annual,Percentage,Cyprus,33.0,29.0,28.0,27.0,26.0,27.0,26.0,26.0,25.0,25.0,25.0,25.0,24 p
Annual,Percentage,Czechia,:,:,21.0,21.0,25.0,22.0,22.0,20.0,19.0,19.0,19.0,19.0,18.0
Annual,Percentage,Germany,21.0,21.0,21.0,21.0,22.0,19.0,21.0,21.0,22 b,23.0,23.0,22.0,22.0
Annual,Percentage,Denmark,11.0,15.0,15.0,13.0,12.0,14.0,15.0,15.0,18 b,18.0,17.0,18.0,17.0
Annual,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",15 e,15 e,15 e,15 e,15 e,14 e,15 e,15 e,15 e,15 e,14 e,14 e,:
Annual,Percentage,Euro area - 11 countries (1999-2000),15 e,15 e,15 e,15 e,15 e,14 e,15 e,15 e,15 e,15 e,14 e,14 e,:
Annual,Percentage,Euro area - 12 countries (2001-2006),15 e,15 e,15 e,15 e,15 e,14 e,15 e,15 e,15 e,15 e,14 e,14 e,:
Annual,Percentage,Euro area - 13 countries (2007),15 e,15 e,15 e,15 e,15 e,14 e,15 e,15 e,15 e,15 e,14 e,14 e,:
Annual,Percentage,Estonia,29.0,27.0,27.0,28.0,26.0,26.0,25.0,24.0,24.0,24.0,24.0,25.0,:
Annual,Percentage,Greece,13.0,17.0,15.0,13.0,12.0,13.0,15.0,18.0,17.0,11 b,10.0,9 p,10.0
Annual,Percentage,Spain,10.0,13.0,14.0,14.0,16.0,14.0,15.0,17.0,21 b,18.0,15.0,13 p,13.0
Annual,Percentage,European Union - 15 countries (1995-2004),17 e,17 e,16 e,16 e,16 e,15 e,16 e,16 e,16 e,16 e,15 e,15 e,:
Annual,Percentage,European Union - 25 countries (2004-2006),17 e,17 e,17 e,16 e,17 e,16 e,16 e,16 e,16 e,15 e,15 e,15 e,15 e
Annual,Percentage,European Union - 27 countries (2007-2013),17 e,17 e,17 e,16 e,17 e,16 e,16 e,16 e,16 e,15 e,15 e,15 e,15 e
Annual,Percentage,Finland,:,:,17.0,18.0,19.0,19.0,17.0,17.0,20 b,20.0,20.0,20.0,20.0
Annual,Percentage,France,13.0,13.0,13.0,12.0,12.0,12.0,13.0,14.0,13.0,12 b,12.0,12.0,11 p
Annual,Percentage,Croatia,:,:,:,:,:,:,:,:,:,11.0,11.0,11.0,:
Annual,Percentage,Hungary,:,22.0,23.0,24.0,23.0,21.0,21.0,20.0,16.0,12.0,14.0,11.0,11.0
Annual,Percentage,Ireland,19.0,20.0,21.0,19.0,20.0,22.0,19.0,17.0,:,14 b,11 p,9 p,9.0
Annual,Percentage,Italy,8.0,8.0,8.0,7.0,7.0,8.0,6.0,6.0,:,:,7 p,9.0,:
Annual,Percentage,Lithuania,:,27.0,22.0,23.0,22.0,16.0,16.0,16.0,16.0,17.0,16.0,15.0,16.0
Annual,Percentage,Luxembourg,20.0,19.0,19.0,19.0,18.0,17.0,15.0,16.0,17.0,15.0,14.0,14.0,14.0
Annual,Percentage,Latvia,:,:,:,:,20.0,20.0,20.0,16.0,16.0,16.0,14 b,16.0,16.0
Annual,Percentage,Malta,:,:,:,:,:,:,11.0,9.0,6.0,4.0,4.0,4.0,3.0
Annual,Percentage,Netherlands,23.0,23.0,23.0,22.0,21.0,21.0,21.0,19.0,19.0,18.0,19.0,18.0,:
Annual,Percentage,Norway,:,:,:,16.0,16.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0
Annual,Percentage,Poland,:,:,:,:,:,15.0,:,12.0,11.0,11.0,10.0,10.0,12.0
Annual,Percentage,Portugal,10.0,5.0,6.0,7.0,6.0,5.0,8.0,10.0,8.0,9.0,5 b,9.0,8 p
Annual,Percentage,Romania,21.0,21.0,24.0,24.0,20.0,17.0,17.0,18.0,17.0,18.0,14 b,13.0,10.0
Annual,Percentage,Sweden,16.0,15.0,17.0,17.0,18.0,17.0,18.0,18.0,17.0,16.0,17.0,16.0,16.0
Annual,Percentage,Slovenia,:,14.0,15.0,14.0,11.0,14.0,12.0,11.0,9.0,7 p,8 p,8 p,8 p
Annual,Percentage,Slovakia,:,:,:,:,:,23.0,22.0,23.0,27.0,23.0,24.0,24.0,22.0
Annual,Percentage,United Kingdom,28.0,26.0,24.0,21.0,24.0,22.0,21.0,21.0,23 b,22.0,22.0,16.0,21.0
