Time frequency,Classification of activities for time use,Reason,Level of activity limitation,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Albania,21.4
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Austria,0.0 n
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Belgium,8.1
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Bulgaria,6.7
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Switzerland,5.3 u
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Cyprus,5.8
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Czechia,3.5
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Germany,: u
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Denmark,6.7
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Estonia,3.0
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Greece,12.3
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Spain,12.0
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Finland,2.4
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,France,11.8
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Croatia,2.1
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Hungary,10.8
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Ireland,7.8
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Italy,7.9
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Lithuania,7.2
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Luxembourg,6.6
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Latvia,5.2
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Montenegro,5.3
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Malta,4.2
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Netherlands,5.9
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Norway,3.5
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Poland,4.0 u
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Portugal,8.7
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Romania,7.2
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Serbia,7.9
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Sweden,3.7
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Slovenia,4.0
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Slovakia,3.6
Annual,Cinema,Financial reasons,Total,Total,16 years or over,Percentage,Türkiye,12.7
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Albania,22.2
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Austria,0.0 n
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Belgium,10.7
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Bulgaria,9.7
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Switzerland,6.7 u
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Cyprus,9.3
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Czechia,3.7
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Germany,: u
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Denmark,8.5
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Estonia,7.9
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Greece,16.3
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Spain,16.3
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Finland,2.7
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,France,10.6
