Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Percentage,Albania,40.4,:,:
Annual,Percentage,Austria,18.6,19.0,22.8
Annual,Percentage,Ostösterreich,20.6,20.7,27.2
Annual,Percentage,Burgenland,13.3,10.9,16.7
Annual,Percentage,Niederösterreich,15.4,14.3,20.1
Annual,Percentage,Wien,26.3,27.9,34.9
Annual,Percentage,Südösterreich,17.7,17.9,20.0
Annual,Percentage,Kärnten,18.3,16.4,22.5
Annual,Percentage,Steiermark,17.4,18.5,19.0
Annual,Percentage,Westösterreich,16.6,17.6,19.0
Annual,Percentage,Oberösterreich,11.6,13.1,18.7
Annual,Percentage,Salzburg,23.0,22.2,22.0
Annual,Percentage,Tirol,17.3,23.5,19.5
Annual,Percentage,Vorarlberg,25.1,17.1,15.4
Annual,Percentage,Belgium,22.3,22.7,21.5
Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,35.7,39.1,38.3
Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,35.7,39.1,38.3
Annual,Percentage,Vlaams Gewest,14.0,13.6,12.3
Annual,Percentage,Prov. Antwerpen,22.0,20.5,18.0
Annual,Percentage,Prov. Limburg (BE),12.3,11.2,9.5
Annual,Percentage,Prov. Oost-Vlaanderen,10.9,11.2,11.5
Annual,Percentage,Prov. Vlaams-Brabant,9.5,10.4,9.3
Annual,Percentage,Prov. West-Vlaanderen,11.2,10.5,9.4
Annual,Percentage,Région wallonne,32.9,34.0,32.6
Annual,Percentage,Prov. Brabant wallon,26.3,27.4,25.8
Annual,Percentage,Prov. Hainaut,41.2,42.7,41.2
Annual,Percentage,Prov. Liège,29.1,30.0,28.0
Annual,Percentage,Prov. Luxembourg (BE),27.8,27.2,28.1
Annual,Percentage,Prov. Namur,27.1,28.5,28.0
Annual,Percentage,Bulgaria,36.4,42.4,46.7
Annual,Percentage,Severna i Yugoiztochna Bulgaria,40.5,47.2,52.4
Annual,Percentage,Severozapaden,38.8,42.0,48.7
Annual,Percentage,Severen tsentralen,43.3,54.1,53.2
Annual,Percentage,Severoiztochen,34.7,42.3,55.6
Annual,Percentage,Yugoiztochen,44.7,50.2,51.7
Annual,Percentage,Yugozapadna i Yuzhna tsentralna Bulgaria,32.3,37.7,41.3
Annual,Percentage,Yugozapaden,25.9,29.8,33.7
Annual,Percentage,Yuzhen tsentralen,41.8,49.3,53.2
Annual,Percentage,Switzerland,18.9,18.5,18.8
Annual,Percentage,Région lémanique,29.2,27.9,26.9
Annual,Percentage,Espace Mittelland,19.2,20.1,20.5
Annual,Percentage,Nordwestschweiz,18.4,21.9,18.4
Annual,Percentage,Zürich,15.4,12.8,12.9
Annual,Percentage,Ostschweiz,12.0,11.8,13.6
Annual,Percentage,Zentralschweiz,10.7,9.3,13.7
Annual,Percentage,Ticino,29.5,23.6,29.9
Annual,Percentage,Cyprus,43.4,39.7,37.6
Annual,Percentage,Czechia,18.1,17.5,19.7
Annual,Percentage,Praha,14.4,13.7,14.0
Annual,Percentage,Střední Čechy,14.8,15.2,17.6
Annual,Percentage,Jihozápad,14.0,15.0,16.9
Annual,Percentage,Severozápad,28.4,25.9,26.0
Annual,Percentage,Severovýchod,19.4,17.1,25.0
Annual,Percentage,Jihovýchod,15.2,15.5,17.7
Annual,Percentage,Střední Morava,19.5,20.0,17.2
Annual,Percentage,Moravskoslezsko,21.3,20.4,24.2
Annual,Percentage,Germany,32.3,33.9,35.0
Annual,Percentage,Baden-Württemberg,29.6,31.8,33.7
Annual,Percentage,Stuttgart,29.0,31.5,34.4
Annual,Percentage,Karlsruhe,30.9,31.2,32.1
Annual,Percentage,Freiburg,28.2,33.4,35.8
Annual,Percentage,Tübingen,31.0,31.6,32.1
Annual,Percentage,Bayern,24.6,23.8,23.4
Annual,Percentage,Oberbayern,22.4,22.5,22.4
Annual,Percentage,Niederbayern,24.0,24.1,20.5
Annual,Percentage,Oberpfalz,24.9,20.5,15.2
Annual,Percentage,Oberfranken,27.3,24.6,23.6
Annual,Percentage,Mittelfranken,26.9,25.7,29.2
Annual,Percentage,Unterfranken,29.5,27.2,27.9
Annual,Percentage,Schwaben,23.4,24.2,24.1
Annual,Percentage,Berlin,32.4,29.5,33.6
Annual,Percentage,Berlin,32.4,29.5,33.6
Annual,Percentage,Brandenburg,31.5,32.2,33.3
Annual,Percentage,Brandenburg,31.5,32.2,33.3
Annual,Percentage,Bremen,48.4,51.7,52.3
Annual,Percentage,Bremen,48.4,51.7,52.3
Annual,Percentage,Hamburg,29.9,36.0,39.6
Annual,Percentage,Hamburg,29.9,36.0,39.6
Annual,Percentage,Hessen,37.7,39.2,36.1
Annual,Percentage,Darmstadt,38.3,38.3,34.2
Annual,Percentage,Gießen,32.1,37.2,36.3
Annual,Percentage,Kassel,40.6,43.7,42.3
Annual,Percentage,Mecklenburg-Vorpommern,39.3,42.8,42.8
Annual,Percentage,Mecklenburg-Vorpommern,39.3,42.8,42.8
Annual,Percentage,Niedersachsen,36.0,39.3,39.9
Annual,Percentage,Braunschweig,41.0,41.8,42.8
Annual,Percentage,Hannover,36.1,40.6,40.9
Annual,Percentage,Lüneburg,32.7,35.0,34.1
Annual,Percentage,Weser-Ems,35.1,39.7,41.3
Annual,Percentage,Nordrhein-Westfalen,37.3,38.7,40.7
Annual,Percentage,Düsseldorf,40.8,41.3,42.6
Annual,Percentage,Köln,34.1,35.2,39.4
Annual,Percentage,Münster,35.0,37.6,43.1
Annual,Percentage,Detmold,36.5,34.4,35.6
Annual,Percentage,Arnsberg,38.2,42.6,40.8
