Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Austria,17.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Belgium,23.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Bulgaria,9.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Cyprus,22.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Czechia,16.8 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Germany,22.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Denmark,28.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Estonia,33.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Greece,18.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Spain,13.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,European Union (aggregate changing according to the context),20.7 e
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Finland,31.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,France,16.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Croatia,10.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Hungary,48.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Ireland,31.0 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Lithuania,28.8 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Luxembourg,28.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Latvia,22.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Montenegro,8.6 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Malta,15.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Netherlands,15.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Poland,14.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Portugal,12.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Romania,49.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Serbia,15.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Sweden,35.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Slovenia,: u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Slovakia,39.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Kosovo*,8.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Austria,21.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Belgium,19.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Bulgaria,10.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Cyprus,29.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Czechia,15.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Germany,18.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Denmark,28.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Estonia,28.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Greece,22.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Spain,18.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,European Union (aggregate changing according to the context),20.8 e
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Finland,40.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,France,19.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Croatia,15.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Hungary,44.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Ireland,23.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Lithuania,19.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Luxembourg,31.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Latvia,18.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Montenegro,7.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Malta,18.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Netherlands,20.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Poland,11.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Portugal,10.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Romania,38.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Serbia,10.8
