Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,ICT manufacturing,Austria,-3.4,12.35,-6.0,0.57,: @C,:,1.97,4.04,11.64 b,-0.87,-14.66,12.85 b
Annual,ICT manufacturing,Bosnia and Herzegovina,:,:,:,:,:,87.16 be,-0.81 be,: @C,:,:,:,:
Annual,ICT manufacturing,Belgium,-17.7,-44.38,-0.67,0.69,9.62,-18.58,8.47,0.46,1.36 b,5.4,-8.77 p,7.88 b
Annual,ICT manufacturing,Bulgaria,44.74,-6.95,2.29,15.11,15.71,10.02,3.65,13.86,6.08 b,-34.99,4.95,-7.58 b
Annual,ICT manufacturing,Switzerland,:,:,:,:,:,:,:,:,:,:,:,: be
Annual,ICT manufacturing,Cyprus,:,:,:,:,:,:,:,:,:,:,:,: b@C
Annual,ICT manufacturing,Czechia,15.89,-9.1,15.82,8.57,-2.0,-14.01,4.3,-8.86,7.34,-14.0,17.68,-0.59 b
Annual,ICT manufacturing,Germany,18.07,-7.35,-16.64,5.0,7.76,10.86,-0.17,-5.36,6.33 b,-6.07 p,-10.16 p,10.94 bp
Annual,ICT manufacturing,Denmark,-0.92,-5.28,: @C,:,:,:,:,:,:,11.46,2.51,-12.53 b
Annual,ICT manufacturing,Estonia,23.59,43.72,-24.37,1.44,-0.32,-18.21,-1.53,1.21,9.34 b,1.59,: @C,: b@C
Annual,ICT manufacturing,Greece,:,:,40.24,-19.6,1.29,-22.17,46.88,-32.57,27.59 b,-27.91,31.43 p,1.4 bp
Annual,ICT manufacturing,Spain,3.43,-28.72,-6.03,-3.51,5.18,: @C,:,:,:,: @C,:,: b@C
Annual,ICT manufacturing,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,:,: b@C
Annual,ICT manufacturing,Finland,11.87,-54.92,-118.93,: @C,:,:,: @C,:,-60.03,-34.3,279.52,: b@C
Annual,ICT manufacturing,France,9.88,4.01,2.05,: @C,:,2.8 b,8.22,-13.67 b,76.89,10.79 p,-7.53 p,-44.56 bp
