Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,From 15 to 29 years,Total,Albania,:,:,54.9,50.7,48.2,43.2,44.4,:,:
Annual,Percentage,From 15 to 29 years,Total,Austria,20.1,22.5,20.8,19.8,19.7,18.0,18.2,19.3,19.2
Annual,Percentage,From 15 to 29 years,Total,Belgium,24.5,24.1,23.9,22.6,20.0 b,20.0,18.3,19.7,18.7
Annual,Percentage,From 15 to 29 years,Total,Bulgaria,41.1,41.3 b,37.1,31.5,31.1,32.3,31.8,32.4,32.5
Annual,Percentage,From 15 to 29 years,Total,Switzerland,16.0,16.3,15.6,16.1,18.3,16.8,15.8,19.6,17.7
Annual,Percentage,From 15 to 29 years,Total,Cyprus,25.1,23.0,21.1,18.3,16.8,16.0,15.7,15.7,14.2
Annual,Percentage,From 15 to 29 years,Total,Czechia,13.7,12.3,11.7,10.8,10.5,10.7,10.6,10.5,12.8
Annual,Percentage,From 15 to 29 years,Total,Germany,24.3,24.1,23.9,23.3,21.3,27.2 b,26.6,26.7,27.4
Annual,Percentage,From 15 to 29 years,Total,Denmark,34.2,36.9,35.5,34.5,33.0,31.0 b,31.5,29.3,28.8
Annual,Percentage,From 15 to 29 years,Total,Estonia,19.6,17.9,19.3,19.0,18.8,19.0,17.4,19.8,21.6
Annual,Percentage,From 15 to 29 years,Total,Greece,40.9,43.0,41.6,37.1,36.1,33.1,35.4,30.7,30.0
Annual,Percentage,From 15 to 29 years,Total,Spain,36.7,36.6,34.4,33.3,31.3,28.6,31.3,28.0,28.0
Annual,Percentage,From 15 to 29 years,Total,European Union - 27 countries (from 2020),28.1,28.3,26.7,25.5,24.3,25.3 b,25.3,24.5,24.5
Annual,Percentage,From 15 to 29 years,Total,Finland,24.9,24.1,23.5,24.2,22.9 b,21.9,20.4,26.7 b,27.5
Annual,Percentage,From 15 to 29 years,Total,France,22.3,25.2,22.5,21.7,22.9,25.3 b,24.2,23.9 b,23.3
Annual,Percentage,From 15 to 29 years,Total,Croatia,22.6,22.7,21.5,18.1,16.7,14.8,16.2,14.2,15.4 b
Annual,Percentage,From 15 to 29 years,Total,Hungary,32.6,30.9,26.6,21.9,19.7,18.0,20.3,17.1,19.5
Annual,Percentage,From 15 to 29 years,Total,Ireland,31.0,28.0,27.8,19.7,20.3 b,21.2 b,20.2,17.9,16.9
Annual,Percentage,From 15 to 29 years,Total,Iceland,15.8,14.6,17.2,13.2,12.4,:,:,:,:
Annual,Percentage,From 15 to 29 years,Total,Italy,33.3,32.7,30.9,31.2,28.4,29.9,30.2,26.9,26.6
Annual,Percentage,From 15 to 29 years,Total,Lithuania,25.9,28.4,29.0,24.0,19.1,21.4,21.1,18.9,18.2
Annual,Percentage,From 15 to 29 years,Total,Luxembourg,22.6,26.3 b,23.6,24.8,27.9,30.4 b,24.1 b,24.2 b,32.2
Annual,Percentage,From 15 to 29 years,Total,Latvia,25.6,21.0,21.3,21.5,18.0,18.9,19.6,20.7,21.6
Annual,Percentage,From 15 to 29 years,Total,Montenegro,43.7,44.1,44.0,42.5,38.4,39.0,40.2,37.8,:
Annual,Percentage,From 15 to 29 years,Total,North Macedonia,38.5,37.3,35.8,36.0,33.8,32.6,:,:,:
Annual,Percentage,From 15 to 29 years,Total,Malta,17.9,16.6,15.8,13.0,15.1,14.8,14.0,11.0,14.6
Annual,Percentage,From 15 to 29 years,Total,Netherlands,24.6,24.4 b,25.2,24.0,22.6,21.0,20.9,21.2,20.8
Annual,Percentage,From 15 to 29 years,Total,Norway,29.6,28.7,31.5,32.8,30.8,30.8,31.8 b,29.7,28.7 b
Annual,Percentage,From 15 to 29 years,Total,Poland,24.4,23.1,19.4,19.9,19.2,18.0,17.6,16.7,17.1
Annual,Percentage,From 15 to 29 years,Total,Portugal,28.9,26.9,26.3,23.7,23.0,18.6,22.2,21.1,22.2
Annual,Percentage,From 15 to 29 years,Total,Romania,47.7,48.3,45.9,39.8,37.2,37.6,35.9,37.9,34.6
Annual,Percentage,From 15 to 29 years,Total,Serbia,40.4,35.2,38.5,33.9,30.8,29.9,30.5,26.0,:
Annual,Percentage,From 15 to 29 years,Total,Sweden,27.8,27.1,26.7,26.1,25.5,27.5,27.3,27.0,26.8
Annual,Percentage,From 15 to 29 years,Total,Slovenia,19.0,18.2,15.5,14.1,12.3,12.2,11.5,10.7,11.0
Annual,Percentage,From 15 to 29 years,Total,Slovakia,16.3,17.2,16.5,16.2,14.9,12.8,15.7,19.1,17.2
Annual,Percentage,From 15 to 29 years,Total,Türkiye,28.5,28.4,33.1,33.2,34.0,36.3,36.5,34.4,31.1
Annual,Percentage,From 15 to 29 years,Total,United Kingdom,28.1,24.2,25.1 b,25.0,:,:,:,:,:
