Time frequency,n_person,unit,geo\TIME_PERIOD,1991.0
Annual,1.0,PER,AT,893529.0
Annual,1.0,PER,BE,1123671.0
Annual,1.0,PER,CH,920330.0
Annual,1.0,PER,DE,11858000.0
Annual,1.0,PER,DK,781873.0
Annual,1.0,PER,EA,28572795.0
Annual,1.0,PER,EL,520261.0
Annual,1.0,PER,ES,1581307.0
Annual,1.0,PER,EU15,37379041.0
Annual,1.0,PER,FI,646229.0
Annual,1.0,PER,FR,5845140.0
Annual,1.0,PER,FR9,72836.0
Annual,1.0,PER,IE,207564.0
Annual,1.0,PER,IT,4099970.0
Annual,1.0,PER,LI,2939.0
Annual,1.0,PER,LU,36852.0
Annual,1.0,PER,NL,1845000.0
Annual,1.0,PER,NO,601097.0
Annual,1.0,PER,PT,435533.0
Annual,1.0,PER,SE,1515654.0
Annual,1.0,PER,UK,5988458.0
Annual,2.0,PER,AT,837116.0
Annual,2.0,PER,BE,1169387.0
Annual,2.0,PER,CH,899754.0
Annual,2.0,PER,DE,10863000.0
Annual,2.0,PER,DK,748995.0
Annual,2.0,PER,EA,30591240.0
Annual,2.0,PER,EL,854863.0
Annual,2.0,PER,ES,2754017.0
Annual,2.0,PER,EU15,40867080.0
Annual,2.0,PER,FI,597928.0
Annual,2.0,PER,FR,6368948.0
Annual,2.0,PER,FR9,76548.0
Annual,2.0,PER,IE,218524.0
Annual,2.0,PER,IT,4920050.0
Annual,2.0,PER,LI,2570.0
Annual,2.0,PER,LU,40895.0
Annual,2.0,PER,NL,2024000.0
Annual,2.0,PER,NO,459790.0
Annual,2.0,PER,PT,797375.0
Annual,2.0,PER,SE,1189601.0
Annual,2.0,PER,UK,7482381.0
Annual,3.0,PER,AT,533437.0
Annual,3.0,PER,BE,736438.0
Annual,3.0,PER,CH,424241.0
Annual,3.0,PER,DE,6014000.0
Annual,3.0,PER,DK,338963.0
Annual,3.0,PER,EA,20081569.0
Annual,3.0,PER,EL,657343.0
Annual,3.0,PER,ES,2437772.0
Annual,3.0,PER,EU15,25224346.0
Annual,3.0,PER,FI,332295.0
Annual,3.0,PER,FR,3821700.0
Annual,3.0,PER,FR9,74519.0
Annual,3.0,PER,IE,157840.0
Annual,3.0,PER,IT,4410961.0
Annual,3.0,PER,LI,1747.0
Annual,3.0,PER,LU,28431.0
Annual,3.0,PER,NL,861000.0
Annual,3.0,PER,NO,265885.0
Annual,3.0,PER,PT,747695.0
Annual,3.0,PER,SE,471182.0
Annual,3.0,PER,UK,3675289.0
Annual,4.0,PER,AT,449915.0
Annual,4.0,PER,BE,599835.0
Annual,4.0,PER,CH,413171.0
Annual,4.0,PER,DE,4737000.0
Annual,4.0,PER,DK,295711.0
Annual,4.0,PER,EA,18290712.0
Annual,4.0,PER,EL,746728.0
Annual,4.0,PER,ES,2728736.0
Annual,4.0,PER,EU15,23285098.0
Annual,4.0,PER,FI,300429.0
Annual,4.0,PER,FR,3371484.0
Annual,4.0,PER,FR9,74632.0
Annual,4.0,PER,IE,170894.0
Annual,4.0,PER,IT,4228722.0
Annual,4.0,PER,LI,2002.0
Annual,4.0,PER,LU,24984.0
Annual,4.0,PER,NL,997000.0
Annual,4.0,PER,NO,280066.0
Annual,4.0,PER,PT,681713.0
Annual,4.0,PER,SE,452957.0
Annual,4.0,PER,UK,3498990.0
Annual,5.0,PER,AT,179839.0
Annual,5.0,PER,BE,222373.0
Annual,5.0,PER,CH,136743.0
Annual,5.0,PER,DE,1325000.0
Annual,5.0,PER,DK,82826.0
Annual,5.0,PER,EA,6998680.0
Annual,5.0,PER,EL,273217.0
Annual,5.0,PER,ES,1401133.0
Annual,5.0,PER,EU15,8761467.0
Annual,5.0,PER,FI,112714.0
Annual,5.0,PER,FR,1439144.0
Annual,5.0,PER,FR9,49469.0
Annual,5.0,PER,IE,130881.0
Annual,5.0,PER,IT,1576409.0
Annual,5.0,PER,LI,935.0
Annual,5.0,PER,LU,9231.0
Annual,5.0,PER,NL,326000.0
Annual,5.0,PER,NO,111609.0
Annual,5.0,PER,PT,275956.0
Annual,5.0,PER,SE,157478.0
Annual,5.0,PER,UK,1249266.0
Annual,6.0,PER,AT,71402.0
Annual,6.0,PER,BE,67233.0
Annual,6.0,PER,CH,34254.0
Annual,6.0,PER,DE,312000.0
Annual,6.0,PER,DK,18319.0
Annual,6.0,PER,EA,2257120.0
Annual,6.0,PER,EL,109675.0
Annual,6.0,PER,ES,602423.0
Annual,6.0,PER,EU15,2794751.0
Annual,6.0,PER,FI,30596.0
Annual,6.0,PER,FR,423992.0
Annual,6.0,PER,FR9,27268.0
Annual,6.0,PER,IE,77187.0
Annual,6.0,PER,IT,474343.0
Annual,6.0,PER,LI,252.0
Annual,6.0,PER,LU,3032.0
Annual,6.0,PER,NL,79000.0
Annual,6.0,PER,NO,24694.0
Annual,6.0,PER,PT,115912.0
Annual,6.0,PER,SE,33400.0
Annual,6.0,PER,UK,376237.0
Annual,GE7,PER,AT,47768.0
Annual,GE7,PER,BE,34188.0
Annual,GE7,PER,CH,13357.0
Annual,GE7,PER,DE,137000.0
Annual,GE7,PER,DK,7596.0
Annual,GE7,PER,EA,1240471.0
Annual,GE7,PER,EL,41747.0
Annual,GE7,PER,ES,346687.0
Annual,GE7,PER,EU15,1451300.0
Annual,GE7,PER,FI,16541.0
Annual,GE7,PER,FR,271744.0
Annual,GE7,PER,FR9,34880.0
Annual,GE7,PER,IE,66184.0
Annual,GE7,PER,IT,198548.0
Annual,GE7,PER,LI,111.0
Annual,GE7,PER,LU,1261.0
Annual,GE7,PER,NL,29000.0
Annual,GE7,PER,NO,8221.0
Annual,GE7,PER,PT,91550.0
Annual,GE7,PER,SE,9763.0
Annual,GE7,PER,UK,151723.0
Annual,TOTAL,PER,AT,3013006.0
Annual,TOTAL,PER,BE,3953125.0
Annual,TOTAL,PER,CH,2841850.0
Annual,TOTAL,PER,DE,35246000.0
Annual,TOTAL,PER,DK,2274283.0
Annual,TOTAL,PER,EA,108033587.0
Annual,TOTAL,PER,EL,3203834.0
Annual,TOTAL,PER,ES,11852075.0
Annual,TOTAL,PER,EU15,139764083.0
Annual,TOTAL,PER,FI,2036732.0
Annual,TOTAL,PER,FR,21542152.0
Annual,TOTAL,PER,FR9,410152.0
Annual,TOTAL,PER,IE,1029074.0
Annual,TOTAL,PER,IT,19909003.0
Annual,TOTAL,PER,LI,10556.0
Annual,TOTAL,PER,LU,144686.0
Annual,TOTAL,PER,NL,6162000.0
Annual,TOTAL,PER,NO,1751363.0
Annual,TOTAL,PER,PT,3145734.0
Annual,TOTAL,PER,SE,3830035.0
Annual,TOTAL,PER,UK,22422344.0
