Time frequency,Crops,Structure of production,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Albania,:,3.9,4.0,4.2,4.3,4.3,4.4,4.40 p,4.2,4.3,4.4,:
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Austria,6.97,6.76,6.62,6.67,6.67,6.74,6.59,6.43,6.35,6.3,6.25,6.15
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,14.67 b,14.82 p,:
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Belgium,7.06,7.07,6.87,6.49,6.16,5.99,5.79,5.48,5.35,5.23,4.9,4.48 p
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Bulgaria,4.81,3.95,4.77,4.11 d,3.97,3.98,4.14,3.56,3.78,3.72,3.56,4.1
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Switzerland,:,3.86 e,3.86,3.85,3.81,3.79,3.74,3.66,3.69,3.69,3.65,:
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Cyprus,0.63,0.61,0.61,0.53,0.37,0.37,0.37,0.41,0.41,0.43,0.40 p,0.39 e
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Czechia,8.98,8.96,8.31,7.49,7.35,7.25,7.32,7.19,7.11,7.01,6.45,6.5
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Germany,31.74,31.74,31.74,31.74,33.98,33.98,33.98,33.98,33.98,33.11,33.11,:
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Denmark,1.38,1.38,1.39,1.35,1.28,1.42,1.39,1.38,1.4,1.41,1.45,1.45
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Estonia,0.9,0.9,0.6,0.51,0.48,0.6,0.57,0.62,0.73,0.71,0.75,:
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Greece,12.95,12.26,11.85,10.04,9.6,10.35,9.82,14.38,10.28,10.65,9.75,14.0
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Spain,30.79,30.73,30.72,30.87,30.55,29.93,29.64,29.49,29.45,29.25,28.41,28.41 p
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),European Union - 27 countries (from 2020),516.35,508.5,522.5,505.66,504.61,506.27,491.08,489.19,492.56,478.01,471.88,:
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Finland,0.59,0.6,0.63,0.62,0.63,0.63,0.65,0.67,0.62,0.62,0.66,0.66 e
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),France,50.68,50.17,49.65,49.65,50.31,50.54,50.37,54.71 b,54.21,54.02,53.8,39.25 d
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Croatia,5.38,5.94,5.76,5.89,4.84,4.73,4.95,4.36,4.39,3.65,3.65,3.70 e
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Hungary,33.36,33.26,32.8,32.49,32.17,31.84,30.97,25.97,25.02,23.82,22.79,22.3
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Ireland,0.62,0.64,0.64,0.7,0.7,0.71,0.71,0.71,0.71,0.71,0.71,0.71 e
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Iceland,0.0,0.0,0.0,0.0,0.0,0.00 n,0.00 n,0.00 n,0.00 n,0.0,0.00 n,0.00 n
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Italy,53.01,52.0,52.16,56.16,57.26,57.44,55.0,54.91,54.47,53.73,54.08,54.04
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Lithuania,11.67,11.27,10.68,9.7,9.82,10.13,10.18,10.5,10.18,9.88,9.03,10.0
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Luxembourg,0.24,0.24,0.26,0.26,0.27,0.27,0.27,0.08 b,0.1,0.1,0.1,0.11
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Latvia,2.8,2.7,2.4,2.4,3.3,3.2,3.44,3.5,3.2,3.06,3.3,3.3
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Montenegro,0.17,0.13,0.14,0.15 p,0.21 p,0.21 p,0.22 p,0.22 p,0.22 p,0.23 p,0.22 p,:
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Malta,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Netherlands,7.91,7.85,7.6,7.3,7.0,6.6,6.42,6.2,5.97,5.9,5.5,:
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Norway,1.4,1.4,1.37,1.37,1.38,1.45,1.49,1.54,1.6,1.6,1.6,:
Annual,Apples,Area (cultivation/harvested/production) (1000 ha),Poland,162.4,163.1,180.4,164.76,162.53,166.15,155.62,152.6,161.9,151.9,150.0,148.0
