Time frequency,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,First quintile,Percentage,Albania,47.9
Annual,First quintile,Percentage,Austria,13.7
Annual,First quintile,Percentage,Belgium,9.1
Annual,First quintile,Percentage,Bulgaria,44.2
Annual,First quintile,Percentage,Switzerland,21.9
Annual,First quintile,Percentage,Cyprus,13.1
Annual,First quintile,Percentage,Czechia,3.8
Annual,First quintile,Percentage,Germany,6.4 u
Annual,First quintile,Percentage,Denmark,13.9
Annual,First quintile,Percentage,Estonia,5.7
Annual,First quintile,Percentage,Greece,61.9
Annual,First quintile,Percentage,Spain,17.7
Annual,First quintile,Percentage,European Union - 27 countries (from 2020),15.0 e
Annual,First quintile,Percentage,Finland,23.8
Annual,First quintile,Percentage,France,12.2
Annual,First quintile,Percentage,Croatia,22.4
Annual,First quintile,Percentage,Hungary,16.1
Annual,First quintile,Percentage,Ireland,15.3
Annual,First quintile,Percentage,Lithuania,8.6
Annual,First quintile,Percentage,Luxembourg,12.0
Annual,First quintile,Percentage,Latvia,9.1
Annual,First quintile,Percentage,Montenegro,44.3
Annual,First quintile,Percentage,North Macedonia,54.0
Annual,First quintile,Percentage,Malta,6.4
Annual,First quintile,Percentage,Netherlands,8.6
Annual,First quintile,Percentage,Norway,11.0
Annual,First quintile,Percentage,Poland,7.5
Annual,First quintile,Percentage,Portugal,6.0
Annual,First quintile,Percentage,Romania,26.1
Annual,First quintile,Percentage,Serbia,37.4
Annual,First quintile,Percentage,Sweden,17.0
Annual,First quintile,Percentage,Slovenia,12.1
Annual,First quintile,Percentage,Slovakia,21.2
Annual,Second quintile,Percentage,Albania,24.1
Annual,Second quintile,Percentage,Austria,6.1
Annual,Second quintile,Percentage,Belgium,4.4
Annual,Second quintile,Percentage,Bulgaria,24.9
Annual,Second quintile,Percentage,Switzerland,16.5
Annual,Second quintile,Percentage,Cyprus,8.0
Annual,Second quintile,Percentage,Czechia,1.3
Annual,Second quintile,Percentage,Germany,2.7 u
Annual,Second quintile,Percentage,Denmark,8.3
Annual,Second quintile,Percentage,Estonia,4.0
Annual,Second quintile,Percentage,Greece,32.8
Annual,Second quintile,Percentage,Spain,8.2
Annual,Second quintile,Percentage,European Union - 27 countries (from 2020),8.4 e
Annual,Second quintile,Percentage,Finland,15.2
Annual,Second quintile,Percentage,France,6.4
Annual,Second quintile,Percentage,Croatia,15.5
Annual,Second quintile,Percentage,Hungary,10.8
Annual,Second quintile,Percentage,Ireland,9.9
Annual,Second quintile,Percentage,Lithuania,7.7
Annual,Second quintile,Percentage,Luxembourg,6.3
Annual,Second quintile,Percentage,Latvia,6.4
Annual,Second quintile,Percentage,Montenegro,27.4
Annual,Second quintile,Percentage,North Macedonia,36.0
Annual,Second quintile,Percentage,Malta,3.2
Annual,Second quintile,Percentage,Netherlands,3.0
Annual,Second quintile,Percentage,Norway,4.2
Annual,Second quintile,Percentage,Poland,4.4
Annual,Second quintile,Percentage,Portugal,3.3
Annual,Second quintile,Percentage,Romania,24.3
Annual,Second quintile,Percentage,Serbia,33.8
Annual,Second quintile,Percentage,Sweden,11.1
Annual,Second quintile,Percentage,Slovenia,8.2
Annual,Second quintile,Percentage,Slovakia,4.6
Annual,Third quintile,Percentage,Albania,20.5
Annual,Third quintile,Percentage,Austria,3.2
Annual,Third quintile,Percentage,Belgium,2.7
Annual,Third quintile,Percentage,Bulgaria,18.3
Annual,Third quintile,Percentage,Switzerland,15.2
Annual,Third quintile,Percentage,Cyprus,6.8
Annual,Third quintile,Percentage,Czechia,1.4
Annual,Third quintile,Percentage,Germany,2.9 u
Annual,Third quintile,Percentage,Denmark,4.4
Annual,Third quintile,Percentage,Estonia,2.7
Annual,Third quintile,Percentage,Greece,22.3
Annual,Third quintile,Percentage,Spain,5.5
Annual,Third quintile,Percentage,European Union - 27 countries (from 2020),5.5 e
Annual,Third quintile,Percentage,Finland,12.4
Annual,Third quintile,Percentage,France,3.5
Annual,Third quintile,Percentage,Croatia,11.2
Annual,Third quintile,Percentage,Hungary,6.1
Annual,Third quintile,Percentage,Ireland,5.9
Annual,Third quintile,Percentage,Lithuania,5.0
Annual,Third quintile,Percentage,Luxembourg,1.2
Annual,Third quintile,Percentage,Latvia,4.4
Annual,Third quintile,Percentage,Montenegro,23.9
Annual,Third quintile,Percentage,North Macedonia,19.7
