Time frequency,Unit of measure,Size classes in number of employees,Age class,Geopolitical entity (reporting)\Time,2006.0,2010.0,2014.0,2018.0,2022.0
Annual,Percentage,10 employees or more,Total,Romania,26.85,25.82,24.4,20.01,23.87
Annual,Percentage,10 employees or more,Total,Serbia,:,:,22.91,17.81,21.89
Annual,Percentage,10 employees or more,Total,Sweden,1.77,2.51,2.64,3.61,4.05
Annual,Percentage,10 employees or more,Total,Slovenia,19.24,17.14,18.47,16.52,9.38
Annual,Percentage,10 employees or more,Total,Slovakia,18.3,19.03,19.21,16.01,13.36
Annual,Percentage,10 employees or more,Total,Türkiye,0.24,0.4,0.46,0.81,:
Annual,Percentage,10 employees or more,Total,United Kingdom,21.77,22.06,21.26,16.98,:
Annual,Percentage,10 employees or more,From 30 to 49 years,Albania,:,:,:,22.66,15.18
Annual,Percentage,10 employees or more,From 30 to 49 years,Austria,10.92,11.86,11.71,12.21,11.17
Annual,Percentage,10 employees or more,From 30 to 49 years,Bosnia and Herzegovina,:,:,:,:,16.79
Annual,Percentage,10 employees or more,From 30 to 49 years,Belgium,5.51,4.69,2.04,10.26,14.33
Annual,Percentage,10 employees or more,From 30 to 49 years,Bulgaria,18.89,21.43,18.04,20.86,26.08
Annual,Percentage,10 employees or more,From 30 to 49 years,Switzerland,:,8.94,7.98,8.39,8.43
Annual,Percentage,10 employees or more,From 30 to 49 years,Cyprus,16.85,18.64,15.14,14.58,14.7
Annual,Percentage,10 employees or more,From 30 to 49 years,Czechia,15.44,16.58,16.97,13.51,12.19
Annual,Percentage,10 employees or more,From 30 to 49 years,Germany,16.11,17.97,18.04,16.47,14.32
Annual,Percentage,10 employees or more,From 30 to 49 years,Denmark,4.69,4.32,3.81,3.46,4.06
Annual,Percentage,10 employees or more,From 30 to 49 years,Euro area - 17 countries (2011-2013),11.24,11.91,12.4,11.68,:
Annual,Percentage,10 employees or more,From 30 to 49 years,Euro area - 18 countries (2014),:,:,:,11.73,:
Annual,Percentage,10 employees or more,From 30 to 49 years,Euro area - 19 countries  (2015-2022),:,:,12.58,11.8,:
Annual,Percentage,10 employees or more,From 30 to 49 years,Estonia,19.56,19.13,17.52,16.42,15.09
Annual,Percentage,10 employees or more,From 30 to 49 years,Greece,11.57,9.68,19.07,16.75,21.0
Annual,Percentage,10 employees or more,From 30 to 49 years,Spain,11.62,13.63,13.68,13.36,12.6
Annual,Percentage,10 employees or more,From 30 to 49 years,European Union - 27 countries (2007-2013),13.22,13.48,13.78,12.33,:
Annual,Percentage,10 employees or more,From 30 to 49 years,European Union - 27 countries (from 2020),13.01,13.31,13.67,12.51,:
Annual,Percentage,10 employees or more,From 30 to 49 years,European Union - 28 countries (2013-2020),:,13.59,13.77,:,:
Annual,Percentage,10 employees or more,From 30 to 49 years,Finland,3.58,4.2,3.77,3.82,4.85
Annual,Percentage,10 employees or more,From 30 to 49 years,France,5.97,5.0,7.41,7.33,8.67
Annual,Percentage,10 employees or more,From 30 to 49 years,Croatia,:,21.64,22.41,16.49,16.28
Annual,Percentage,10 employees or more,From 30 to 49 years,Hungary,21.97,19.15,17.21,10.19,12.38
Annual,Percentage,10 employees or more,From 30 to 49 years,Ireland,14.54,17.43,19.01,14.73,14.05
Annual,Percentage,10 employees or more,From 30 to 49 years,Iceland,6.0,6.46,5.06,6.89,2.53
Annual,Percentage,10 employees or more,From 30 to 49 years,Italy,9.71,11.6,9.37,8.34,8.77
Annual,Percentage,10 employees or more,From 30 to 49 years,Lithuania,28.95,26.29,21.97,18.85,13.49
Annual,Percentage,10 employees or more,From 30 to 49 years,Luxembourg,10.94,10.96,9.79,9.69,11.88
Annual,Percentage,10 employees or more,From 30 to 49 years,Latvia,29.81,26.93,23.38,19.2,16.98
Annual,Percentage,10 employees or more,From 30 to 49 years,Montenegro,:,:,26.98,:,:
Annual,Percentage,10 employees or more,From 30 to 49 years,North Macedonia,:,30.22,26.55,16.74,:
Annual,Percentage,10 employees or more,From 30 to 49 years,Malta,9.79,12.46,11.38,12.96,14.93
Annual,Percentage,10 employees or more,From 30 to 49 years,Netherlands,7.35,7.66,7.56,7.1,6.03
Annual,Percentage,10 employees or more,From 30 to 49 years,Norway,2.21,2.32,2.93,4.17,:
Annual,Percentage,10 employees or more,From 30 to 49 years,Poland,21.86,21.77,21.41,20.19,17.42
Annual,Percentage,10 employees or more,From 30 to 49 years,Portugal,18.75,14.22,10.73,3.35,1.7
Annual,Percentage,10 employees or more,From 30 to 49 years,Romania,26.38,25.86,24.33,20.03,22.62
Annual,Percentage,10 employees or more,From 30 to 49 years,Serbia,:,:,23.33,17.28,19.61
Annual,Percentage,10 employees or more,From 30 to 49 years,Sweden,0.63,1.02,1.08,1.98,2.35
Annual,Percentage,10 employees or more,From 30 to 49 years,Slovenia,18.07,16.38,17.74,15.52,9.13
Annual,Percentage,10 employees or more,From 30 to 49 years,Slovakia,17.42,18.0,17.61,14.01,11.59
Annual,Percentage,10 employees or more,From 30 to 49 years,Türkiye,0.19,0.3,0.2,0.71,:
Annual,Percentage,10 employees or more,From 30 to 49 years,United Kingdom,14.32,14.68,14.75,11.55,:
Annual,Percentage,10 employees or more,50 years or over,Albania,:,:,:,19.83,17.29
Annual,Percentage,10 employees or more,50 years or over,Austria,11.18,12.52,11.31,11.13,11.71
Annual,Percentage,10 employees or more,50 years or over,Bosnia and Herzegovina,:,:,:,:,14.48
Annual,Percentage,10 employees or more,50 years or over,Belgium,4.94,2.99,1.12,4.79,1.72
Annual,Percentage,10 employees or more,50 years or over,Bulgaria,9.14,19.94,16.61,20.7,27.0
Annual,Percentage,10 employees or more,50 years or over,Switzerland,:,7.76,5.87,7.41,7.64
Annual,Percentage,10 employees or more,50 years or over,Cyprus,16.89,16.96,13.63,13.68,18.97
Annual,Percentage,10 employees or more,50 years or over,Czechia,17.98,19.09,19.77,18.3,16.4
Annual,Percentage,10 employees or more,50 years or over,Germany,18.68,20.78,22.59,20.44,18.66
Annual,Percentage,10 employees or more,50 years or over,Denmark,3.0,2.87,2.46,1.93,2.41
Annual,Percentage,10 employees or more,50 years or over,Euro area - 17 countries (2011-2013),11.5,12.43,14.45,13.26,:
Annual,Percentage,10 employees or more,50 years or over,Euro area - 18 countries (2014),:,:,:,13.4,:
Annual,Percentage,10 employees or more,50 years or over,Euro area - 19 countries  (2015-2022),:,:,14.74,13.56,:
Annual,Percentage,10 employees or more,50 years or over,Estonia,31.88,31.23,30.2,29.98,29.32
Annual,Percentage,10 employees or more,50 years or over,Greece,6.04,5.79,12.11,9.84,14.28
Annual,Percentage,10 employees or more,50 years or over,Spain,9.84,11.03,11.67,12.17,11.83
Annual,Percentage,10 employees or more,50 years or over,European Union - 27 countries (2007-2013),13.73,14.24,15.28,14.0,:
Annual,Percentage,10 employees or more,50 years or over,European Union - 27 countries (from 2020),12.45,13.41,14.78,13.85,:
Annual,Percentage,10 employees or more,50 years or over,European Union - 28 countries (2013-2020),:,14.32,15.34,:,:
Annual,Percentage,10 employees or more,50 years or over,Finland,3.77,4.66,3.95,3.85,4.77
Annual,Percentage,10 employees or more,50 years or over,France,5.68,4.74,7.24,7.42,7.78
Annual,Percentage,10 employees or more,50 years or over,Croatia,:,14.24,19.18,18.46,19.23
Annual,Percentage,10 employees or more,50 years or over,Hungary,16.68,18.44,17.22,13.78,18.16
Annual,Percentage,10 employees or more,50 years or over,Ireland,19.23,17.4,22.59,17.05,16.54
Annual,Percentage,10 employees or more,50 years or over,Iceland,5.25,5.36,2.97,4.27,1.48
Annual,Percentage,10 employees or more,50 years or over,Italy,6.12,9.1,6.94,6.55,7.03
Annual,Percentage,10 employees or more,50 years or over,Lithuania,28.84,28.32,26.23,26.86,24.5
Annual,Percentage,10 employees or more,50 years or over,Luxembourg,9.13,9.24,9.23,9.16,11.63
Annual,Percentage,10 employees or more,50 years or over,Latvia,33.28,28.64,28.52,30.52,31.72
Annual,Percentage,10 employees or more,50 years or over,Montenegro,:,:,18.54,:,:
Annual,Percentage,10 employees or more,50 years or over,North Macedonia,:,21.17,19.09,13.32,:
Annual,Percentage,10 employees or more,50 years or over,Malta,11.0,16.42,15.14,15.27,15.99
Annual,Percentage,10 employees or more,50 years or over,Netherlands,7.1,7.81,7.64,7.52,6.74
Annual,Percentage,10 employees or more,50 years or over,Norway,1.65,1.26,1.48,2.6,:
Annual,Percentage,10 employees or more,50 years or over,Poland,21.1,23.76,22.48,22.99,20.48
Annual,Percentage,10 employees or more,50 years or over,Portugal,13.94,12.83,11.03,3.78,1.8
Annual,Percentage,10 employees or more,50 years or over,Romania,17.25,20.68,20.0,18.32,24.5
Annual,Percentage,10 employees or more,50 years or over,Serbia,:,:,17.45,16.7,24.33
Annual,Percentage,10 employees or more,50 years or over,Sweden,0.45,0.73,0.7,1.05,1.52
Annual,Percentage,10 employees or more,50 years or over,Slovenia,16.87,14.34,16.32,14.55,6.36
Annual,Percentage,10 employees or more,50 years or over,Slovakia,18.73,19.75,20.53,18.98,16.07
Annual,Percentage,10 employees or more,50 years or over,Türkiye,0.15,0.92,0.9,0.94,:
Annual,Percentage,10 employees or more,50 years or over,United Kingdom,19.63,18.31,18.08,15.08,:
Annual,Percentage,10 employees or more,Less than 30 years,Albania,:,:,:,26.71,18.05
Annual,Percentage,10 employees or more,Less than 30 years,Austria,23.63,24.25,24.8,24.5,23.62
Annual,Percentage,10 employees or more,Less than 30 years,Bosnia and Herzegovina,:,:,:,:,25.0
Annual,Percentage,10 employees or more,Less than 30 years,Belgium,12.42,15.3,12.86,35.53,46.02
Annual,Percentage,10 employees or more,Less than 30 years,Bulgaria,35.27,27.66,22.04,25.23,29.26
Annual,Percentage,10 employees or more,Less than 30 years,Switzerland,:,21.24,17.77,16.01,16.32
Annual,Percentage,10 employees or more,Less than 30 years,Cyprus,42.83,37.72,36.18,38.72,35.79
Annual,Percentage,10 employees or more,Less than 30 years,Czechia,19.49,21.11,21.75,14.55,13.76
Annual,Percentage,10 employees or more,Less than 30 years,Germany,37.66,38.14,35.01,32.98,32.71
Annual,Percentage,10 employees or more,Less than 30 years,Denmark,21.96,24.59,25.84,25.32,25.81
Annual,Percentage,10 employees or more,Less than 30 years,Euro area - 17 countries (2011-2013),27.04,27.94,28.87,28.21,:
Annual,Percentage,10 employees or more,Less than 30 years,Euro area - 18 countries (2014),:,:,:,28.14,:
Annual,Percentage,10 employees or more,Less than 30 years,Euro area - 19 countries  (2015-2022),:,:,28.77,28.07,:
Annual,Percentage,10 employees or more,Less than 30 years,Estonia,17.67,21.32,20.11,18.62,18.63
Annual,Percentage,10 employees or more,Less than 30 years,Greece,39.04,35.73,55.4,47.3,42.9
Annual,Percentage,10 employees or more,Less than 30 years,Spain,20.29,23.28,25.53,24.58,20.35
Annual,Percentage,10 employees or more,Less than 30 years,European Union - 27 countries (2007-2013),30.16,30.54,30.21,27.04,:
Annual,Percentage,10 employees or more,Less than 30 years,European Union - 27 countries (from 2020),27.85,27.46,27.91,26.17,:
Annual,Percentage,10 employees or more,Less than 30 years,European Union - 28 countries (2013-2020),:,30.49,30.14,:,:
Annual,Percentage,10 employees or more,Less than 30 years,Finland,10.04,13.18,12.58,10.74,14.94
Annual,Percentage,10 employees or more,Less than 30 years,France,13.52,12.39,16.67,15.85,16.13
Annual,Percentage,10 employees or more,Less than 30 years,Croatia,:,30.92,34.18,24.83,24.69
Annual,Percentage,10 employees or more,Less than 30 years,Hungary,29.74,22.78,20.61,12.05,13.58
Annual,Percentage,10 employees or more,Less than 30 years,Ireland,36.09,39.4,34.12,33.92,33.93
Annual,Percentage,10 employees or more,Less than 30 years,Iceland,27.47,22.08,19.89,25.82,9.87
Annual,Percentage,10 employees or more,Less than 30 years,Italy,21.16,24.95,19.86,15.94,14.63
Annual,Percentage,10 employees or more,Less than 30 years,Lithuania,30.0,28.03,24.78,21.72,15.35
Annual,Percentage,10 employees or more,Less than 30 years,Luxembourg,22.56,22.74,21.68,19.1,23.51
Annual,Percentage,10 employees or more,Less than 30 years,Latvia,29.77,28.59,24.41,19.46,19.44
Annual,Percentage,10 employees or more,Less than 30 years,Montenegro,:,:,43.35,:,:
Annual,Percentage,10 employees or more,Less than 30 years,North Macedonia,:,37.57,34.27,19.53,:
Annual,Percentage,10 employees or more,Less than 30 years,Malta,23.66,26.35,21.01,20.39,17.91
Annual,Percentage,10 employees or more,Less than 30 years,Netherlands,43.51,44.05,46.46,45.73,41.01
Annual,Percentage,10 employees or more,Less than 30 years,Norway,23.03,26.19,28.37,25.32,:
Annual,Percentage,10 employees or more,Less than 30 years,Poland,36.31,31.3,31.93,25.59,22.07
Annual,Percentage,10 employees or more,Less than 30 years,Portugal,31.48,24.96,18.24,6.25,1.92
Annual,Percentage,10 employees or more,Less than 30 years,Romania,38.74,32.97,31.67,23.73,27.58
Annual,Percentage,10 employees or more,Less than 30 years,Serbia,:,:,31.85,22.08,24.81
Annual,Percentage,10 employees or more,Less than 30 years,Sweden,7.19,9.49,9.49,11.0,11.95
Annual,Percentage,10 employees or more,Less than 30 years,Slovenia,26.21,24.33,26.77,24.17,16.4
Annual,Percentage,10 employees or more,Less than 30 years,Slovakia,20.16,20.87,21.87,16.38,13.16
Annual,Percentage,10 employees or more,Less than 30 years,Türkiye,0.32,0.48,0.81,1.01,:
Annual,Percentage,10 employees or more,Less than 30 years,United Kingdom,38.35,40.61,37.76,30.03,:
