Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,"Index, 2015=100",Wholesale and retail trade and repair of motor vehicles and motorcycles,Armenia,82.2 d,114.7 d,159.9 d,177.9 d,87.7 d,101.6 d,108.8 d,121.0 d,106.7 d,110.9 d,100.0 d,122.5 d,140.9 d,164.5 d,174.9,130.1,148.2 d,212.4
Annual,"Index, 2015=100",Wholesale and retail trade and repair of motor vehicles and motorcycles,Azerbaijan,18.8 d,23.4 d,27.1 d,33.2 d,34.0 d,35.2 d,40.2 d,49.2 d,74.1 d,93.6 d,100.0 d,89.3 d,80.9 d,85.4 d,113.1 d,107.0 d,109.0 d,126.1 d
Annual,"Index, 2015=100",Wholesale and retail trade and repair of motor vehicles and motorcycles,Moldova,:,:,:,:,:,:,:,:,:,110.5 d,100.0 d,120.6 d,158.0 d,169.0 d,213.7 d,175.0 d,251.9 d,301.7 d
Annual,"Index, 2015=100","Wholesale trade, except of motor vehicles and motorcycles",Armenia,56.2 d,67.7 d,69.8 d,80.4 d,71.1 d,83.1 d,87.7 d,92.4 d,95.4 d,100.5 d,100.0 d,104.6 d,132.1 d,153.9 d,173.0,159.3,175.6,226.0
Annual,"Index, 2015=100","Wholesale trade, except of motor vehicles and motorcycles",Azerbaijan,18.4 d,23.5 d,32.0 d,43.3 d,48.3 d,56.9 d,71.9 d,78.0 d,86.3 d,95.4 d,100.0 d,104.5 d,117.7 d,119.8 d,116.9 d,108.1 d,121.4 d,119.9 d
Annual,"Index, 2015=100","Wholesale trade, except of motor vehicles and motorcycles",Moldova,:,:,:,:,:,:,:,:,:,96.4 d,100.0 d,103.0 d,123.7 d,133.3 d,152.9 d,144.4 d,179.8 d,226.3 d
Annual,"Index, 2015=100","Retail trade, except of motor vehicles and motorcycles",Armenia,85.8 d,94.8 d,104.3 d,108.9 d,109.0 d,109.4 d,111.5 d,114.2 d,115.1 d,114.7 d,100.0 d,97.4 d,102.8 d,104.2 d,112.3,94.9,99.1,101.9
Annual,"Index, 2015=100","Retail trade, except of motor vehicles and motorcycles",Azerbaijan,17.7 d,22.0 d,28.9 d,41.2 d,44.7 d,51.6 d,61.7 d,68.3 d,76.4 d,85.5 d,100.0 d,117.4 d,137.1 d,144.2 d,153.1 d,156.2 d,171.9 d,202.8 d
Annual,"Index, 2015=100","Retail trade, except of motor vehicles and motorcycles",Moldova,:,:,:,:,:,:,:,:,:,94.9 d,100.0 d,101.1 d,108.3 d,121.7 d,144.8 d,151.8 d,184.3 d,226.8 d
Annual,"Index, 2015=100",Transportation and storage,Armenia,102.6 d,118.7 d,125.4 d,141.0 d,127.6 d,130.6 d,126.8 d,135.6 d,115.4 d,124.8 d,100.0 d,117.9 d,135.3 d,150.1 d,163.6,106.0,136.1,183.5
Annual,"Index, 2015=100",Transportation and storage,Azerbaijan,:,:,:,:,:,:,:,:,:,:,100.0,99.6,107.9,116.5,118.0,122.8,142.9,176.9
Annual,"Index, 2015=100",Transportation and storage,Moldova,:,:,:,:,:,:,:,:,:,95.2 d,100.0 d,101.9 d,115.8 d,119.4 d,127.6 d,86.8 d,123.5 d,181.3 d
Annual,"Index, 2015=100",Accommodation and food service activities,Armenia,34.3 d,34.9 d,40.7 d,49.4 d,52.0 d,61.7 d,66.3 d,79.3 d,92.4 d,100.3 d,100.0 d,100.1 d,119.5 d,157.8 d,199.3,115.8,186.4,219.9
Annual,"Index, 2015=100",Accommodation and food service activities,Azerbaijan,:,:,:,:,:,:,:,:,:,:,100.0,100.1,103.5,110.5,121.4,53.5,65.9,90.3
Annual,"Index, 2015=100",Accommodation and food service activities,Moldova,:,:,:,:,:,:,:,:,:,94.6 d,100.0 d,105.7 d,105.1 d,128.9 d,158.6 d,195.6 d,167.5 d,269.0 d
Annual,"Index, 2015=100",Information and communication,Armenia,46.4 d,60.4 d,74.8 d,84.1 d,84.7 d,88.1 d,89.0 d,92.5 d,101.9 d,101.6 d,100.0 d,100.9 d,106.2 d,111.2 d,123.1,130.8,147.0,209.2
Annual,"Index, 2015=100",Information and communication,Azerbaijan,:,:,:,:,:,:,:,:,:,:,100.0,104.7,111.7,122.7,143.8,144.9,154.3,178.1
Annual,"Index, 2015=100",Information and communication,Moldova,:,:,:,:,:,:,:,:,:,87.8 d,100.0 d,100.5 d,106.4 d,119.9 d,121.3 d,126.9 d,151.7 d,175.0 d
Annual,"Index, 2015=100","Professional, scientific and technical activities required by STS regulation",Armenia,:,:,:,86.8 d,95.8 d,112.9 d,105.2 d,95.5 d,100.3 d,98.9 d,100.0 d,97.4 d,102.9 d,116.4 d,125.5,113.0,135.7,171.2
Annual,"Index, 2015=100","Professional, scientific and technical activities required by STS regulation",Azerbaijan,:,:,:,:,:,:,:,:,:,:,100.0,97.5,102.8,113.0,122.6,68.6,74.0,97.2
