Time frequency,Interest rate,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,EMU convergence criterion bond yields,Austria,2.76,2.89,2.85,2.99,3.02,3.04,2.98,2.76,2.69,2.74,2.77,2.62
Monthly,EMU convergence criterion bond yields,Belgium,2.81,2.95,2.91,3.01,3.06,3.12,3.06,2.83,2.79,2.84,2.92,2.8
Monthly,EMU convergence criterion bond yields,Bulgaria,3.94,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93
Monthly,EMU convergence criterion bond yields,Cyprus,3.27,3.32,3.21,3.3,3.31,3.34,3.24,3.02,2.91,2.91,2.94,2.81
Monthly,EMU convergence criterion bond yields,Czechia,3.88,3.76,3.82,4.2,4.16,4.21,3.95,3.78,3.77,3.98,4.1,4.13
Monthly,EMU convergence criterion bond yields,Germany,2.18,2.33,2.35,2.45,2.52,2.48,2.46,2.21,2.17,2.23,2.31,2.18
Monthly,EMU convergence criterion bond yields,Denmark,2.4,2.48,2.39,2.48,2.52,2.52,2.45,2.2,2.11,2.1,2.07,1.91
Monthly,EMU convergence criterion bond yields,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2.83,2.95,2.9,3.02,3.07,3.11,3.06,2.85,2.78,2.81,2.88,2.74
Monthly,EMU convergence criterion bond yields,Estonia,3.31,3.49,3.49,3.64,3.71,3.77,3.8,3.56,3.44,3.41,3.51,3.43
Monthly,EMU convergence criterion bond yields,Greece,3.29,3.45,3.37,3.49,3.55,3.65,3.5,3.31,3.19,3.16,3.19,3.05
Monthly,EMU convergence criterion bond yields,Spain,3.18,3.27,3.19,3.27,3.3,3.35,3.28,3.07,2.99,2.96,3.05,2.89
Monthly,EMU convergence criterion bond yields,European Union - 27 countries (from 2020),3.15,3.26,3.23,3.37,3.4,3.43,3.38,3.17,3.12,3.17,3.24,3.14
Monthly,EMU convergence criterion bond yields,Finland,2.8,2.88,2.85,2.94,3.0,3.05,3.0,2.78,2.72,2.75,2.81,2.65
Monthly,EMU convergence criterion bond yields,France,2.74,2.85,2.82,2.97,3.03,3.15,3.14,2.94,2.9,2.99,3.09,3.01
Monthly,EMU convergence criterion bond yields,Croatia,3.29,3.3,3.29,3.34,3.41,3.38,3.37,3.4,3.33,3.32,3.2,3.09
Monthly,EMU convergence criterion bond yields,Hungary,5.98,6.22,6.49,6.97,6.79,6.8,6.61,6.3,6.22,6.57,6.63,6.44
Monthly,EMU convergence criterion bond yields,Ireland,2.6,2.78,2.75,2.89,2.91,2.93,2.86,2.64,2.55,2.59,2.63,2.49
Monthly,EMU convergence criterion bond yields,Italy,3.81,3.87,3.7,3.86,3.84,3.94,3.83,3.68,3.57,3.5,3.57,3.32
Monthly,EMU convergence criterion bond yields,Lithuania,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88
Monthly,EMU convergence criterion bond yields,Luxembourg,2.61,2.82,2.79,2.9,2.94,2.94,2.9,2.66,2.59,2.65,2.72,2.64
Monthly,EMU convergence criterion bond yields,Latvia,3.38,3.41,3.4,3.47,3.43,3.44,3.39,3.18,3.12,3.1,3.09,3.04
Monthly,EMU convergence criterion bond yields,Malta,3.38,3.48,3.4,3.47,3.53,3.55,3.5,3.38,3.24,3.21,3.25,3.07
Monthly,EMU convergence criterion bond yields,Netherlands,2.51,2.64,2.62,2.72,2.83,2.82,2.77,2.53,2.47,2.53,2.57,2.45
Monthly,EMU convergence criterion bond yields,Poland,5.24,5.36,5.4,5.67,5.67,5.73,5.65,5.28,5.31,5.6,5.66,5.73
Monthly,EMU convergence criterion bond yields,Portugal,2.97,3.06,3.02,3.14,3.16,3.19,3.1,2.88,2.78,2.73,2.79,2.68
Monthly,EMU convergence criterion bond yields,Romania,6.14,6.06,5.96,6.25,6.29,5.99,6.5,6.42,6.42,6.36,6.6,6.81
Monthly,EMU convergence criterion bond yields,Sweden,2.23,2.43,2.4,2.51,2.38,2.26,2.12,1.93,1.93,2.04,2.07,2.1
Monthly,EMU convergence criterion bond yields,Slovenia,3.06,3.22,3.2,3.22,3.23,3.32,3.21,2.99,2.94,2.97,3.06,2.89
Monthly,EMU convergence criterion bond yields,Slovakia,3.39,3.51,3.51,3.68,3.69,3.69,3.59,3.38,3.36,3.33,3.33,3.22
Monthly,EMU convergence criterion bond yields,United Kingdom,3.83,4.06,4.01,4.19,4.22,4.14,4.12,3.93,3.89,4.18,4.43,4.44
