Time frequency,Frequency,Type of violence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Repeated,Physical,Percentage,Austria,3.6
Annual,Repeated,Physical,Percentage,Belgium,3.8
Annual,Repeated,Physical,Percentage,Bulgaria,1.0 u
Annual,Repeated,Physical,Percentage,Cyprus,5.0
Annual,Repeated,Physical,Percentage,Czechia,2.5 u
Annual,Repeated,Physical,Percentage,Germany,3.4
Annual,Repeated,Physical,Percentage,Denmark,4.0 u
Annual,Repeated,Physical,Percentage,Estonia,2.2 u
Annual,Repeated,Physical,Percentage,Greece,4.8
Annual,Repeated,Physical,Percentage,Spain,2.2 u
Annual,Repeated,Physical,Percentage,European Union (aggregate changing according to the context),3.5 e
Annual,Repeated,Physical,Percentage,Finland,4.3
Annual,Repeated,Physical,Percentage,France,4.4 u
Annual,Repeated,Physical,Percentage,Croatia,2.7
Annual,Repeated,Physical,Percentage,Hungary,7.0
Annual,Repeated,Physical,Percentage,Ireland,7.4
Annual,Repeated,Physical,Percentage,Lithuania,2.4
Annual,Repeated,Physical,Percentage,Luxembourg,6.0
Annual,Repeated,Physical,Percentage,Latvia,1.8
Annual,Repeated,Physical,Percentage,Montenegro,: u
Annual,Repeated,Physical,Percentage,Malta,3.1
Annual,Repeated,Physical,Percentage,Netherlands,3.6
Annual,Repeated,Physical,Percentage,Poland,: u
Annual,Repeated,Physical,Percentage,Portugal,2.1
Annual,Repeated,Physical,Percentage,Romania,3.5
Annual,Repeated,Physical,Percentage,Serbia,2.3
Annual,Repeated,Physical,Percentage,Sweden,4.4
Annual,Repeated,Physical,Percentage,Slovenia,2.8 u
Annual,Repeated,Physical,Percentage,Slovakia,: u
Annual,Repeated,Physical,Percentage,Kosovo*,: u
Annual,Repeated,Physical or sexual,Percentage,Austria,6.1
Annual,Repeated,Physical or sexual,Percentage,Belgium,5.4
Annual,Repeated,Physical or sexual,Percentage,Bulgaria,1.1
Annual,Repeated,Physical or sexual,Percentage,Cyprus,7.3
Annual,Repeated,Physical or sexual,Percentage,Czechia,4.0
Annual,Repeated,Physical or sexual,Percentage,Germany,7.3
Annual,Repeated,Physical or sexual,Percentage,Denmark,6.7 u
Annual,Repeated,Physical or sexual,Percentage,Estonia,3.7
Annual,Repeated,Physical or sexual,Percentage,Greece,6.5
Annual,Repeated,Physical or sexual,Percentage,Spain,4.1
Annual,Repeated,Physical or sexual,Percentage,European Union (aggregate changing according to the context),6.3 e
Annual,Repeated,Physical or sexual,Percentage,Finland,7.1
Annual,Repeated,Physical or sexual,Percentage,France,7.2
Annual,Repeated,Physical or sexual,Percentage,Croatia,4.1
Annual,Repeated,Physical or sexual,Percentage,Hungary,8.9
Annual,Repeated,Physical or sexual,Percentage,Ireland,10.4
Annual,Repeated,Physical or sexual,Percentage,Lithuania,3.0
Annual,Repeated,Physical or sexual,Percentage,Luxembourg,10.6
Annual,Repeated,Physical or sexual,Percentage,Latvia,2.3
Annual,Repeated,Physical or sexual,Percentage,Montenegro,: u
Annual,Repeated,Physical or sexual,Percentage,Malta,5.1
Annual,Repeated,Physical or sexual,Percentage,Netherlands,6.1
Annual,Repeated,Physical or sexual,Percentage,Poland,: u
Annual,Repeated,Physical or sexual,Percentage,Portugal,2.9
Annual,Repeated,Physical or sexual,Percentage,Romania,5.6
Annual,Repeated,Physical or sexual,Percentage,Serbia,2.5
Annual,Repeated,Physical or sexual,Percentage,Sweden,11.8
Annual,Repeated,Physical or sexual,Percentage,Slovenia,4.7
Annual,Repeated,Physical or sexual,Percentage,Slovakia,: u
Annual,Repeated,Physical or sexual,Percentage,Kosovo*,: u
Annual,Repeated,Physical (including threats) or sexual,Percentage,Austria,7.2
Annual,Repeated,Physical (including threats) or sexual,Percentage,Belgium,7.4
Annual,Repeated,Physical (including threats) or sexual,Percentage,Bulgaria,2.1
Annual,Repeated,Physical (including threats) or sexual,Percentage,Cyprus,9.8
Annual,Repeated,Physical (including threats) or sexual,Percentage,Czechia,5.3
Annual,Repeated,Physical (including threats) or sexual,Percentage,Germany,8.3
Annual,Repeated,Physical (including threats) or sexual,Percentage,Denmark,9.2 u
Annual,Repeated,Physical (including threats) or sexual,Percentage,Estonia,6.9
