Time frequency,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Females,Percentage,Albania,:,:,53.8,49.1,44.5,41.0,41.3,:,:
Annual,Total,Females,Percentage,Austria,3.1,3.6,3.6,3.0,2.9,2.9,1.8,2.5,4.0
Annual,Total,Females,Percentage,Belgium,7.7,9.4,8.2,7.0,6.4,6.9,6.4,6.1,6.2
Annual,Total,Females,Percentage,Bulgaria,38.5,35.5,32.0,24.2,23.4,23.4,20.3,19.8,19.2
Annual,Total,Females,Percentage,Switzerland,2.2,2.3,2.1,2.2,3.2,1.9,1.9,2.1,2.6
Annual,Total,Females,Percentage,Cyprus,7.8,6.3,6.1,3.7,3.0,3.2,2.8,2.8,2.5
Annual,Total,Females,Percentage,Czechia,5.1,3.9,3.5,2.7,2.3,2.2,2.0,2.3,3.2
Annual,Total,Females,Percentage,Germany,6.3,5.1,4.0,3.6,3.3,4.4 b,4.3,6.1,6.8
Annual,Total,Females,Percentage,Denmark,3.4,2.4,3.4,3.5,3.8,3.6,3.1,3.4,5.1
Annual,Total,Females,Percentage,Euro area - 19 countries  (2015-2022),8.4,7.9,6.7,6.4,6.3,6.3,5.8,:,:
Annual,Total,Females,Percentage,Euro area – 20 countries (from 2023),8.4,7.9,6.7,6.4,6.2,6.3,5.8,6.3,6.7
Annual,Total,Females,Percentage,Estonia,4.0,2.5,4.4,3.2,2.9,2.4,2.2,3.6,2.9
Annual,Total,Females,Percentage,Greece,17.6,18.6,18.4,16.7,16.3,15.5,14.5,14.6,14.1
Annual,Total,Females,Percentage,Spain,7.6,9.1,8.9,9.3,8.1,9.1,8.9,8.2,9.6
Annual,Total,Females,Percentage,European Union - 27 countries (from 2020),10.2,9.5,8.3,7.6,7.1,7.1,6.5,7.0,7.2
Annual,Total,Females,Percentage,Finland,1.0,1.4,1.9,2.3,2.0,1.8,1.1,2.1,2.8
Annual,Total,Females,Percentage,France,7.8,7.7,7.2,7.5,8.0,7.1 b,5.9,7.4 b,7.1
Annual,Total,Females,Percentage,Croatia,8.2,7.4,7.2,6.2,4.8,4.5,3.9,4.4,3.0
Annual,Total,Females,Percentage,Hungary,25.2,21.7,16.6,12.1,11.5,10.9,10.8,9.5,10.7
Annual,Total,Females,Percentage,Ireland,10.3,8.6,7.6,6.7,7.0 b,6.4 b,5.2,5.6,6.9
Annual,Total,Females,Percentage,Iceland,2.0,1.0,0.7,0.9,0.6,:,:,:,:
Annual,Total,Females,Percentage,Italy,12.4,10.4,6.4,6.4,6.8,6.2,5.8,4.7,5.0
Annual,Total,Females,Percentage,Lithuania,15.0,16.1,15.0,13.2,10.2,8.5,6.6,6.4,6.2
Annual,Total,Females,Percentage,Luxembourg,2.6,2.3,2.3,2.0,1.5,1.4 b,2.4 b,2.3 b,2.7
Annual,Total,Females,Percentage,Latvia,16.4,13.3,13.6,11.0,8.1,7.6,5.5,8.6,6.6
Annual,Total,Females,Percentage,Montenegro,33.5,30.5,29.5,29.0,22.3,24.2,24.7,18.6,:
Annual,Total,Females,Percentage,North Macedonia,29.7,27.6,25.1,23.1,22.6,18.0,:,:,:
Annual,Total,Females,Percentage,Malta,8.3,5.4,4.5,5.4,5.9,6.0,5.7,5.7,4.6
Annual,Total,Females,Percentage,Netherlands,3.4,2.8,2.8,2.9,2.8,2.3,2.2,2.5,2.9
Annual,Total,Females,Percentage,Norway,1.8,:,1.9,1.6,2.2,2.4,2.2 b,2.3,2.6
Annual,Total,Females,Percentage,Poland,7.9,5.5,5.6,5.0,3.6,2.8,3.1,3.1,3.2
Annual,Total,Females,Percentage,Portugal,11.6,9.9,8.5,7.5,6.2,6.0,6.7,5.9,5.4
Annual,Total,Females,Percentage,Romania,34.7,37.4,34.1,29.6,25.7,26.5,24.4,25.2,21.2
Annual,Total,Females,Percentage,Serbia,25.6,:,24.1,18.0,15.1,14.9,14.5,15.2,:
Annual,Total,Females,Percentage,Sweden,1.1,0.7,1.1,1.6,1.6,1.9,1.4,2.4,2.8
Annual,Total,Females,Percentage,Slovenia,5.2,4.4,4.8,3.5,2.4,2.7,1.8,1.7,2.1
Annual,Total,Females,Percentage,Slovakia,8.5,7.7,6.4,5.5,6.2,4.7,5.7,6.6,6.9
Annual,Total,Females,Percentage,Türkiye,:,:,15.8,15.6,16.1,17.1,18.4,15.6,14.9
Annual,Total,Females,Percentage,United Kingdom,7.0,7.0,5.0,5.1,:,:,:,:,:
Annual,Total,Males,Percentage,Albania,:,:,49.1,44.4,40.4,36.8,36.7,:,:
Annual,Total,Males,Percentage,Austria,2.6,3.0,3.1,2.6,2.5,3.0,1.8,2.0,3.5
Annual,Total,Males,Percentage,Belgium,6.7,7.4,6.1,5.9,6.2,6.5,6.2,5.5,6.0
Annual,Total,Males,Percentage,Bulgaria,35.0,31.5,27.8,20.2,20.7,20.8,17.8,17.6,16.7
Annual,Total,Males,Percentage,Switzerland,1.8,1.8,1.7,2.0,3.2,1.4,1.8,2.2,2.2
Annual,Total,Males,Percentage,Cyprus,8.0,6.9,6.2,3.9,3.4,3.3,2.3,2.6,2.3
Annual,Total,Males,Percentage,Czechia,3.9,3.1,3.2,2.1,1.8,1.5,1.5,1.8,2.3
Annual,Total,Males,Percentage,Germany,5.0,4.3,3.5,3.2,2.6,4.3 b,4.4,6.3,7.0
Annual,Total,Males,Percentage,Denmark,3.1,2.8,3.9,3.5,3.9,3.5,3.1,3.0,4.7
Annual,Total,Males,Percentage,Euro area - 19 countries  (2015-2022),7.3,6.8,5.9,5.6,5.4,5.6,5.4,:,:
Annual,Total,Males,Percentage,Euro area – 20 countries (from 2023),7.3,6.8,5.9,5.6,5.3,5.6,5.4,5.8,6.1
Annual,Total,Males,Percentage,Estonia,2.9,1.9,3.4,2.9,2.4,2.2,1.5,2.9,2.0
Annual,Total,Males,Percentage,Greece,17.6,18.2,18.2,15.5,15.2,14.3,13.2,13.1,12.9
Annual,Total,Males,Percentage,Spain,7.1,7.9,7.7,8.1,7.2,7.9,7.7,7.2,8.4
Annual,Total,Males,Percentage,European Union - 27 countries (from 2020),9.1,8.4,7.3,6.7,6.2,6.4,6.0,6.3,6.5
Annual,Total,Males,Percentage,Finland,1.0,1.0,1.7,2.1,1.7,1.8,1.0,1.8,2.7
Annual,Total,Males,Percentage,France,5.6,5.7,5.5,5.8,6.5,5.7 b,5.0,6.6 b,6.1
Annual,Total,Males,Percentage,Croatia,8.6,7.2,6.9,5.9,4.4,4.3,3.1,3.6,2.7
Annual,Total,Males,Percentage,Hungary,22.8,19.4,15.5,11.8,10.2,10.5,9.6,8.7,10.1
Annual,Total,Males,Percentage,Ireland,8.3,7.3,6.2,5.5,6.0 b,5.6 b,4.4,5.0,5.1
Annual,Total,Males,Percentage,Iceland,0.9,0.9,0.6,0.5,0.4,:,:,:,:
Annual,Total,Males,Percentage,Italy,11.9,9.7,6.7,6.6,5.9,6.1,6.0,4.2,4.5
Annual,Total,Males,Percentage,Lithuania,14.1,14.5,13.5,10.6,9.1,7.6,6.2,5.6,6.1
Annual,Total,Males,Percentage,Luxembourg,2.3,1.8,1.4,1.1,1.3,2.0 b,2.4 b,1.6 b,2.2
Annual,Total,Males,Percentage,Latvia,14.2,11.9,11.9,9.5,6.8,6.3,5.0,6.9,5.8
Annual,Total,Males,Percentage,Montenegro,31.0,28.8,27.9,26.3,19.6,21.8,23.3,17.3,:
Annual,Total,Males,Percentage,North Macedonia,28.4,27.4,24.0,22.2,21.6,17.6,:,:,:
Annual,Total,Males,Percentage,Malta,8.1,5.0,4.2,4.1,4.1,4.2,5.1,4.3,3.7
Annual,Total,Males,Percentage,Netherlands,3.1,2.3,2.4,2.4,2.8,2.1,2.0,2.5,2.5
Annual,Total,Males,Percentage,Norway,1.5,:,2.1,1.8,1.8,2.3,2.0 b,1.5,2.6
Annual,Total,Males,Percentage,Poland,7.8,5.2,5.0,4.1,3.3,2.4,2.7,2.5,2.8
Annual,Total,Males,Percentage,Portugal,10.2,8.1,7.4,5.7,5.0,4.8,5.2,4.6,4.2
Annual,Total,Males,Percentage,Romania,33.3,34.5,30.7,27.0,23.3,24.0,21.8,23.3,18.4
Annual,Total,Males,Percentage,Serbia,24.6,:,21.5,16.8,13.3,13.2,12.0,12.9,:
Annual,Total,Males,Percentage,Sweden,1.0,0.7,0.9,1.2,1.5,2.1,1.4,2.1,2.3
Annual,Total,Males,Percentage,Slovenia,4.4,3.8,4.2,2.9,1.9,2.5,1.7,1.1,1.9
Annual,Total,Males,Percentage,Slovakia,8.3,7.5,6.3,5.4,5.6,4.3,5.7,5.9,7.0
Annual,Total,Males,Percentage,Türkiye,:,:,15.1,15.1,15.6,16.4,18.0,14.8,14.1
Annual,Total,Males,Percentage,United Kingdom,6.3,6.0,4.3,4.0,:,:,:,:,:
Annual,Total,Total,Percentage,Albania,:,:,51.4,46.7,42.5,38.9,39.0,:,:
Annual,Total,Total,Percentage,Austria,2.9,3.3,3.4,2.8,2.7,3.0,1.8,2.3,3.7
Annual,Total,Total,Percentage,Belgium,7.2,8.4,7.2,6.5,6.3,6.7,6.3,5.8,6.1
Annual,Total,Total,Percentage,Bulgaria,36.8,33.5,30.0,22.3,22.1,22.1,19.1,18.7,18.0
Annual,Total,Total,Percentage,Switzerland,2.0,2.0,1.9,2.1,3.2,1.6,1.8,2.2,2.4
Annual,Total,Total,Percentage,Cyprus,7.9,6.6,6.1,3.8,3.2,3.2,2.6,2.7,2.4
Annual,Total,Total,Percentage,Czechia,4.5,3.5,3.4,2.4,2.1,1.9,1.8,2.1,2.7
Annual,Total,Total,Percentage,Germany,5.7,4.7,3.7,3.4,3.0,4.4 b,4.3,6.2,6.9
Annual,Total,Total,Percentage,Denmark,3.2,2.6,3.6,3.5,3.8,3.5,3.1,3.2,4.9
Annual,Total,Total,Percentage,Euro area - 19 countries  (2015-2022),7.9,7.4,6.3,6.1,5.8,6.0,5.6,:,:
Annual,Total,Total,Percentage,Euro area – 20 countries (from 2023),7.9,7.4,6.3,6.1,5.8,5.9,5.6,6.0,6.4
Annual,Total,Total,Percentage,Estonia,3.5,2.2,4.0,3.1,2.6,2.3,1.9,3.3,2.5
Annual,Total,Total,Percentage,Greece,17.6,18.4,18.3,16.1,15.8,14.9,13.9,13.9,13.5
Annual,Total,Total,Percentage,Spain,7.4,8.5,8.3,8.7,7.7,8.5,8.3,7.7,9.0
Annual,Total,Total,Percentage,European Union - 27 countries (from 2020),9.7,9.0,7.8,7.1,6.7,6.7,6.3,6.7,6.8
Annual,Total,Total,Percentage,Finland,1.0,1.2,1.8,2.2,1.9,1.8,1.1,1.9,2.8
Annual,Total,Total,Percentage,France,6.8,6.7,6.3,6.7,7.3,6.4 b,5.5,7.0 b,6.6
Annual,Total,Total,Percentage,Croatia,8.4,7.3,7.1,6.1,4.6,4.4,3.5,4.0,2.8
Annual,Total,Total,Percentage,Hungary,24.1,20.6,16.1,11.9,10.9,10.7,10.2,9.1,10.4
Annual,Total,Total,Percentage,Ireland,9.4,8.0,6.9,6.1,6.5 b,6.1 b,4.8,5.3,6.0
Annual,Total,Total,Percentage,Iceland,1.4,1.0,0.6,0.7,0.5,:,:,:,:
Annual,Total,Total,Percentage,Italy,12.1,10.1,6.6,6.5,6.4,6.2,5.9,4.5,4.7
Annual,Total,Total,Percentage,Lithuania,14.6,15.4,14.4,12.0,9.7,8.1,6.4,6.0,6.1
Annual,Total,Total,Percentage,Luxembourg,2.5,2.0,1.9,1.6,1.4,1.7 b,2.4 b,2.0 b,2.5
Annual,Total,Total,Percentage,Latvia,15.4,12.6,12.9,10.4,7.5,7.0,5.3,7.8,6.2
Annual,Total,Total,Percentage,Montenegro,32.3,29.7,28.7,27.7,21.0,23.0,24.0,18.0,:
Annual,Total,Total,Percentage,North Macedonia,29.1,27.5,24.6,22.6,22.1,17.8,:,:,:
Annual,Total,Total,Percentage,Malta,8.2,5.2,4.3,4.7,5.0,5.1,5.4,4.9,4.1
Annual,Total,Total,Percentage,Netherlands,3.2,2.6,2.6,2.6,2.8,2.2,2.1,2.5,2.7
Annual,Total,Total,Percentage,Norway,1.7,:,2.0,1.7,2.0,2.4,2.1 b,1.9,2.6
Annual,Total,Total,Percentage,Poland,7.8,5.4,5.3,4.5,3.5,2.6,2.9,2.8,3.0
Annual,Total,Total,Percentage,Portugal,10.9,9.1,8.0,6.6,5.6,5.4,6.0,5.3,4.9
Annual,Total,Total,Percentage,Romania,34.0,35.9,32.4,28.3,24.5,25.3,23.1,24.3,19.8
Annual,Total,Total,Percentage,Serbia,25.1,:,22.8,17.4,14.3,14.1,13.3,14.1,:
Annual,Total,Total,Percentage,Sweden,1.1,0.7,1.0,1.4,1.5,2.0,1.4,2.3,2.5
Annual,Total,Total,Percentage,Slovenia,4.8,4.1,4.5,3.2,2.2,2.6,1.8,1.4,2.0
Annual,Total,Total,Percentage,Slovakia,8.4,7.6,6.3,5.4,5.9,4.5,5.7,6.3,7.0
Annual,Total,Total,Percentage,Türkiye,:,:,15.4,15.4,15.9,16.7,18.2,15.2,14.5
Annual,Total,Total,Percentage,United Kingdom,6.7,6.5,4.7,4.5,:,:,:,:,:
