Time frequency,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,Median equivalised income,Above 60%,Percentage,Albania,7.6
Annual,Median equivalised income,Above 60%,Percentage,Austria,63.1
Annual,Median equivalised income,Above 60%,Percentage,Belgium,59.8
Annual,Median equivalised income,Above 60%,Percentage,Bulgaria,7.7
Annual,Median equivalised income,Above 60%,Percentage,Switzerland,49.4
Annual,Median equivalised income,Above 60%,Percentage,Cyprus,27.2
Annual,Median equivalised income,Above 60%,Percentage,Czechia,42.4
Annual,Median equivalised income,Above 60%,Percentage,Germany,: u
Annual,Median equivalised income,Above 60%,Percentage,Denmark,63.3
Annual,Median equivalised income,Above 60%,Percentage,Estonia,56.6
Annual,Median equivalised income,Above 60%,Percentage,Greece,8.1
Annual,Median equivalised income,Above 60%,Percentage,Spain,50.4
Annual,Median equivalised income,Above 60%,Percentage,European Union - 27 countries (from 2020),50.2 u
Annual,Median equivalised income,Above 60%,Percentage,Finland,40.9
Annual,Median equivalised income,Above 60%,Percentage,France,62.4
Annual,Median equivalised income,Above 60%,Percentage,Croatia,30.4
Annual,Median equivalised income,Above 60%,Percentage,Hungary,28.8
Annual,Median equivalised income,Above 60%,Percentage,Ireland,61.6
Annual,Median equivalised income,Above 60%,Percentage,Lithuania,37.4 u
Annual,Median equivalised income,Above 60%,Percentage,Luxembourg,70.4
Annual,Median equivalised income,Above 60%,Percentage,Latvia,37.4
Annual,Median equivalised income,Above 60%,Percentage,Montenegro,10.3
Annual,Median equivalised income,Above 60%,Percentage,North Macedonia,9.6
Annual,Median equivalised income,Above 60%,Percentage,Malta,46.4
Annual,Median equivalised income,Above 60%,Percentage,Netherlands,31.6
Annual,Median equivalised income,Above 60%,Percentage,Norway,47.6
Annual,Median equivalised income,Above 60%,Percentage,Poland,19.2
Annual,Median equivalised income,Above 60%,Percentage,Portugal,66.9
Annual,Median equivalised income,Above 60%,Percentage,Romania,34.3
Annual,Median equivalised income,Above 60%,Percentage,Serbia,13.4
Annual,Median equivalised income,Above 60%,Percentage,Sweden,46.0
Annual,Median equivalised income,Above 60%,Percentage,Slovenia,56.6
Annual,Median equivalised income,Above 60%,Percentage,Slovakia,33.2
Annual,Median equivalised income,Below 60%,Percentage,Albania,1.0
Annual,Median equivalised income,Below 60%,Percentage,Austria,32.5
Annual,Median equivalised income,Below 60%,Percentage,Belgium,36.8
