Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Non-energy industrial goods,"Index, 2015=100",Albania,107.82 d,108.16 d,108.29 d,108.38 d,108.35 d,108.52 d,108.73 d,109.03 d,109.47 d,109.64 d,109.70 d,109.96 d
Monthly,Non-energy industrial goods,"Index, 2015=100",Austria,120.12,119.89,122.44,122.28,122.27,121.77,119.13,118.27,121.38,122.82,122.93,122.58
Monthly,Non-energy industrial goods,"Index, 2015=100",Belgium,114.49,118.79,118.44,117.76,118.0,118.34,110.67,118.39,118.27,119.05,119.28,119.24
Monthly,Non-energy industrial goods,"Index, 2015=100",Bulgaria,115.03,114.56,114.72,114.97,115.23,114.89,114.62,114.16,113.9,115.38,114.93,114.98
Monthly,Non-energy industrial goods,"Index, 2015=100",Switzerland,101.13,101.47,101.58,102.26,102.11,101.21,99.96,100.27,100.66,101.17,101.25,100.74
Monthly,Non-energy industrial goods,"Index, 2015=100",Cyprus,102.14,102.99,105.11,106.54,106.87,107.08,103.35,102.93,104.69,106.02,106.02,105.64
Monthly,Non-energy industrial goods,"Index, 2015=100",Czechia,132.8,133.0,133.3,133.9,133.7,133.3,133.3,132.9,133.1,133.5,133.3,133.2
Monthly,Non-energy industrial goods,"Index, 2015=100",Germany,119.7,120.3,120.9,121.1,120.9,120.8,120.1,120.0,120.9,121.5,121.7,122.1
Monthly,Non-energy industrial goods,"Index, 2015=100",Denmark,101.7,101.9,102.4,102.5,102.2,101.1,100.6,100.4,102.0,101.9,101.8,102.0
Monthly,Non-energy industrial goods,"Index, 2015=100","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",111.95,112.35,114.48,114.99,115.04,114.91,111.9,112.19,114.61,115.4,115.4,115.28
Monthly,Non-energy industrial goods,"Index, 2015=100",Euro area - 19 countries  (2015-2022),111.94,112.35,114.48,114.98,115.03,114.9,111.89,112.19,114.61,115.38,115.38,115.27
Monthly,Non-energy industrial goods,"Index, 2015=100",Euro area – 20 countries (from 2023),111.98,112.38,114.51,115.02,115.07,114.94,111.93,112.22,114.64,115.43,115.43,115.31
Monthly,Non-energy industrial goods,"Index, 2015=100",Estonia,125.89,126.94,127.51,128.37,128.2,127.93,126.14,127.94,129.47,129.93,129.98,129.7
Monthly,Non-energy industrial goods,"Index, 2015=100",Greece,102.32,101.4,107.67,108.56,108.41,108.62,102.44,102.09,109.23,109.67,109.42,109.46
Monthly,Non-energy industrial goods,"Index, 2015=100",Spain,107.53,107.08,110.51,111.28,111.46,111.14,107.38,107.04,110.45,111.28,111.37,111.18
Monthly,Non-energy industrial goods,"Index, 2015=100","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",114.79,115.13,116.94,117.46,117.51,117.35,114.88,115.11,117.16,117.94,117.96,117.86
Monthly,Non-energy industrial goods,"Index, 2015=100",European Union - 27 countries (from 2020),114.16,114.49,116.3,116.81,116.86,116.7,114.25,114.48,116.51,117.29,117.31,117.21
Monthly,Non-energy industrial goods,"Index, 2015=100",Finland,103.32,103.4,104.1,104.55,105.6,104.48,103.99,103.99,105.23,105.57,105.3,105.19
