Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,18.1,18.7,18.9
Annual,Percentage,Austria,63.4,64.3 e,62.5 e,64.2 e,57.4,58.3 e,59.2,60.2,63.2,61.9,59.4,56.7,57.7,57.7,56.3,56.9,57.6,57.8,57.7,58.2,62.3 b,62.5,62.6
Annual,Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:
Annual,Percentage,Belgium,49.7,50.4,51.5,52.9,53.5,55.6,56.1,56.8,52.7,53.9,54.8,54.4,53.4,52.8,53.8,53.5,53.5,53.9,54.4,54.7,51.4 b,55.5,54.7
Annual,Percentage,Bulgaria,15.5 e,16.1 e,16.3 e,16.5 e,17.2 be,18.3 e,19.1 e,20.6 e,19.4 e,19.9 e,24.5,26.2,25.0,28.5,23.1,29.4,31.8,34.6,31.5,34.6 i,35.2,28.2,24.6
Annual,Percentage,Switzerland,45.3,46.6,46.7,47.5,48.7,50.6,50.1,51.0,49.9,51.3,50.5,50.1,50.0 e,51.0 e,53.5 be,52.7 e,52.5 e,52.5 e,52.5 e,53.0 e,52.8,52.3,52.2
Annual,Percentage,Cyprus,3.0,3.1,3.2,3.1,3.2,3.7,4.4 b,5.2,7.5,8.3,11.2,11.2,12.8,13.9,14.8,16.7,16.3,16.5,16.8,16.9,17.0,14.0,14.8 p
Annual,Percentage,Czechia,0.9,0.9 b,0.9,0.9,5.5 be,6.2 e,7.4 e,10.1 e,10.4 e,12.4 e,15.8 e,16.9 e,23.2 e,24.2 e,25.4 e,29.7 e,33.6 e,32.1 b,32.2,33.3,40.5,43.3,:
Annual,Percentage,Germany,52.5 i,52.3 i,56.1,57.8,56.4,60.9,62.1,63.2,63.8,63.1,62.5,63.0,65.2,63.8,65.6,66.7,67.1,67.2,67.1,66.7 e,70.3,69.3 p,69.2 p
Annual,Percentage,Denmark,37.1,36.1,37.6,40.9,41.0,41.0,41.8,44.2,47.9,48.8 e,:,42.4 b,42.5,43.3,45.4,47.4,48.3,47.6,49.9,51.5,45.0,57.6,45.7
Annual,Percentage,Estonia,2.2 b,5.1 b,2.7,15.0,24.8,22.7,17.4,23.1,20.2 b,21.0,18.0 b,23.3,19.1,17.6,31.1 b,28.3,27.9,28.2,28.0,30.8,28.9,30.3,33.2
Annual,Percentage,Greece,8.8,8.8,8.8,8.1,10.1,11.8,12.8,20.0,17.7,18.9,17.1,17.8,17.0,15.8,15.4,15.8,17.2,18.9,20.1,21.0,18.1,17.5,:
Annual,Percentage,Spain,18.4,21.4,29.3,28.7,30.9,31.4,31.2,30.6,39.7,33.2,29.2,26.7,29.8,32.5,30.8,30.0,33.9,36.1,34.8,38.0,38.9,42.2,38.6 p
Annual,Percentage,European Union - 27 countries (from 2020),27.3 i,28.7 i,30.4 i,31.1 i,31.8 i,32.5 i,33.2 i,35.2,36.6,37.3,38.0,38.9,40.9,41.5,43.4,44.9,45.9,46.3,46.4,47.2 i,48.7,49.8 i,48.7 i
Annual,Percentage,Finland,33.6,33.6,33.6,33.6,33.6,33.6,33.6,35.6,34.3,35.9,32.8,34.8,33.3,32.5,32.5,40.6 b,42.1,40.5,42.3,43.5,42.1,39.0,43.7
Annual,Percentage,France,24.5,26.1,27.3,28.0,29.0,29.0,30.7 e,32.3,33.8 e,35.3,36.0 e,36.8,37.7 e,38.7,39.7 e,40.7,39.7 e,40.2 e,40.7 e,41.0 e,41.7 e,43.8 p,41.2 ep
Annual,Percentage,Croatia,:,:,:,:,:,:,:,3.2,2.7,2.4,4.1,8.3,14.7,14.9,16.4,18.0,21.0,23.6,25.3,30.2,29.5,31.4,34.2
Annual,Percentage,Hungary,1.6 b,1.6,2.5,3.5,11.8 b,9.6,10.4,12.1,15.2,15.4,19.6,22.0,25.5,26.4,30.5,32.2,34.7,35.0,37.4,35.9,32.0,34.9,32.8
Annual,Percentage,Ireland,11.9,11.3,18.3,23.6 b,29.5,31.1,33.1,34.1,33.6,33.5,35.7,36.1,36.6,:,39.8 b,:,40.7,40.4,37.7,37.4 b,40.8 b,:,:
Annual,Percentage,Iceland,15.4,15.8,16.1,16.4,:,:,:,:,19.2,20.5,20.8,25.3,28.0,29.9,29.7,28.2,33.2,25.8,27.5,:,26.2,26.4,23.3
Annual,Percentage,Italy,14.2,17.8,14.8,16.3,17.6,18.5,19.2,25.0 b,23.8,29.7,31.0,35.5,38.4,39.4,41.6,44.3 b,45.9,47.8,49.8,51.4,51.4,51.9,53.3
Annual,Percentage,Lithuania,0.0,0.0,0.0,0.0,1.9 i,1.9 i,1.9 i,7.5,8.4 b,8.5,4.9,20.0,23.5,27.8,30.5,33.2,48.0 b,48.1,52.6,49.7,45.3,44.3,48.4
Annual,Percentage,Luxembourg,35.8,37.5,38.5,42.2,41.5,43.5,43.7,45.0,45.7,46.4,46.5,46.4,47.4,46.3,47.7,47.4,49.2 b,48.9,49.0,48.9 e,52.8,55.3,54.6
Annual,Percentage,Latvia,0.0 e,0.4 e,0.4 b,2.3,4.4,3.9,4.5,5.0,6.4,7.7,9.4,9.7,14.6,25.9,27.0,28.7,25.2,24.8,25.2,41.0,39.7,44.1,50.8
Annual,Percentage,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.7 e,5.3 e,4.6 e,4.7 e,4.2 e
Annual,Percentage,North Macedonia,:,:,:,:,:,:,:,:,0.0 e,:,:,0.0,:,:,:,:,:,:,:,:,:,:,0.0 e
Annual,Percentage,Malta,9.6,9.0,4.7,6.5,6.3,9.1,13.7,4.7,5.0,6.9,8.9,15.4,14.8,12.5,11.7,10.9,12.7,11.5,10.4,9.1,10.9,13.6,12.5
Annual,Percentage,Netherlands,44.1,43.7,45.3,45.6,46.9,46.7,46.8,48.3,48.4 b,49.1,49.2,49.1,49.4,49.8,50.9,51.8,53.5,54.6,55.9,56.9,56.9,57.8,57.5 p
Annual,Percentage,Norway,30.6,44.4 b,45.3,45.8,36.5,39.3,40.3,42.6,43.6,43.0,42.1,39.9,39.8,39.2,42.2 b,42.8,38.2 b,38.8,40.7,40.9,45.0 b,38.2,41.2
