Time frequency,Unit of measure,Type of ownership,Geopolitical entity (reporting)\Time,2010.0
Annual,Euro,Private ownership,Austria,37745.0
Annual,Euro,Private ownership,Belgium,42994.0
Annual,Euro,Private ownership,Bulgaria,4461.0
Annual,Euro,Private ownership,Switzerland,62777.0
Annual,Euro,Private ownership,Cyprus,24327.0
Annual,Euro,Private ownership,Czechia,12556.0
Annual,Euro,Private ownership,Germany,38058.0
Annual,Euro,Private ownership,Denmark,54651.0
Annual,Euro,Private ownership,Euro area - 13 countries (2007),33779.0
Annual,Euro,Private ownership,Euro area - 16 countries (2009-2010),33647 i
Annual,Euro,Private ownership,Euro area - 17 countries (2011-2013),33556.0
Annual,Euro,Private ownership,Estonia,10624.0
Annual,Euro,Private ownership,Greece,24638.0
Annual,Euro,Private ownership,Spain,25942.0
Annual,Euro,Private ownership,European Union - 15 countries (1995-2004),35025.0
Annual,Euro,Private ownership,European Union - 25 countries (2004-2006),32004.0
Annual,Euro,Private ownership,European Union - 27 countries (2007-2013),30854.0
Annual,Euro,Private ownership,European Union - 28 countries (2013-2020),30742.0
Annual,Euro,Private ownership,Finland,42021.0
Annual,Euro,Private ownership,France,34154.0
Annual,Euro,Private ownership,Croatia,11900.0
Annual,Euro,Private ownership,Hungary,9959.0
Annual,Euro,Private ownership,Ireland,40229.0
Annual,Euro,Private ownership,Iceland,34304.0
Annual,Euro,Private ownership,Italy,29957.0
Annual,Euro,Private ownership,Lithuania,6976.0
Annual,Euro,Private ownership,Luxembourg,50258.0
Annual,Euro,Private ownership,Latvia,8591.0
Annual,Euro,Private ownership,North Macedonia,5441.0
Annual,Euro,Private ownership,Malta,18502.0
Annual,Euro,Private ownership,Netherlands,41428.0
Annual,Euro,Private ownership,Norway,53898.0
Annual,Euro,Private ownership,Poland,10082.0
Annual,Euro,Private ownership,Portugal,16303.0
Annual,Euro,Private ownership,Romania,5698.0
Annual,Euro,Private ownership,Sweden,40671.0
Annual,Euro,Private ownership,Slovenia,19715.0
Annual,Euro,Private ownership,Slovakia,10498.0
Annual,Euro,Private ownership,Türkiye,10008.0
Annual,Euro,Private ownership,United Kingdom,36034.0
Annual,Euro,Public ownership,Austria,47166.0
Annual,Euro,Public ownership,Belgium,45899.0
Annual,Euro,Public ownership,Bulgaria,5039.0
Annual,Euro,Public ownership,Switzerland,70936.0
Annual,Euro,Public ownership,Cyprus,38237.0
Annual,Euro,Public ownership,Czechia,12710.0
Annual,Euro,Public ownership,Germany,42175.0
Annual,Euro,Public ownership,Denmark,49095.0
Annual,Euro,Public ownership,Euro area - 13 countries (2007),36801.0
Annual,Euro,Public ownership,Euro area - 16 countries (2009-2010),36610 i
Annual,Euro,Public ownership,Euro area - 17 countries (2011-2013),36429.0
Annual,Euro,Public ownership,Estonia,9888.0
Annual,Euro,Public ownership,Greece,28393.0
Annual,Euro,Public ownership,Spain,33465.0
Annual,Euro,Public ownership,European Union - 15 countries (1995-2004),37393.0
Annual,Euro,Public ownership,European Union - 25 countries (2004-2006),32792.0
Annual,Euro,Public ownership,European Union - 27 countries (2007-2013),31383.0
Annual,Euro,Public ownership,European Union - 28 countries (2013-2020),31214.0
Annual,Euro,Public ownership,Finland,36962.0
Annual,Euro,Public ownership,France,33009.0
Annual,Euro,Public ownership,Croatia,13608.0
Annual,Euro,Public ownership,Hungary,9823.0
Annual,Euro,Public ownership,Ireland,48737.0
Annual,Euro,Public ownership,Iceland,29022.0
Annual,Euro,Public ownership,Italy,36818.0
Annual,Euro,Public ownership,Lithuania,7396.0
Annual,Euro,Public ownership,Luxembourg,62006.0
Annual,Euro,Public ownership,Latvia,8019.0
Annual,Euro,Public ownership,North Macedonia,6375.0
Annual,Euro,Public ownership,Malta,19392.0
Annual,Euro,Public ownership,Netherlands,40555.0
Annual,Euro,Public ownership,Norway,54137.0
Annual,Euro,Public ownership,Poland,11082.0
Annual,Euro,Public ownership,Portugal,26551.0
Annual,Euro,Public ownership,Romania,6684.0
Annual,Euro,Public ownership,Sweden,35856.0
Annual,Euro,Public ownership,Slovenia,23815.0
Annual,Euro,Public ownership,Slovakia,9470.0
Annual,Euro,Public ownership,Türkiye,18237.0
Annual,Euro,Public ownership,United Kingdom,35914.0
