Time frequency,Duration,Country of destination,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,From 1 to 3 nights,All countries of the world,Number,Albania,:,:,:,:,:,460935.0,537715.0,428922.0,367841.0,422757.0,526946.0,:
Annual,From 1 to 3 nights,All countries of the world,Number,Austria,4119170.0,4264321.0,4130375.0,4195713.0,4292276.0,4324150.0,4677125.0,4737592.0,3601182.0,3958929.0,4640094.0,5020762.0
Annual,From 1 to 3 nights,All countries of the world,Number,Belgium,2206533.0,2863748.0,2665112.0,2970031.0,3206234.0,3593973 b,3865563.0,3674134.0,2344251.0,3025046.0,3714548.0,4258911.0
Annual,From 1 to 3 nights,All countries of the world,Number,Bulgaria,545011.0,656285.0,1072023.0,1024039.0,1027332.0,1359755.0,1255204.0,1420279.0,853271.0,873293.0,991265.0,1113426.0
Annual,From 1 to 3 nights,All countries of the world,Number,Switzerland,4276835.0,4372054.0,4345410.0,4557444.0,4666464.0,4713670.0,4752932.0,4710435.0,3579312 u,4225244.0,4793045.0,:
Annual,From 1 to 3 nights,All countries of the world,Number,Cyprus,303695 e,212165 e,246994 e,239165 e,274419 e,248715 e,283357 e,328140 e,231715 e,258842 e,205585 e,238897 e
Annual,From 1 to 3 nights,All countries of the world,Number,Czechia,5658708.0,5527683.0,6226692.0,6107778.0,6247174.0,6374793.0,6076089.0,6099600.0,5269704.0,5086007.0,5619933.0,5331993.0
Annual,From 1 to 3 nights,All countries of the world,Number,Germany,49895720.0,50068574.0,49029356.0,48199996.0,50657581.0,46337128.0,49230610.0,51658263.0,38197761.0,42191924.0,47056533.0,49947195.0
Annual,From 1 to 3 nights,All countries of the world,Number,Denmark,2041126.0,2114792.0,2218049.0,2009893.0,2079622.0,1572274 e,1537807 e,2033199.0,1654578.0,:,1594360.0,:
Annual,From 1 to 3 nights,All countries of the world,Number,Euro area – 20 countries (from 2023),131004479.0,129403604.0,128078402.0,131821330.0,136868080.0,136860767 u,141852296.0,146555701.0,113222783.0,122556136 u,139475218 u,150064517.0
Annual,From 1 to 3 nights,All countries of the world,Number,Estonia,584471.0,596824.0,713966.0,570830.0,606113.0,700280.0,811403.0,730395.0,98485.0,176805.0,191472.0,226616.0
Annual,From 1 to 3 nights,All countries of the world,Number,Greece,1300026.0,856216.0,1080235.0,1077222.0,951804.0,1121788.0,1190292.0,1046556.0,808792.0,945310.0,1190249.0,1139103.0
Annual,From 1 to 3 nights,All countries of the world,Number,Spain,14344187.0,14398283.0,14485336.0,17901013 b,18417748.0,20150650.0,19439037.0,21233002.0,19477194.0,15499497.0,21062804.0,22592275.0
Annual,From 1 to 3 nights,All countries of the world,Number,European Union - 27 countries (from 2020),159782827 e,157691630 e,158178790.0,162693660.0,169175906.0,172104838 u,176998221.0,183346268.0,140347769.0,152941297 u,173310892 u,184379872.0
Annual,From 1 to 3 nights,All countries of the world,Number,Finland,3850333.0,3769445.0,3821595.0,3792187.0,3878073.0,3886110.0,3847716.0,3440393.0,2902748.0,2928246.0,3281935.0,3216816.0
Annual,From 1 to 3 nights,All countries of the world,Number,France,26484794.0,26050136.0,26163620.0,26356314.0,26129306.0,28902754.0,29337802.0,29282720.0,26384533.0,29626111.0,30969326.0,34460807.0
Annual,From 1 to 3 nights,All countries of the world,Number,Croatia,1252108 u,1115937.0,1044893.0,799160 b,767760.0,752541.0,958771.0,1035265.0,545535.0,596485.0,838700.0,836962.0
Annual,From 1 to 3 nights,All countries of the world,Number,Hungary,3296927.0,3085293.0,3331117.0,3362673.0,3572737.0,3776284.0,3722791.0,3855658.0,2601550.0,2616765.0,3443995.0,3519590.0
Annual,From 1 to 3 nights,All countries of the world,Number,Ireland,1670101.0,1558586.0,1693883.0,1683506.0,1766274.0,1866111.0,1892211.0,1874734.0,1452033.0,1854030.0,1852962.0,2749881.0
Annual,From 1 to 3 nights,All countries of the world,Number,Italy,11788635.0,9795305.0,9207873 b,10156932.0,11263009.0,9841982.0,10513926.0,11148922.0,5056852.0,6588457.0,8677379.0,8875538.0
Annual,From 1 to 3 nights,All countries of the world,Number,Lithuania,705242.0,756336.0,758073.0,760204.0,755791.0,747404.0,741761.0,717479.0,510517.0,578022.0,727093.0,755149.0
Annual,From 1 to 3 nights,All countries of the world,Number,Luxembourg,207700.0,250057.0,221069.0,270807.0,252348.0,328703.0,: @C,363423.0,309242.0,342409.0,347656.0,368358.0
Annual,From 1 to 3 nights,All countries of the world,Number,Latvia,655401.0,736221.0,752748.0,784997.0,828852.0,769073.0,830941.0,789709.0,573917.0,599504.0,743788.0,787778.0
Annual,From 1 to 3 nights,All countries of the world,Number,Montenegro,:,:,:,:,: @C,:,:,:,:,:,:,:
Annual,From 1 to 3 nights,All countries of the world,Number,North Macedonia,:,:,:,:,:,:,220521.0,174051.0,163355.0,192357.0,:,:
