Time frequency,Number of items,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,7 items or more,Percentage,Total,Females,Albania,:,:,:,:,42.1,39.0,35.2,32.5,32.1,:,:
Annual,7 items or more,Percentage,Total,Females,Austria,:,:,4.1,4.3,3.9,3.5,3.5,3.3,2.5,3.5,4.4
Annual,7 items or more,Percentage,Total,Females,Belgium,:,:,7.9,8.9,8.2,7.3,6.6 b,6.9,6.9,6.4,6.4
Annual,7 items or more,Percentage,Total,Females,Bulgaria,:,:,45.0,43.6 b,40.3,32.9,32.2,32.9,31.3,31.3,31.4
Annual,7 items or more,Percentage,Total,Females,Switzerland,:,:,2.2,2.0,1.7,2.1,2.4,1.7,2.0,1.5,2.2
Annual,7 items or more,Percentage,Total,Females,Cyprus,:,:,12.5,11.0,10.0,5.9,5.0,5.5,6.0,4.4,4.4
Annual,7 items or more,Percentage,Total,Females,Czechia,:,:,9.8,7.9,7.7,6.5,5.3,5.0,5.3,4.8,6.2
Annual,7 items or more,Percentage,Total,Females,Germany,:,:,7.2,6.0,4.9,4.1,3.7,6.8 b,7.1,8.7,9.5
Annual,7 items or more,Percentage,Total,Females,Denmark,:,:,2.9,2.3,3.4,3.5,3.3 u,3.3,3.8,3.6,4.8
Annual,7 items or more,Percentage,Total,Females,Euro area - 19 countries  (2015-2022),:,:,:,:,:,:,:,9.0,8.7,:,:
Annual,7 items or more,Percentage,Total,Females,Euro area – 20 countries (from 2023),:,:,11.4,10.8,9.4,8.8,8.3,9.1,8.8,8.9,9.1
Annual,7 items or more,Percentage,Total,Females,Estonia,:,:,8.8,6.5,9.2,7.7,6.7,5.9,5.8,6.7,5.8
Annual,7 items or more,Percentage,Total,Females,Greece,:,:,27.3,28.4,25.4,22.5,21.2,21.7,20.2,20.8,20.7
Annual,7 items or more,Percentage,Total,Females,Spain,:,:,10.5,10.5,10.1,10.2,9.6,12.2,11.3,10.3,11.3
Annual,7 items or more,Percentage,Total,Females,European Union - 27 countries (from 2020),:,:,13.4,12.6,11.3,10.3,9.6,10.1,9.9,9.9,10.0
Annual,7 items or more,Percentage,Total,Females,Finland,:,:,2.0,2.5 u,2.8 u,2.8,2.6,2.9,2.9,3.4,3.8
Annual,7 items or more,Percentage,Total,Females,France,:,:,8.1,7.5,7.0,7.1,7.9,7.8 b,7.9,8.7 b,7.9 b
Annual,7 items or more,Percentage,Total,Females,Croatia,26.0,23.9,20.2,17.6,16.5,15.0,13.0,13.0,13.2,11.4,9.4 b
Annual,7 items or more,Percentage,Total,Females,Hungary,:,:,31.6,27.2,21.8,17.1,15.9,15.2,15.9,15.2,16.8
Annual,7 items or more,Percentage,Total,Females,Ireland,:,:,6.7,5.3,5.1,4.1,4.4 b,4.1 b,4.9,5.3,5.8
Annual,7 items or more,Percentage,Total,Females,Iceland,:,:,1.9,1.5,1.5,1.2,1.0 u,:,:,:,:
Annual,7 items or more,Percentage,Total,Females,Italy,:,:,20.4,19.7,15.9,14.8,13.6,12.1,10.8,10.0,9.8
Annual,7 items or more,Percentage,Total,Females,Lithuania,:,:,25.2,25.0,25.3,23.8,20.6,18.8,17.5,15.2,15.7
Annual,7 items or more,Percentage,Total,Females,Luxembourg,:,:,3.3,2.7 b,2.2,2.4 u,1.8 u,2.2 b,3.1 b,2.0 b,2.9
Annual,7 items or more,Percentage,Total,Females,Latvia,:,:,23.4,20.9,21.1,17.9,14.8,13.4,13.1,13.3,12.8
