Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,"Imports of goods & services, as a share of GDP (%)",Algeria,24.1 d,21.9 d,24.9 d,28.7 d,36.0 d,31.4 d,28.7 d,28.5 d,30.4 d,31.9 d,36.5 d,35.1 d,33.2 d,32.3 d
Annual,"Imports of goods & services, as a share of GDP (%)",Egypt,32.6 d,31.6 d,34.8 d,38.6 d,31.6 d,26.6 d,24.7 d,24.3 d,23.4 d,22.7 d,21.7 d,19.9 d,28.5 d,:
Annual,"Imports of goods & services, as a share of GDP (%)",Israel,40.9,40.6,41.4,39.1,30.7,32.8,35.5,36.0,31.9,30.6,28.2,28.1,27.5,29.0
Annual,"Imports of goods & services, as a share of GDP (%)",Jordan,94.2 de,87.9 de,91.8 de,86.6 e,68.7 e,68.8 e,73.7 e,74.3 e,71.9 e,69.3 e,59.9 e,55.4 e,:,:
Annual,"Imports of goods & services, as a share of GDP (%)",Lebanon,56.3,55.6,60.9,68.0,57.2,60.2,64.2,60.2,57.4,54.1,46.8,46.7,48.6,:
Annual,"Imports of goods & services, as a share of GDP (%)",Libya,30.0 d,29.0 d,34.0 d,34.0 d,49.0 d,42.0 d,43.0 d,30.0 d,:,:,:,:,:,:
Annual,"Imports of goods & services, as a share of GDP (%)",Morocco,37.9,39.7 p,43.9,49.9,39.9,43.0,48.7,50.2,:,47.1,42.4,45.4,46.8,49.3
Annual,"Imports of goods & services, as a share of GDP (%)",Palestine*,74.0 e,75.0 e,77.8 e,69.6 e,68.0 e,59.1 e,54.7 e,55.9 e,54.5 e,56.7 e,59.5 e,56.8 e,55.6 e,59.7
Annual,"Imports of goods & services, as a share of GDP (%)",Tunisia,45.3 d,47.9 d,53.0 d,58.7 d,48.0 d,54.7 d,56.0 d,58.0 d,56.5 d,56.0 d,51.0,:,:,:
Annual,"Exports of goods & services, as a share of GDP (%)",Algeria,47.2 d,48.8 d,47.1 d,48.0 d,35.4 d,38.4 d,38.8 d,36.9 d,33.2 d,30.2 d,23.2 d,20.9 d,22.7 d,25.6 d
Annual,"Exports of goods & services, as a share of GDP (%)",Egypt,30.3 d,29.9 d,30.2 d,33.0 d,25.0 d,21.3 d,20.6 d,17.4 d,17.0 d,14.2 d,13.2 d,10.3 d,16.3 d,:
Annual,"Exports of goods & services, as a share of GDP (%)",Israel,40.8,40.8,40.5,38.5,33.2,34.7,35.3,36.0,33.7,32.2,31.2,29.7,28.7,29.4
Annual,"Exports of goods & services, as a share of GDP (%)",Jordan,52.7 de,53.9 de,54.2 de,57.2 e,46.2 e,48.1 e,47.6 e,46.3 e,42.3 e,43.1 e,37.2 e,34.7 e,:,:
Annual,"Exports of goods & services, as a share of GDP (%)",Lebanon,37.3,36.1,37.6,39.0,33.7,35.8,36.9,34.5,31.8,27.8,27.3,25.3,23.9,:
Annual,"Exports of goods & services, as a share of GDP (%)",Libya,67.0 d,71.0 d,88.0 d,89.0 d,80.0 d,87.0 d,70.0 d,88.0 d,:,:,:,:,:,:
Annual,"Exports of goods & services, as a share of GDP (%)",Morocco,32.3,34.2 p,34.6,35.7,28.0,32.2,34.7,34.9,:,34.6,34.8,35.4,37.2,38.7
Annual,"Exports of goods & services, as a share of GDP (%)",Palestine*,15.0 e,15.0 e,19.4 e,17.5 e,15.6 e,15.3 e,17.2 e,16.6 e,16.6 e,17.1 e,18.4 e,17.7 e,18.6 e,19.9
Annual,"Exports of goods & services, as a share of GDP (%)",Tunisia,44.9 d,46.0 d,51.1 d,55.7 d,45.0 d,49.5 d,48.5 d,48.5 d,47.0 d,45.0 d,40.1,:,:,:
