Time frequency,Country of citizenship,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2020.0,2021.0,2022.0,2023.0
Annual,Total,From 0 to 17 years,Total,Person,Austria,:,11176.0,9047.0,9151.0
Annual,Total,From 0 to 17 years,Total,Person,Belgium,:,6380.0,7313.0,7048.0
Annual,Total,From 0 to 17 years,Total,Person,Bulgaria,:,582.0,479.0,544.0
Annual,Total,From 0 to 17 years,Total,Person,Switzerland,:,5068.0,4480.0,4248.0
Annual,Total,From 0 to 17 years,Total,Person,Cyprus,:,416.0,500.0,577.0
Annual,Total,From 0 to 17 years,Total,Person,Czechia,:,4603.0,4713.0,5479.0
Annual,Total,From 0 to 17 years,Total,Person,Germany,:,:,8258.0,11199.0
Annual,Total,From 0 to 17 years,Total,Person,Denmark,:,7.0,6.0,13.0
Annual,Total,From 0 to 17 years,Total,Person,Estonia,:,31.0,42.0,44.0
Annual,Total,From 0 to 17 years,Total,Person,Greece,:,0.0,0.0,1.0
Annual,Total,From 0 to 17 years,Total,Person,Spain,:,41522.0,63805.0,65308.0
Annual,Total,From 0 to 17 years,Total,Person,Finland,:,2530.0,9533.0,3404.0
Annual,Total,From 0 to 17 years,Total,Person,France,189.0,216.0,280.0,320 p
Annual,Total,From 0 to 17 years,Total,Person,Croatia,:,100.0,100.0,97.0
Annual,Total,From 0 to 17 years,Total,Person,Hungary,:,1188.0,1661.0,1080.0
Annual,Total,From 0 to 17 years,Total,Person,Ireland,:,2.0,2.0,4.0
Annual,Total,From 0 to 17 years,Total,Person,Iceland,:,168.0,181.0,229.0
Annual,Total,From 0 to 17 years,Total,Person,Italy,:,6363.0,6004.0,9227.0
Annual,Total,From 0 to 17 years,Total,Person,Liechtenstein,:,:,10.0,10.0
Annual,Total,From 0 to 17 years,Total,Person,Lithuania,:,241.0,246.0,264.0
Annual,Total,From 0 to 17 years,Total,Person,Luxembourg,:,236.0,351.0,328.0
Annual,Total,From 0 to 17 years,Total,Person,Latvia,:,391.0,411.0,549.0
Annual,Total,From 0 to 17 years,Total,Person,Netherlands,:,9330.0,10592.0,9240.0
Annual,Total,From 0 to 17 years,Total,Person,Norway,:,:,2612.0,2864.0
Annual,Total,From 0 to 17 years,Total,Person,Poland,:,0.0,0.0,7395.0
Annual,Total,From 0 to 17 years,Total,Person,Portugal,:,61.0,46.0,38.0
Annual,Total,From 0 to 17 years,Total,Person,Romania,:,218.0,206.0,266.0
Annual,Total,From 0 to 17 years,Total,Person,Sweden,:,13474.0,10235.0,10250.0
Annual,Total,From 0 to 17 years,Total,Person,Slovenia,:,2158.0,2601.0,4056.0
