Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Iceland,82.3 b,83.8,83.7,82.7,75.7,74.9,72.8,72.6,74.1,77.5 b,79.5,79.5,77.9,77.0,76.6,72.2 b,69.0 b,73.3,75.8
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Italy,51.7 b,52.2,52.5,52.1,50.7,49.9,50.1,50.0,48.8,48.7 b,49.4,50.3,51.0,51.7 b,52.1,50.7,50.8 b,52.8,53.6
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Lithuania,46.6 b,46.1,48.9,42.1,36.2,29.6,31.8,35.2,37.1,42.0 b,42.7,42.3,44.1,46.9,47.9,48.2,51.5 b,49.0,50.2
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Luxembourg,60.4 b,59.3,60.8 b,59.8,58.9 b,58.5,58.6,60.1,58.6,57.3 b,58.4 b,56.4,56.4,58.9,57.6,56.9,59.6 b,61.1,62.0
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Latvia,50.5 b,54.8,59.0,57.0,45.8,45.1,46.7,50.3,49.0,50.0 b,53.2,54.8,56.7,57.5,59.9,61.3,56.7 b,58.7,60.3
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Montenegro,:,:,:,:,:,:,24.9,24.6,22.6,25.4 b,29.6,34.0,38.2,39.5,36.4,30.1,:,:,:
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",North Macedonia,:,30.3,29.8,31.6,33.0,32.7,33.5,31.6,34.7,36.3 b,35.0,33.4,34.9,36.3,38.3,37.1,:,:,:
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Malta,48.2 b,48.5,48.8,49.5,48.3,48.9,49.8 b,50.8,52.6,54.1 b,55.2,57.6,58.7,61.0,63.6,63.0,64.5 b,66.0,68.8
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Netherlands,58.5 b,59.1 b,60.4,62.7,62.3,61.1,62.0,61.9,60.3 b,58.7 b,59.8,60.7,61.2,62.6,63.2 b,62.9,66.7 b,68.1,69.7
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Norway,56.0 b,64.4 b,66.3,67.2,66.3,64.3,65.0,64.8,61.9,61.3 b,60.5,60.3,59.9,60.5,60.8,59.9,61.6 b,63.0,60.9
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Poland,36.2 b,37.7,40.3,42.3,41.0,39.2 b,38.7,38.9,37.6,38.2 b,39.8,39.5,40.8,42.0,44.8 b,45.4,46.9 b,47.2,48.8
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Portugal,71.3 b,71.5,71.3,71.6,68.6,67.6,65.1 b,62.3,60.7,62.2 b,63.5,64.7,67.6,69.5,69.6,68.7,68.8 b,69.7,70.5
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Romania,52.5 b,52.6,53.1,53.6,53.7,55.3 b,51.4,53.1,53.6,55.0 b,53.3,52.3,54.7,55.2,56.8,55.7,42.5 b,44.9,45.3
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Serbia,:,:,:,:,:,41.3,39.1,38.5,41.0,42.9 b,44.3,48.2,49.9,50.1,52.4,51.6,47.6 b,50.1,50.5
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Sweden,64.5 b,66.7 b,66.9,66.2,63.3,62.8,63.7,62.9,61.0,61.0 b,60.9,61.0,61.8,62.3 b,61.2,57.4,56.5 b,59.9,61.8
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Slovenia,55.1 b,54.7,55.9,54.8,53.2,50.5,45.8,46.4,44.6,47.4 b,48.0,45.5,49.3,50.8,50.2,47.4,49.5 b,50.0,53.7 b
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Slovakia,25.3 b,27.4,27.9,31.0,29.0,28.6,29.6 b,29.5,30.3,31.6 b,33.2,35.9,37.3,36.4,36.1,34.0,26.9 b,31.3,33.5
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Türkiye,:,43.3,43.1,43.0,42.7,45.1,47.3,47.6,47.9,47.5 b,47.8,48.3,49.3,49.5,47.2,44.0,47.0 b,49.1,48.9
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",United Kingdom,64.1 b,63.6,63.3 b,59.0 b,57.2,55.5 b,55.6 b,56.4,56.8,58.8 b,59.7,62.1,63.6,65.1,64.6,:,:,:,:
