Annual,Growth rate on previous period (t/t-1),Portugal,:,0.2,4.3,10.7,-6.3,16.1,-13.4,-5.4,-19.9,-2.4,1.3,6.9,16.7,7.7,3.3,6.0,46.0,29.6,20.2,15.0
Annual,Growth rate on previous period (t/t-1),Sweden,:,-2.5,-0.9,0.7,0.0,-4.7,0.6,-0.5,-2.5,0.6,-3.7,0.7,0.6,6.2,-0.7,-1.0,-54.6,28.2,46.8,-7.2
Annual,Growth rate on previous period (t/t-1),Türkiye,:,:,:,:,:,-8.4,15.2,11.9,-0.1,9.2,6.1,1.2,-35.0,14.5,-1.4,29.8,-81.0,-6.8,391.6,37.0
Annual,Growth rate on previous period (t/t-1),United Kingdom,:,-8.6,-1.2,1.4,-3.8,-4.8,1.2,-3.2,-6.6,3.5,3.0,-1.1,-4.3,-2.0,0.2,-5.2,:,:,:,:
Annual,Thousand,Belgium,742.0,781.0,749.0,759.0,672.0,566.0,611.0,495.0,465.0,386.0,372.0,351.0,330.0,316.0,327.0,307.0,40.0,3.0,4.0,7.0
Annual,Thousand,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand,Germany,20744.0,19672.0,20264.0,20907.0,20124.0,19965.0,19968.0,19812.0,20451.0,21047.0,21759.0,21013.0,20636.0,19944.0,19680.0,20158.0,10530.0,12341.0,17913.0,17938.0
Annual,Thousand,Denmark,36559.0,35636.0,35574.0,36136.0,35048.0,32269.0,31048.0,30580.0,30050.0,30139.0,30366.0,30295.0,30353.0,30532.0,30881.0,31105.0,19109.0,20857.0,28282.0,28730.0
Annual,Thousand,Estonia,6452.0,7529.0,7320.0,7207.0,7836.0,7737.0,9512.0,10108.0,10575.0,10944.0,11353.0,11594.0,11953.0,12314.0,12255.0,12332.0,6307.0,5679.0,9145.0,10170.0
Annual,Thousand,Greece,47747.0,42806.0,45177.0,45858.0,45222.0,43867.0,42130.0,39140.0,35926.0,35544.0,32744.0,32060.0,31806.0,34527.0,35739.0,37496.0,20690.0,26449.0,35428.0,37816.0
Annual,Thousand,Spain,14201.0,14719.0,13591.0,14000.0,13778.0,13239.0,12800.0,12924.0,12829.0,14161.0,14229.0,14939.0,15860.0,16722.0,17977.0,18981.0,7808.0,10077.0,17214.0,17452.0
Annual,Thousand,European Union - 15 countries (1995-2004),216535.0,205567.0,209769.0,216388.0,216125.0,213684.0,203100.0,192646.0,185136.0,190132.0,187358.0,183908.0,179181.0,187547.0,195776.0,197321.0,:,:,:,:
Annual,Thousand,European Union - 25 countries (2004-2006),220945.0,210253.0,214492.0,221409.0,221452.0,219102.0,209737.0,199555.0,192093.0,197537.0,195024.0,192055.0,188009.0,197252.0,206039.0,207999.0,:,:,:,:
Annual,Thousand,European Union - 27 countries (2007-2013),220945.0,210253.0,214492.0,221409.0,221452.0,219102.0,209737.0,199555.0,192093.0,197537.0,195025.0,192055.0,188009.0,197252.0,206039.0,207999.0,:,:,:,:
Annual,Thousand,European Union - 27 countries (from 2020),:,215179.0,219185.0,226018.0,226811.0,225430.0,215661.0,206251.0,198398.0,202272.0,201509.0,201530.0,199043.0,209389.0,218984.0,221390.0,120729.0,141223.0,203357.0,211718.0
Annual,Thousand,European Union - 28 countries (2013-2020),:,221328.0,225860.0,233427.0,233908.0,231955.0,222166.0,212369.0,204641.0,210275.0,206140.0,204880.0,202253.0,212631.0,222126.0,224473.0,:,:,:,:
Annual,Thousand,Finland,15979.0,16290.0,15911.0,15761.0,16392.0,16584.0,17266.0,17490.0,17717.0,17911.0,18400.0,18242.0,18609.0,18844.0,18564.0,18521.0,7006.0,6629.0,13014.0,13652.0
Annual,Thousand,France,25077.0,23542.0,24869.0,25800.0,25437.0,23952.0,24488.0,23171.0,21482.0,24157.0,24886.0,24605.0,22159.0,21268.0,21697.0,20649.0,8334.0,8496.0,15540.0,18406.0
Annual,Thousand,Croatia,:,11075.0,11472.0,12108.0,12578.0,12964.0,12565.0,13311.0,13050.0,13225.0,11578.0,13272.0,14713.0,15583.0,16374.0,16920.0,9235.0,13328.0,16281.0,16691.0
Annual,Thousand,Ireland,2434.0,2227.0,2099.0,2050.0,1965.0,2875.0,3079.0,2901.0,2757.0,2745.0,2753.0,2750.0,2712.0,2769.0,2703.0,2645.0,814.0,1020.0,2346.0,2496.0
