Time frequency,Enterprise,Statistical classification of economic activities in the European Community (NACE Rev. 2),Economical indicator for structural business statistics,Unit of measure,Geopolitical entity (reporting)\Time,2018.0
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Austria,419 u
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Bulgaria,2187.0
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Germany,23247 u
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Denmark,883.0
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Finland,1075.0
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Hungary,2061.0
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Italy,9977.0
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Lithuania,940.0
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Latvia,553.0
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Netherlands,2108.0
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Norway,798.0
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Poland,8628.0
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Portugal,2496.0
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Romania,4237.0
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Sweden,1578.0
Annual,Enterprises that did not relocate activities,Industry (except construction),Enterprises - number,Number,Slovakia,1349.0
Annual,Enterprises that did not relocate activities,High and medium high-technology manufacturing,Enterprises - number,Number,Austria,140 u
Annual,Enterprises that did not relocate activities,High and medium high-technology manufacturing,Enterprises - number,Number,Denmark,332.0
Annual,Enterprises that did not relocate activities,High and medium high-technology manufacturing,Enterprises - number,Number,Finland,340.0
