Time frequency,Person/support service,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Any person or service,Percentage,Austria,71.3
Annual,Any person or service,Percentage,Belgium,73.2
Annual,Any person or service,Percentage,Bulgaria,60.4
Annual,Any person or service,Percentage,Cyprus,67.0
Annual,Any person or service,Percentage,Czechia,51.2
Annual,Any person or service,Percentage,Germany,58.6
Annual,Any person or service,Percentage,Denmark,43.8
Annual,Any person or service,Percentage,Estonia,66.5
Annual,Any person or service,Percentage,Greece,81.1
Annual,Any person or service,Percentage,Spain,69.3
Annual,Any person or service,Percentage,European Union (aggregate changing according to the context),61.7 e
Annual,Any person or service,Percentage,Finland,30.5 u
Annual,Any person or service,Percentage,France,: u
Annual,Any person or service,Percentage,Croatia,50.9
Annual,Any person or service,Percentage,Hungary,51.2
Annual,Any person or service,Percentage,Ireland,69.5
Annual,Any person or service,Percentage,Lithuania,62.9
Annual,Any person or service,Percentage,Luxembourg,57.7
Annual,Any person or service,Percentage,Latvia,68.3
Annual,Any person or service,Percentage,Montenegro,: u
Annual,Any person or service,Percentage,Malta,76.3
Annual,Any person or service,Percentage,Netherlands,65.4
Annual,Any person or service,Percentage,Poland,79.7
Annual,Any person or service,Percentage,Portugal,67.9
Annual,Any person or service,Percentage,Romania,46.0
Annual,Any person or service,Percentage,Serbia,79.2
Annual,Any person or service,Percentage,Sweden,51.4
Annual,Any person or service,Percentage,Slovenia,65.1
Annual,Any person or service,Percentage,Slovakia,: u
Annual,Any person or service,Percentage,Kosovo*,42.8 u
Annual,Close person,Percentage,Austria,69.3
Annual,Close person,Percentage,Belgium,68.4
Annual,Close person,Percentage,Bulgaria,36.1 u
Annual,Close person,Percentage,Cyprus,62.5
Annual,Close person,Percentage,Czechia,47.8
Annual,Close person,Percentage,Germany,57.3
Annual,Close person,Percentage,Denmark,41.9 u
Annual,Close person,Percentage,Estonia,65.9
Annual,Close person,Percentage,Greece,80.2
Annual,Close person,Percentage,Spain,68.1
Annual,Close person,Percentage,European Union (aggregate changing according to the context),59.1 e
Annual,Close person,Percentage,Finland,: u
Annual,Close person,Percentage,France,: u
Annual,Close person,Percentage,Croatia,49.7 u
Annual,Close person,Percentage,Hungary,48.1
Annual,Close person,Percentage,Ireland,66.6
Annual,Close person,Percentage,Lithuania,61.1
Annual,Close person,Percentage,Luxembourg,53.5
Annual,Close person,Percentage,Latvia,66.4
Annual,Close person,Percentage,Montenegro,: u
Annual,Close person,Percentage,Malta,71.7
Annual,Close person,Percentage,Netherlands,63.7
Annual,Close person,Percentage,Poland,78.1
Annual,Close person,Percentage,Portugal,65.3
Annual,Close person,Percentage,Romania,37.1
Annual,Close person,Percentage,Serbia,76.9
Annual,Close person,Percentage,Sweden,47.4
Annual,Close person,Percentage,Slovenia,62.6
Annual,Close person,Percentage,Slovakia,: u
Annual,Close person,Percentage,Kosovo*,42.8 u
Annual,Health or social service,Percentage,Austria,10.9
Annual,Health or social service,Percentage,Belgium,15.6
Annual,Health or social service,Percentage,Bulgaria,20.1 u
Annual,Health or social service,Percentage,Cyprus,22.1 u
Annual,Health or social service,Percentage,Czechia,12.9 u
Annual,Health or social service,Percentage,Germany,11.8 u
Annual,Health or social service,Percentage,Denmark,8.8
Annual,Health or social service,Percentage,Estonia,10.0
Annual,Health or social service,Percentage,Greece,10.8
Annual,Health or social service,Percentage,Spain,10.6
Annual,Health or social service,Percentage,European Union (aggregate changing according to the context),12.6 e
Annual,Health or social service,Percentage,Finland,9.3
Annual,Health or social service,Percentage,France,: u
Annual,Health or social service,Percentage,Croatia,6.6 u
Annual,Health or social service,Percentage,Hungary,8.3 u
Annual,Health or social service,Percentage,Ireland,22.9
Annual,Health or social service,Percentage,Lithuania,9.6 u
Annual,Health or social service,Percentage,Luxembourg,19.7
Annual,Health or social service,Percentage,Latvia,9.4 u
Annual,Health or social service,Percentage,Montenegro,: u
Annual,Health or social service,Percentage,Malta,21.6
Annual,Health or social service,Percentage,Netherlands,16.4
Annual,Health or social service,Percentage,Poland,13.5
Annual,Health or social service,Percentage,Portugal,15.3
Annual,Health or social service,Percentage,Romania,14.4 u
Annual,Health or social service,Percentage,Serbia,12.6 u
Annual,Health or social service,Percentage,Sweden,14.0
Annual,Health or social service,Percentage,Slovenia,9.5 u
Annual,Health or social service,Percentage,Slovakia,: u
Annual,Health or social service,Percentage,Kosovo*,: u
Annual,"Health, social or support service or police",Percentage,Austria,16.0
Annual,"Health, social or support service or police",Percentage,Belgium,22.5
Annual,"Health, social or support service or police",Percentage,Bulgaria,32.5
Annual,"Health, social or support service or police",Percentage,Cyprus,28.6 u
Annual,"Health, social or support service or police",Percentage,Czechia,16.3 u
Annual,"Health, social or support service or police",Percentage,Germany,14.6 u
Annual,"Health, social or support service or police",Percentage,Denmark,12.4
Annual,"Health, social or support service or police",Percentage,Estonia,16.6
Annual,"Health, social or support service or police",Percentage,Greece,17.4
Annual,"Health, social or support service or police",Percentage,Spain,15.0
Annual,"Health, social or support service or police",Percentage,European Union (aggregate changing according to the context),17.3 e
Annual,"Health, social or support service or police",Percentage,Finland,12.5 u
Annual,"Health, social or support service or police",Percentage,France,: u
Annual,"Health, social or support service or police",Percentage,Croatia,10.9
Annual,"Health, social or support service or police",Percentage,Hungary,10.3 u
Annual,"Health, social or support service or police",Percentage,Ireland,29.8
Annual,"Health, social or support service or police",Percentage,Lithuania,15.2
Annual,"Health, social or support service or police",Percentage,Luxembourg,23.7
Annual,"Health, social or support service or police",Percentage,Latvia,18.4
Annual,"Health, social or support service or police",Percentage,Montenegro,: u
Annual,"Health, social or support service or police",Percentage,Malta,31.9
Annual,"Health, social or support service or police",Percentage,Netherlands,20.9
Annual,"Health, social or support service or police",Percentage,Poland,22.2
Annual,"Health, social or support service or police",Percentage,Portugal,23.6 u
Annual,"Health, social or support service or police",Percentage,Romania,20.8
Annual,"Health, social or support service or police",Percentage,Serbia,21.8
Annual,"Health, social or support service or police",Percentage,Sweden,17.6
Annual,"Health, social or support service or police",Percentage,Slovenia,18.0 u
Annual,"Health, social or support service or police",Percentage,Slovakia,: u
Annual,"Health, social or support service or police",Percentage,Kosovo*,: u
Annual,Police,Percentage,Austria,8.8
Annual,Police,Percentage,Belgium,13.2
Annual,Police,Percentage,Bulgaria,10.4 u
Annual,Police,Percentage,Cyprus,: u
Annual,Police,Percentage,Czechia,: u
Annual,Police,Percentage,Germany,7.5 u
Annual,Police,Percentage,Denmark,6.7 u
Annual,Police,Percentage,Estonia,11.2
Annual,Police,Percentage,Greece,8.9
Annual,Police,Percentage,Spain,8.9
Annual,Police,Percentage,European Union (aggregate changing according to the context),8.7 e
Annual,Police,Percentage,Finland,5.5 u
Annual,Police,Percentage,France,: u
Annual,Police,Percentage,Croatia,7.8 u
Annual,Police,Percentage,Hungary,: u
Annual,Police,Percentage,Ireland,14.9 u
Annual,Police,Percentage,Lithuania,8.9 u
Annual,Police,Percentage,Luxembourg,8.9
Annual,Police,Percentage,Latvia,13.9
Annual,Police,Percentage,Montenegro,: u
Annual,Police,Percentage,Malta,16.9
Annual,Police,Percentage,Netherlands,7.5
Annual,Police,Percentage,Poland,14.5
Annual,Police,Percentage,Portugal,14.9 u
Annual,Police,Percentage,Romania,: u
Annual,Police,Percentage,Serbia,13.6 u
Annual,Police,Percentage,Sweden,7.5
Annual,Police,Percentage,Slovenia,13.3 u
Annual,Police,Percentage,Slovakia,: u
Annual,Police,Percentage,Kosovo*,: u
Annual,Support service,Percentage,Austria,3.8
Annual,Support service,Percentage,Belgium,4.5 u
Annual,Support service,Percentage,Bulgaria,11.2 u
Annual,Support service,Percentage,Cyprus,: u
Annual,Support service,Percentage,Czechia,: u
Annual,Support service,Percentage,Germany,: u
Annual,Support service,Percentage,Denmark,2.6
Annual,Support service,Percentage,Estonia,2.6 u
Annual,Support service,Percentage,Greece,2.2
Annual,Support service,Percentage,Spain,3.7 u
Annual,Support service,Percentage,European Union (aggregate changing according to the context),2.9 e
Annual,Support service,Percentage,Finland,3.2
Annual,Support service,Percentage,France,: u
Annual,Support service,Percentage,Croatia,: u
Annual,Support service,Percentage,Hungary,: u
Annual,Support service,Percentage,Ireland,: u
Annual,Support service,Percentage,Lithuania,: u
Annual,Support service,Percentage,Luxembourg,: u
Annual,Support service,Percentage,Latvia,: u
Annual,Support service,Percentage,Montenegro,: u
Annual,Support service,Percentage,Malta,7.4 u
Annual,Support service,Percentage,Netherlands,4.2
Annual,Support service,Percentage,Poland,: u
Annual,Support service,Percentage,Portugal,2.8 u
Annual,Support service,Percentage,Romania,: u
Annual,Support service,Percentage,Serbia,: u
Annual,Support service,Percentage,Sweden,2.8 u
Annual,Support service,Percentage,Slovenia,: u
Annual,Support service,Percentage,Slovakia,: u
Annual,Support service,Percentage,Kosovo*,: u
